01100		Chemists
01200		Physicists
01300		Physical scientists nec
01400		Physical science assistants and technicians
02000		Professional engineers, specialisation unknown
02100		Architects
02200		Civil engineers
02300		Electrical engineers
02410		Mechanical engineers, general or nfs
02420		Industrial machinery or tools engineers
02430		Mechanical engineer (motors and engines, except marine)
02440		Marine engineers
02450		Ship construction engineers
02460		Heating, ventilation and refrigeration engineers
02490		Other mechanical engineers
02500		Chemical engineers
02600		Metallurgists and assayers
02700		Mining engineers
02800		Industrial engineers
02900		Professional engineers nec
03010		Surveyors, general and nfs
03020		Land surveyors
03030		Mine surveyors
03040		Hydrographic surveyors
03090		Other surveyors
03100		Draughtsmen
03210		Technicians
03220		Civil engineering technicians
03230		Electrical engineering technicians
03240		Mechanical engineering technicians
03250		Chemical engineering technicals
03260		Metallurgical technicians
03270		Mining technicians
03290		Engineering technicians nec
04200		Ship's deck officer or pilot
04210		Ships officers nfs
04220		Ship's masters and captains (sea)
04230		Ship's masters and captains (sea or inland waterways)
04240		Ship's masters and captains (inland waterways)
04250		Ship's navigating officers and ship's mates
04260		Ship and boat pilots
04270		Marine superintendents (deck)
04290		Other ship deck officers and pilots
04300		Ship's engineers
05100		Biologists, botanists, zoologists and related scientists
05200		Medical scientists
05300		Agronomists and related scientists
05400		Life sciences technicians
06110		Medical doctors and physicians (UK: Medical doctors only)
06130		Surgeons
06140		Specialised physicians
06150		Specialised surgeons
06160		Public health physicians
06170		Oculist
06190		Medical doctors, nec
06200		Dentists
06300		Veterinarians
06400		Pharmacists
06500		Medical and related assistants
07110		Trained nurses
07210		Nurses nfs
07220		Medical nurses, untrained or level of training unknown
07320		Midwives
07330		Monthly nurses
07500		Opticians and optometrists
07600		Healers and therapists nec
07920		Osteopaths
07930		Chiropractors
07940		Sanitarians
07990		Other medical, dental, veterinary and related workers
08000		Mathematicians and actuaries, etc.
09000		Economists
11010		Accountants
11020		Auditors
11090		Accountants nec
12110		Lawyers
12120		Barristers
12130		Solicitors
12200		Judge
12220		Justice of the peace
12300		Notary
12900		Jurists (except lawyer, judge or solicitor)
13100		Teachers in higher education
13210		Teachers (unspecified)
13220		Teachers (secondary)
13230		Teachers (primary)
13240		Teachers (pre-primary)
13250		Teachers (of the disabled)
13300		School administrators and principals
13920		Governesses
13990		Other teaching personnel
14120		Ministers of religion
14130		Missionaries
14140		Members of religious orders
14190		Other ministers of religion
14900		Workers in religion nec
15100		Authors
15220		Editors
15230		Journalists, reporters and correspondents
15900		Others writers
16110		Artists nfs and art teachers
16120		Sculptors
16130		Artistic painters
16140		Cartoonists
16150		Engravers and etchers (artistic)
16190		Other specified creative artists
16200		Designers
16300		Photographers
16400		Engravers
17120		Musical performers and musicians nfs
17130		Music teachers
17190		Others in music
17200		Dancers and dancing teachers
17300		Actors and related workers
17400		Producers, performing arts
17900		Performing artists nec
18000		Athletes, sportsmen and related workers
19100		Librarians, archivists and curators
19200		Social scientists and historians
19300		Social workers
19500		Interpreters, translators and philologists
19920		Patent agents
19930		Underwriters
19990		Other professional, technical and related workers nec
20100		Legislative officials and heads of government
20200		Government administrators
21110		Proprietors, nfs
21112		Executive officers, nfs (U.S. only)
21120		Manufacturers nfs
21122		Executive officers of manufacturing concerns nfs
21130		Manufacturers or proprietors of specified manufacturing concerns
21132		Executive officers of specified manufacturing concerns
21140		Proprietor, mining, quarrying, oil and natural gas extraction
21141		Oil producer
21142		Executive officers of extractive industry
21150		Proprietor, railway company
21152		Executive officers of railway concerns
21160		Proprietor, other transport and communications
21162		Executive officer of other transport and communications
21170		Proprietor, public utilities (i.e., water, gas, etc.)
21172		Executive officer of public utilities
21180		Proprietor, finance
21182		Executive officer finance company
21190		Other owners of large scale productive enterprises
21192		Executive officers of other large scale productive enterprises
21194		Publisher
21210		Contractors nfs
21220		Construction contractors
21230		Builders
21290		Other specified contractors
21330		Capitalists
21340		Speculators
21390		Investors nec
22110		Superintendents and managers nfs
22120		Superintendents and managers, manufacturing
22130		Superintendents and managers, mining, quarrying, etc.
22140		Superintendents and managers, railways
22150		Superintendents and managers, other transport and communications
22160		Superintendents and managers, public utilities
22170		Superintendents and managers, construction, except railway construction
22180		Superintendents and managers, commerce
22190		Superintendents and managers, nec
23110		Foremen and supervisors nfs
23120		Foremen and supervisors, manufacturing
23130		Foremen and supervisors, mining
23140		Foremen and supervisors, railways
23150		Foremen and supervisors, other transport and communications
23160		Foremen and supervisors, public utilities
23170		Foremen and supervisors, construction, except railway construction
23180		Foremen and supervisors, commerce
23190		Foremen and supervisors, nec
24100		Inspectors of manufactories, companies etc.
31010		Civil servants, title unknown
31020		Tax collectors
31030		Tax assessors
31040		Customs officers
31050		Postmasters or postmistresses
31060		Clerks of court and other court clerks
31090		Government functionaries, nec
32000		Typists, stenographers and secretaries
33120		Bookkeepers and bookkeeping clerks
33130		Cashiers, bank or office
33140		Bank clerks
33142		Bank tellers (US)
33150		Money collector
33160		Cash desk cashier
33170		Toll collectors
33180		Collector (cash or account)
33190		Bookkeeping, account and cash handling workers nec
33210		Railway clerks (UK) and railway agents (CA/US)
33220		Baggage agents and baggage men
33320		Agent, water transport (principally steamship and steamboat)
33330		Agent, land transport (non-rail)
34000		Office machine operators
36010		Conductors, nfs
36020		Railway guards (UK) and railroad conductors (US/CAN)
36030		Sleeping- or pullman-car attendants
36040		Bus, tram or streetcar conductors
36090		Transport conductors, nec
37020		Postal, mail and telegraph clerks
37030		Mail carriers, aka postmen (UK)
37040		Messengers
37050		Mail sorters
37090		Post office, mail, and message workers nec
38010		Tel. operator
38020		Telephone operator
38030		Telegraph operator
38090		Other telephone/telegraph operators
39000		Clerk, nfs
39100		Stock, weight and shipping clerks
39130		Stock records clerk
39310		Office clerks, specialisation unknown
39320		Correspondence clerks
39340		Legal clerks
39350		Insurance clerks
39390		Other correspondence and reporting clerks
39400		Hotel clerk or other receptionist
39500		Library and filing clerks
39600		Railroad, railway clerk
39720		Timekeepers, railway
39730		Timekeepers, factory
39790		Timekeepers, undefined and nec
39900		Other specified clerks
39990		Proofreader (U.S. only)
40000		Sales workers, nfs
41000		Working proprietors, nfs
41010		Dealer, merchant etc. (wholesale and retail trade)
41015		Merchants, specified large-scale wholesaleing
41020		Hirers out
42000		Buyers
42200		Buyers nec
43010		Agents nfs
43020		Commercial travellers
43030		Manufacturers and sales agents
43090		Other specialized agents
44110		Insurance, real state or securities salesmen, nfs
44120		Insurance salesmen and agents
44130		Real estate agents
44140		Brokers
44150		Stockbrokers
44160		Patent Agents
44190		Insurance, real estate and securities salesmen nec
44200		Advertising salesmen
44320		Auctioneers
44330		Appraisers
45120		Salespeople, wholesale or retail trade
45130		Clerks in shops and stores
45140		Fashion models
45190		Other sales personnel men, shop assistants and demonstrators
45220		Street sellers, pedlars and hawkers, non-food items
45230		Street sellers, pedlars and hawkers, food items
45240		Newsvendors
45250		Canvassers
45290		Other street traders for coffee and food
49020		Pawnbrokers
49030		Scrap and junk dealers, scavengers
49090		Dealers and salesworkers nec
51020		Hotel keepers and managers
51030		Restaurant keepers and managers
51040		Boarding and lodging house keepers and managers
51050		Pub, saloon, tavern and coffee house keepers
51060		Ship's pursers
51090		Other hospitality and entertainment keepers and managers
52020		Housekeeper
52030		Stewards
52040		Matrons
52050		Butlers
52090		Other housekeeping service supervisors
53100		Cooks
53101		Cook (domestic) UK only
53103		Ship's cooks
53220		Waiter or waitress
53230		Bartender
53290		Other food and drink service workers
54010		Servants nfs
54020		House servants nfs and maids
54030		Personal servants and valets
54040		Nursemaids
54050		Companions
54060		Chambermaids and room attendants
54090		Other specified servants
55100		Caretakers and janitors
55200		Charworkers
55230		Window cleaners
55240		Chimney sweeps
55250		Refuse collectors and removers
55290		Other charworkers, cleaners and related workers
56000		Washing and laundry services
57020		Hairdressers
57030		Barbers
57040		Bath attendants
57090		Other barbers, hairdressers and related workers
58100		Firefighters
58210		Policemen and detectives, employer unknown
58220		Policemen and detectives, public service
58230		Policemen and detectives, private service
58240		Sheriffs and their deputies
58290		Other law enforcement officers
58300		Watchmen and guards
58410		Military, rank unknown
58420		Military officers
58430		Other members of the armed forces
58500		Prison keepers and guards
58900		Other protective service workers
59100		Guides
59200		Undertakers and embalmers
59300		Prostitutes
59920		Bookmakers (sport)
59930		Croupiers
59940		Nursing aids and attendents
59950		Errand boys and errand girls
59960		Practical aid (veterinary)
59990		Other service workers nec
61110		General farmers and farmers nfs
61115		Husbandmen or cottars
61117		Female farmer
61120		Major landowner
61220		Field crop farmers
61230		Orchardists and fruit farmers
61240		Market gardeners
61250		Nurserymen and florists
61260		Livestock farmers
61270		Dairy farmers
61280		Poultry farmers
61290		Other specialised farmers
61320		Farmer and fisherman
61330		Cottar and fisherman
61400		Farm managers, formen and supervisors nfs
62110		Farm workers, specialisation unknown
62113		Farmer's sons and other male relatives
62200		Farm workers (field crop and vegetables)
62300		Farm labourers, orchard and fruit farm workers
62410		Livestock workers, general or nfs
62420		Cattle workers, except specified dairy
62430		Sheep workers
62440		Pig workers
62450		Fur-bearing animal workers
62460		Horse workers
62461		Grooms and horse keepers (domestic)
62463		Grooms and horse keepers (not domestic)
62470		Horse breaker
62490		Livestock workers, nec
62500		Farm workers (dairy)
62600		Farm workers (poultry)
62710		Gardeners nfs
62711		Gardener (domestic)
62713		Gardener (not domestic)
62720		Market garden labourers
62730		Nursery labourers
62740		Landscape gardeners
