hisco3,hisco,title3,title5
380,38010,Telephone and telegraph operators,Tel. operator
370,37020,"Postal and related clerks, mail carriers, and messengers","Postal, mail, or telegraph clerk"
370,37030,"Postal and related clerks, mail carriers, and messengers",Mail carrier (postman)
370,37040,"Postal and related clerks, mail carriers, and messengers",Messenger
201,20100,Legislative officials,Legislative officials and heads of government
202,20200,Government administrators,Government administrators
585,58500,Prison keepers and guards,Prison keepers and guards
202,20200,Government administrators,Government administrators
370,37040,"Postal and related clerks, mail carriers, and messengers",Messenger
370,37040,"Postal and related clerks, mail carriers, and messengers",Messenger
582,58220,Policemen and detectives,"Policemen and detectives, public service"
310,31090,Government administrators,Government civil servant nec
589,58900,Other protective service workers,Protective service workers nec
310,31090,Government administrators,Government civil servant nec
310,31090,Government administrators,Government civil servant nec
191,19100,"Librarians, archivists and curators","Librarians, archivists and curators"
584,58420,Members of military forces,Military officers
584,58430,Members of military forces,Other members of the armed forces
584,58420,Members of military forces,Military officers
584,58430,Members of military forces,Other members of the armed forces
584,58430,Members of military forces,Other members of the armed forces
584,58420,Members of military forces,Military officers
584,58420,Members of military forces,Military officers
584,58430,Members of military forces,Other members of the armed forces
584,58420,Members of military forces,Military officers
584,58420,Members of military forces,Military officers
584,58420,Members of military forces,Military officers
141,14120,Ministers of religion and members of religious orders,Ministers of religion
141,14120,Ministers of religion and members of religious orders,Ministers of religion
141,14120,Ministers of religion and members of religious orders,Ministers of religion
141,14120,Ministers of religion and members of religious orders,Ministers of religion
141,14120,Ministers of religion and members of religious orders,Ministers of religion
141,14120,Ministers of religion and members of religious orders,Ministers of religion
141,14130,Ministers of religion and members of religious orders,Missionaries
141,14140,Ministers of religion and members of religious orders,Members of religious order
141,14140,Ministers of religion and members of religious orders,Members of religious order
551,55100,Caretakers and janitors,Caretakers and janitors
121,12120,Lawyers,Barristers
121,12130,Lawyers,Solictors
393,39340,Office clerks nec,Legal clerks
129,12900,Jurists nec ,Jurists nec 
61,,Medical doctors and surgeons,
62,6200,Dentists,Dentists
63,6300,Veterinarian,Veterinarian
73,7320,Midwives,Midwife
71,7110,Trained nurses,Trained nurse
72,7220,Nurses nec ,"Medical nurses, untrained or level of training unknown"
65,6500,Medical and related assistants,Medical or related assistant
65,6500,Medical and related assistants,Medical or related assistant
79,7990,"Medical, dental, veterinary and related workers not elsewhere classified","Other medical, dental, veterinary or related worker"
65,6500,Medical and related assistants,Medical or related assistant
132,,Teachers not in higher education,
131,13100,Teacher (higher education),Teacher (higher education)
139,13990,Teachers nec ,Other teaching personnel
399,39900,Other specified clerks,Other specified clerks
151,,Authors and writers nec,
152,15230,"Editors, journalists, reporters and correspondents","Journalists, Reporters, and Correspondents"
159,15900,Writers nfs and nec,Other writers
199,19990,"Other professional, technical and related workers","Other professional, technical and related workers nec"
199,19990,"Other professional, technical and related workers","Other professional, technical and related workers nec"
199,19990,"Other professional, technical and related workers","Other professional, technical and related workers nec"
199,19990,"Other professional, technical and related workers","Other professional, technical and related workers nec"
191,19100,"Librarians, archivists and curators","Librarians, archivists and curators"
27,2700,Mining engineers,Mining engineer
22,2200,Civil engineers,Civil engineer
30,,Surveyors,
27,2700,Mining engineers,Mining engineer
22,2200,Civil engineers,Civil engineer
30,3010,Surveyors,"Surveyor, general and nfs"
161,16130,Visual artists and art teachers,Artistic painters
161,16120,Visual artists and art teachers,Sculptors
21,2100,Architects,Architects
161,16150,Visual artists and art teachers,Engraver or etcher (artistic)
164,16400,Engravers nec ,Engravers
163,16300,Photographers,Photographers
171,17120,"Musicians, music teachers, and others in music",Musical performer or musician nfs
173,17300,Actors and related workers,Actors and related workers
21,2100,Architects,Architects
161,16110,Visual artists and art teachers,Artist nfs or art teacher
173,17300,Actors and related workers,Actors and related workers
599,59990,Other service workers,Service workers nec 
540,54090,"Servants, maids and housekeeping service workers nec",Other specified servants
139,13920,Teachers nec ,Governess
540,54020,"Servants, maids and housekeeping service workers nec","Maid, domestic or house servants nfs"
985,98520,Drivers,"Driver, private"
985,98520,Drivers,"Driver, private"
627,62711,"Farm labourers: garden and nursery workers, including non-farm gardeners",domestic gardeners
649,64990,Other related workers in fishing and hunting nec,"Other fishermen, hunters and related workers"
584,58430,Members of military forces,Other members of the armed forces
532,53290,"Waiters, bartenders and related workers",Other food and drink service workers 
585,58500,Prison keepers and guards,Prison keepers and guards
370,37040,"Postal and related clerks, mail carriers, and messengers",Messenger
540,54090,"Servants, maids and housekeeping service workers nec",Other specified servants
649,64990,Other related workers in fishing and hunting nec,"Other fishermen, hunters and related workers"
551,55100,Caretakers and janitors,Caretakers and janitors
540,54090,"Servants, maids and housekeeping service workers nec",Other specified servants
551,55100,Caretakers and janitors,Caretakers and janitors
531,53102,Cooks,Cook (not domestic)
531,53102,Cooks,Cook (not domestic)
531,53102,Cooks,Cook (not domestic)
531,53101,Cooks,Cook (domestic)
540,54010,"Servants, maids and housekeeping service workers nec",Servants nfs
540,54010,"Servants, maids and housekeeping service workers nec",Servants nfs
552,55200,"Charworkers, cleaners and related workers",Charworker
560,56000,"Launderers, dry-cleaners and pressers","Launderers, dry cleaners, pressers, and related workers"
570,57040,"Hairdresser, barbers, beauticians and related workers",Bath attendants
139,13920,Teachers nec ,Governess
540,54010,"Servants, maids and housekeeping service workers nec",Servants nfs
540,54090,"Servants, maids and housekeeping service workers nec",Other specified servants
552,55230,"Charworkers, cleaners and related workers",Window cleaners
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
430,43010,"Agent, brokers, and commercial travelers","Agent, nfs"
430,43090,"Agent, brokers, and commercial travelers",Other specialized agents
430,,"Agent, brokers, and commercial travelers",
110,11010,Accountants and auditors,Accountant
443,,Auctioneers and appraisers,
443,44330,Auctioneers and appraisers,Appraisers
211,21192,"Manufacturers, owners and executive officials",Executive officer of large scale productive company
