"10","3","1","Gadsden Mews","Adair Road","","","RG 12/29","97-98
"
"10","3","2","Garden Row","Hoopers Court","","","RG 12/30","13-14
"
"10","3","3","Garway Road","Westbourne Grove","","","RG 12/17","95-96
"
"10","3","4","Gilston Road","Fulham Road","","28-29","RG 12/31","26
"
"10","3","5","Gilston Road","Fulham Road","","Mllborne House, Bolton Lodges, Gilston Road, 1-8","RG 12/31","25-26
"
"10","3","6","Gilston Road","Fulham Road","","The Limes, Tregunter and Gilston Lodges, Chester Lodge, 23-27","RG 12/31","14-15
"
"10","3","7","Gledhow Gardens and Terrace","pt of Old Brompton Road","","","RG 12/32","118-123
"
"10","3","8","Glendower Place","Old Brompton Road","","","RG 12/32","43-44
"
"10","3","9","Gloucester Crescent","Porchester Road","","","RG 12/3","4-10
"
"10","3","10","Gloucester Gardens","pt of Bishops Road","","23-59 Odd","RG 12/15","155-157
"
"10","3","11","Gloucester Gardens","pt of Bishops Road","","34-68 Even","RG 12/3","18-20
"
"10","3","12","Gloucester Gardens","pt of Bishops Road","For other numbers see Bishops Road","","",""
"10","3","13","Gloucester Grove East","Old Brompton Road","","","RG 12/32","91-92
"
"10","3","14","Gloucester Houses","Gloucester Crecent","","","RG 12/3","27
"
"10","3","15","Gloucester Mansions","pt of Harrington Gardens","","","RG 12/32","109
"
"10","3","16","Gloucester Mews","Chilworth Street","","East, Gloucester Mews, Gloucester Mews","RG 12/13","99-100
"
"10","3","17","Gloucester Mews","Chilworth Street","","West, Gloucester Mews, Gloucester Mews","RG 12/15","166-167
"
"10","3","18","Gloucester Place and Mews","Westbourne Terrace","","Even Numbers","RG 12/13","71-74
"
"10","3","19","Gloucester Place and Mews","Westbourne Terrace","","Mews, Gloucester Place and Mews, Gloucester Place and Mews","RG 12/13","78-79
"
"10","3","20","Gloucester Place and Mews","Westbourne Terrace","","Odd Numbers","RG 12/13","84-88
"
"10","3","21","Gloucester Road","South Kensington","East Side","1-13 Odd","RG 12/18","55
"
"10","3","22","Gloucester Road","South Kensington","East Side","119-161 Odd","RG 12/32","98-100
"
"10","3","23","Gloucester Road","South Kensington","East Side","15-35 Odd","RG 12/18","16-17
"
"10","3","24","Gloucester Road","South Kensington","East Side","83-117 Odd","RG 12/32","152-153
"
"10","3","25","Gloucester Road","South Kensington","East Side","97 Stanhope Arms Public House, Gloucester Road","RG 12/32","155
"
"10","3","26","Gloucester Road","South Kensington","East Side","Atherstone Terrace, Gloucester Road","RG 12/34","87-90
"
"10","3","27","Gloucester Road","South Kensington","East Side","Petersham Terrace, Gloucester Road","RG 12/18","10-11
"
"10","3","28","Gloucester Road","South Kensington","West Side","2-38 Even","RG 12/18","90-91
"
"10","3","29","Gloucester Road","South Kensington","West Side","74","RG 12/34","101
"
"10","3","30","Gloucester Road","South Kensington","West Side","80-94 Even","RG 12/32","153-154
"
"10","3","31","Gloucester Road","South Kensington","West Side","Baileys Hotel, Gloucester Road","RG 12/32","132-134
"
"10","3","32","Gloucester Road","South Kensington","West Side","Railway Station, Gloucester Road","RG 12/32","152
"
"10","3","33","Gloucester Road","South Kensington","West Side","St Georges Place and Terrace, Gloucester Road","RG 12/18","93-95
"
"10","3","34","Gloucester Square","Stanhope Street","","1-39","RG 12/15","76-80
"
"10","3","35","Gloucester Square","Stanhope Street","","40","RG 12/14","98
"
"10","3","36","Gloucester Square","Stanhope Street","","41-48","RG 12/13","9-10
"
"10","3","37","Gloucester Terrace","Craven Road","","1-22","RG 12/13","95-97
"
"10","3","38","Gloucester Terrace","Craven Road","","102-104","RG 12/13","97-99
"
"10","3","39","Gloucester Terrace","Craven Road","","23-62","RG 12/15","203-206
"
"10","3","40","Gloucester Terrace","Craven Road","","63-101","RG 12/15","149-154
"
"10","3","41","Gloucester Terrace","pt of Old Brompton Road","","","RG 12/32","100-101
"
"10","3","42","Gloucester Walk","Church Street","was Terrace","","RG 12/20","76-78
"
"10","3","43","Golborne Gardens","Golborne Road","","","RG 12/29","98-107
"
"10","3","44","Golborne Mews","Portobello Road","","","RG 12/24","173
"
"10","3","45","Golborne Road","Portobello Road","","1-43 Odd","RG 12/28","4-6
"
"10","3","46","Golborne Road","Portobello Road","","10-20 Even","RG 12/29","92-93
"
"10","3","47","Golborne Road","Portobello Road","","2-8 Even","RG 12/28","7
"
"10","3","48","Golborne Road","Portobello Road","","22-36 Even","RG 12/28","53-54
"
"10","3","49","Golborne Road","Portobello Road","","38-110 Even","RG 12/27","44-48
"
"10","3","50","Golborne Road","Portobello Road","","45-77 Odd","RG 12/27","48-50
"
"10","3","51","Golborne Road","Portobello Road","","79-105 Odd","RG 12/26","125-126
"
"10","3","52","Golborne Terrace","Golborne Road","","","RG 12/28","75-78
"
"10","3","53","Golden Mews","Portobello Road","","","RG 12/26","94-95
"
"10","3","54","Goldnay Road and Works","Chippenham Road","","","RG 12/7","40-54
"
"10","3","55","Gordon Cottages","Dukes Lane","","","RG 12/20","89
"
"10","3","56","Gordon Place","Campden Grove","","1-31 Odd","RG 12/20","86-88
"
"10","3","57","Gordon Place","Campden Grove","","2-18 Even","RG 12/20","84
"
"10","3","58","Gordon Place","Campden Grove","","20, 24 Empty","RG 12/20","88
"
"10","3","59","Gordon Place","Campden Grove","","22-38 Even","RG 12/20","85-86
"
"10","3","60","Gordon Place","Campden Grove","","33-end Odd","RG 12/20","120-123
"
"10","3","61","Gorham Place","Mary Place","","","RG 12/29","70
"
"10","3","62","Grand Junction Cottages","Notting Hill Grove","","","RG 12/20","128-129
"
"10","3","63","Great Grove House","Browns Buildings","","","RG 12/19","100
"
"10","3","64","Great Western Hotel","Praed Street","","","RG 12/17","100-104
"
"10","3","65","Great Western Road","Harrow Road","","Metropolitan Tavern and 1-41","RG 12/11","10-15
"
"10","3","66","Great Western Road","Harrow Road","","Westbourne Park Cottage and Carlton Bridge","RG 12/10","104
"
"10","3","67","Great Western Road","Harrow Road","","Westbourne Training School for Girls","RG 12/10","123-124
"
"10","3","68","Great Western Stables","South Wharf Road","","","RG 12/15","127
"
"10","3","69","Green Street","Harrow Road","","","RG 12/3","42-44
"
"10","3","70","Gregory Place","Holland Street","","","RG 12/20","123-124
"
"10","3","71","Grenville Mews","Harrington Gardens","","","RG 12/32","156
"
"10","3","72","Grenville Place","Cromwell Road","","","RG 12/34","105-106
"
"10","3","73","Grey House","Hornton Street","","","RG 12/20","118
"
"10","3","74","Grittledon Road","Chippenham Road","includes St Peters Parsonage","","RG 12/6","111-113
"
"10","3","75","Grove Place","Portobello Road","","","RG 12/27","40
"
"10","3","76","Grove Terrace","pt of Uxbridge Road","","","RG 12/22","63-64
"
"10","3","77","Grove, The","Boltons, Old Brompton Road","including Hereford House","","RG 12/31","32-37
"
"10","3","78","Hall Place","Church Street","","","RG 12/4","4-25
"
"10","3","79","Hall Place West","Hall Place","","","RG 12/4","28-29
"
"10","3","80","Hampden Street","Harrow Road","","","RG 12/1","14-28
"
"10","3","81","Hanover Terrace","Ladbroke Grove","","1-13","RG 12/22","48-49
"
"10","3","82","Hanover Terrace","Ladbroke Grove","","16-19","RG 12/22","77
"
"10","3","83","Hanover Terrace","Ladbroke Grove","also 14 Lansdowne Road","14","RG 12/22","36
"
"10","3","84","Hans Road","Brompton Road","was Queen Street and Elizabeth Street","1-39 Odd","RG 12/30","25-28
"
"10","3","85","Hans Road","Brompton Road","was Queen Street and Elizabeth Street","2-42 Even","RG 12/30","28-31
"
"10","3","86","Hans Road","Brompton Road","was Queen Street and Elizabeth Street","41-59 Odd","RG 12/61","106-107
"
"10","3","87","Hans Road","Brompton Road","was Queen Street and Elizabeth Street","44 Even","RG 12/61","107
"
"10","3","88","Hansard Mews","Holland Road","","","RG 12/21","37-38
"
"10","3","89","Harcourt Terrace","","","pt of Hollywood Road 57-89","RG 12/31","76-78
"
