"10","8","1","Union Place","South Wharf Road","","","RG 12/15","139-141A
"
"10","8","2","Union Terrace","pt of Uxbridge Road","","","RG 12/22","123-124
"
"10","8","3","Upper Addison Gardens","","formerly North Addison Gardens, see also FULHAM","and The Cottage, Upper Addison Gardens","RG 12/21","44-48
"
"10","8","4","Upper Highlever Road","St Quintin Avenue","","","RG 12/24","5-8
"
"10","8","5","Upper Phillimore PIace","pt of Kensington Road","","","RG 12/20","133-137
"
"10","8","6","Upper Porchester Street","","","1-7","RG 12/14","66
"
"10","8","7","Upper Porchester Street","","","11A-15","RG 12/14","89
"
"10","8","8","Upper Porchester Street","","","9-11","RG 12/14","84
"
"10","8","9","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","North Side","Boyne Terrace, Uxbridge Road, 4-8","RG 12/22","35
"
"10","8","10","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","North Side","Boyne Terrace, Uxbridge Road, 9-10","RG 12/22","63
"
"10","8","11","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","North Side","Grove Terrace, Uxbridge Road","RG 12/22","63-64
"
"10","8","12","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","North Side","Norland Place, Uxbridge Road","RG 12/22","116-118
"
"10","8","13","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","North Side","Norland Terrace, Uxbridge Road","RG 12/22","121-123
"
"10","8","14","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","North Side","Notting Hill Terrace, Uxbridge Road, 1-19","RG 12/22","5-6
"
"10","8","15","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","North Side","Notting Hill Terrace, Uxbridge Road, 20-32","RG 12/22","35
"
"10","8","16","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","North Side","Notting Hill Terrace Lower","RG 12/22","86-87
"
"10","8","17","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","North Side","Union Terrace, Uxbridge Road","RG 12/22","123-124
"
"10","8","18","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","South Side","Addison Terrace, Uxbridge Road","RG 12/21","48-50
"
"10","8","19","Uxbridge Road","from Notting Hill High Street to Shepherds Bush, later Holland Park Avenue","South Side","Holland Park Gardens, Uxbridge Road","RG 12/20","173-178
"
