"11","1","1","Abbey Place","South Street","","R6RG, Abbey Place, 12391","39-40","
"
"11","1","2","Acre Lane","Brixton Road","","1-89 odd","RG 12/410","44-48
"
"11","1","3","Acre Lane","Brixton Road","","140-216 even","RG 12/408","77-81
"
"11","1","4","Acre Lane","Brixton Road","","2-34 even","RG 12/407","122-124
"
"11","1","5","Acre Lane","Brixton Road","","36-66 even","RG 12/408","5-6
"
"11","1","6","Acre Lane","Brixton Road","","68-138 even","RG 12/408","4 9-52
"
"11","1","7","Acre Lane","Brixton Road","","91-159 odd","RG 12/411","4-6
"
"11","1","8","Acre Lane","Brixton Road","","Trinity Almshouses, Acre Lane","RG 12/407","122-123
"
"11","1","9","Addington Crescent and Street","York Road","","","RG 12/389","41-45
"
"11","1","10","Addison Place","Cowley Road","","","RG 12/404","151-152
"
"11","1","11","Agnes Street","Waterloo Road","","Missing numbers demolished for railways","RG 12/389","129-131
"
"11","1","12","Akerman Road","Loughborough Road","","1-31 odd","RG 12/405","115-116
"
"11","1","13","Akerman Road","Loughborough Road","","123 odd","RG 12/405","14
"
"11","1","14","Akerman Road","Loughborough Road","","125 odd","RG 12/405","16
"
"11","1","15","Akerman Road","Loughborough Road","","127 odd","RG 12/405","16, 33
"
"11","1","16","Akerman Road","Loughborough Road","","129-141 odd","RG 12/405","16-17
"
"11","1","17","Akerman Road","Loughborough Road","","132-170 even","RG 12/405","17-19
"
"11","1","18","Akerman Road","Loughborough Road","","2-130 even","RG 12/406","87-93
"
"11","1","19","Akerman Road","Loughborough Road","","33-59 odd","RG 12/405","12-13
"
"11","1","20","Akerman Road","Loughborough Road","","61 odd","RG 12/405","19
"
"11","1","21","Akerman Road","Loughborough Road","","63 odd","RG 12/405","13
"
"11","1","22","Akerman Road","Loughborough Road","","65 odd","RG 12/405","19
"
"11","1","23","Akerman Road","Loughborough Road","","67-75 odd","RG 12/405","13-14
"
"11","1","24","Akerman Road","Loughborough Road","","77 odd","RG 12/405","19
"
"11","1","25","Akerman Road","Loughborough Road","","79-121 odd","RG 12/405","14-16
"
"11","1","26","Alaska Street","Waterloo Road","","","RG 12/388","108-109
"
"11","1","27","Albert Buildings","Randall Row","","","RG 12/392","120-125
"
"11","1","28","Albert Cottages","Nepartune Street","","","RG 12/401","84
"
"11","1","29","Albert Cottages","part Ashmole Place","","","RG 12/399","25
"
"11","1","30","Albert Dwellings or House","East Street","","","RG 12/395","53-54
"
"11","1","31","Albert Embankment","Lambeth Bridge","","27-35","RG 12/392","147
"
"11","1","32","Albert Embankment","Lambeth Bridge","","36-38","RG 12/392","149
"
"11","1","33","Albert Embankment","Lambeth Bridge","","39-40","RG 12/392","146-147
"
"11","1","34","Albert Embankment","Lambeth Bridge","","4","RG 12/392","99
"
"11","1","35","Albert Embankment","Lambeth Bridge","","41","RG 12/392","150, 156
"
"11","1","36","Albert Embankment","Lambeth Bridge","","42-44","RG 12/392","145-146
"
"11","1","37","Albert Embankment","Lambeth Bridge","","45","RG 12/392","150, 145
"
