"11","3","1","Gabriels Yard","Sutton Street","","","RG 12/389","102
"
"11","3","2","Garden Cottage","Newburn Street","","","RG 12/396","14-15
"
"11","3","3","Garden Cottages","Doris Street","later part Burrop Place","","RG 12/394","58-59
"
"11","3","4","Garden Cottages","Lower Kennington Lane","","","RG 12/398","22-23
"
"11","3","5","Garden Row","Kennington Park Road,","Later Rood Cottages","","RG 12/398","22
"
"11","3","6","Garden Row","Stockwell Road","","","RG 12/409","129-131
"
"11","3","7","Gardeners Place","Broad Street now contains Jolly Gardeners Yard, Cottage, Court & Place & Pleasant Place, later all became Lilac Place","Jolly Gardeners Public House on f 121","","RG 12/395","122-124
"
"11","3","8","Gas Works","Kennington Oval, Cottages","","","RG 12/398","136
"
"11","3","9","Gateley Road","Stockwell Road","","","RG 12/410","21-24
"
"11","3","10","Geneva Road","Coldharbour Lane","","","RG 12/414","71-82
"
"11","3","11","Geneva Terrace","Geneva Road","","","RG 12/414","70-71
"
"11","3","12","George IV Cottages","Brixton Hill","","","RG 12/411","37-38
"
"11","3","13","George Place","Upper Marsh","Demolished","","RG 12/391","174
"
"11","3","14","George Street","Gipsy Hill","","","RG 12/419","132-135
"
"11","3","15","George Street","Princes Road","","1-25","RG 12/394","72-75
"
"11","3","16","George Street","Princes Road","","23A-25A","RG 12/394","87-88
"
"11","3","17","George Street","Princes Road","","26-40","RG 12/394","84-87
"
"11","3","18","George Street","Princes Road","","41-46","RG 11/394","83-84
"
"11","3","19","George Street","Princes Road","","Grays Place, George Street","RG 12/394","84
"
"11","3","20","George Street","Princes Road","later Hutton Road","Oakridge Cottages, George Street","RG 12/394","72
"
"11","3","21","George Street","Tyers Street","now part Glasshouse Street","","",""
"11","3","22","Georges Place","Brixton Hill","","","RG 11/411","37-38
"
"11","3","23","Gilbert Road","Renfrew Road","1A on f 90","","RG 12/393","84-90
"
"11","3","24","Gilhams Cottages","Paddys Lane","takes in Smiths Cottages in 1897","","RG 12/411","44
"
"11","3","25","Gipsy Hill","Gipsy Road","","1-79 odd","RG 12/419","91-94
"
"11","3","26","Gipsy Hill","Gipsy Road","","2-32 even","RG 12/419","131-132
"
"11","3","27","Gipsy Hill","Gipsy Road","","34-148 even","RG 12/419","110-115
"
"11","3","28","Gipsy Hill","Gipsy Road","","83-123 odd","RG 12/419","52-54
"
"11","3","29","Gipsy Hill","Gipsy Road","","Police Station, Gipsy Hill","RG 12/419","131-132
"
"11","3","30","Gipsy Road","Norwood High Street","","5-8 and Dagmar Villas, Gipsy Road","RG 12/418","43-44
"
"11","3","31","Gipsy Road","Norwood High Street","","Auckland Villas and Tavern, Gipsy Road","RG 12/418","85-86
"
"11","3","32","Gipsy Road","Norwood High Street","","Gipsy Public House & Beulah Villas, Gipsy Road","RG 12/418","84-85
"
"11","3","33","Gipsy Road","Norwood High Street","","Gipsy Villas and Zingari Terrace, Gipsy Road","RG 12/418","44-45
"
"11","3","34","Gipsy Road","Norwood High Street","","Glendon, Chestnut and Campledown Villas, Gipsy Road","RG 12/418","85
"
"11","3","35","Gipsy Road","Norwood High Street","","Heathfield and Clifton Villas, Gipsy Road","RG 12/418","91-92
"
"11","3","36","Gipsy Road","Norwood High Street","","Market Place and Collier Terrace, Gipsy Road","RG 12/418","41-42
"
"11","3","37","Gipsy Road","Norwood High Street","","Oak Villas, Place and Terrace, Gipsy Road","RG 12/418","42-43
"
"11","3","38","Gipsy Road","Norwood High Street","","Paxton Hotel and Furnace House, Gipsy Road","RG 12/418","41
"
"11","3","39","Gipsy Road","Norwood High Street","","Robert Place and others","RG 12/419","48-49
"
"11","3","40","Gipsy Road","Norwood High Street","","Rommany villas and Elder Villas, Gipsy Road","RG 12/418","45-47
"
"11","3","41","Gipsy Road","Norwood High Street","","Various houses and Bon Marche Terrace, Gipsy Road","RG 12/419","50-52
"
"11","3","42","Gipsy Road","Norwood High Street","","Various houses and Francis Place, Gipsy Road","RG 12/419","45-46
"
"11","3","43","Gipsy Road","Norwood High Street","","Zingari Villas and others","RG 12/418","91
"
