"11","4","1","James Mews or Place","James Street","","","RG 12/392","81
"
"11","4","2","James Place","Charles (Murphy) Street","","","RG 12/390","22-23
"
"11","4","3","James Place","Doon Street","later Milan Place","","RG 12/387","42-43
"
"11","4","4","James Place","North Street","later Crow Place","","RG 12/391","40-41
"
"11","4","5","James Street","Lambeth Walk","later Hamish Street","","RG 12/392","80-81
"
"11","4","6","James Street","Lower Marsh","","37-56part","RG 12/389","144-146
"
"11","4","7","James Street","Lower Marsh","Part 56-58 missing after f 146","59-83","RG 12/389","77-81
"
"11","4","8","James Street","Lower Marsh","later Launcelot Street","1-36","RG 12/389","73-77
"
"11","4","9","Jeffreys Road","Clapham Road","","even numbers","RG 12/401","12-15
"
"11","4","10","Jeffreys Road","Clapham Road","","odd numbers","RG 12/.402","10-15
"
"11","4","11","Jelf Road & Cottages","Dalberg Road","","1-27 odd","RG 12/413","133-135
"
"11","4","12","Jelf Road & Cottages","Dalberg Road","","2-24 even","RG 12/413","135-136
"
"11","4","13","Jelf Road & Cottages","Dalberg Road","","26-28 even","RG 12/413","115
"
"11","4","14","Jelf Road & Cottages","Dalberg Road","","29-31 odd","RG 12/413","115
"
"11","4","15","Jelf Road & Cottages","Dalberg Road","","Cottages, Jelf Road & Cottages, Jelf Road & Cottages","RG 12/413","146
"
"11","4","16","Jessop Road","Milkwood Road","","","RG 12/415","127-129
"
"11","4","17","Johanna Street","Lower Marsh","","14-28 even","RG 12/390","84-86
"
"11","4","18","Johanna Street","Lower Marsh","","2-12 even","RG 12/390","36-37
"
"11","4","19","Johanna Street","Lower Marsh","","33-47 odd","RG 12/390","83-84
"
"11","4","20","Johanna Street","Lower Marsh","","Kinaston Works, Johanna Street","RG 12/390","84
"
"11","4","21","Johanna Street","Lower Marsh","now contains Kinaston Street","1-29 odd","RG 12/390","34-36
"
"11","4","22","John Street","Hercules Road,","later part Newnham Terrace","","RG 12/391","86
"
"11","4","23","John Street","Regent Street","","2-30 even","RG 12/395","13-16
"
"11","4","24","John Street","Regent Street","","27-35 odd","RG 12/395","77
"
"11","4","25","John Street","Regent Street","","32-48 even","RG 12/395","77-78
"
"11","4","26","John Street","Regent Street","later Gundolf Street","1-25 odd","RG 12/395","16-18
"
"11","4","27","John Street & Cottages","Dorset Road","now part Bolney Street","","",""
"11","4","28","Johns Terrace","part Princes Road","","","RG 12/394","91-92
"
"11","4","29","Jonathan Street","Vauxhall Walk","","1-11 odd","RG 12/396","138-139
"
"11","4","30","Jonathan Street","Vauxhall Walk","","13-19 odd","RG 12/396","150
"
"11","4","31","Jonathan Street","Vauxhall Walk","","2-18 even","RG 12/395","142
"
"11","4","32","Jonathan Street","Vauxhall Walk","","20-38 even","RG 12/395","129-130
"
"11","4","33","Jonathan Street","Vauxhall Walk","","21-27 odd","RG 12/396","176-177
"
"11","4","34","Jonathan Street","Vauxhall Walk","","29-41 odd","RG 12/397","10-11
"
"11","4","35","Josephine Avenue","Brixton Hill","Still being built","","RG 12/411","95-100
"
"11","4","36","Kay Road","Landor Road","","","RG 12/405","161-168
"
"11","4","37","Keelers Cottage","Dorset Road","also called Keeleys and Kellers","","RG 12/400","80
"
"11","4","38","Kellett Road","Effra Road","","","RG 12/414","5-13
"
"11","4","39","Kemerton Road","Cambria Road","","","RG 12/416","5-9
"
"11","4","40","Kempsford Road","Reedworth Street (1A on f95)","","","RG 12/393","91-95
"
"11","4","41","Kendall Villas","Water Lane","","","RG 12/411","91
"
"11","4","42","Kennington Grove","Henry Street","including Carlton Lodge","","RG 12/398","207-211
"
"11","4","43","Kennington Oval","Harleyford Road","","1-12","RG 12/398","188-189
"
"11","4","44","Kennington Oval","Harleyford Road","","14-26","RG 12/398","131-132
"
"11","4","45","Kennington Oval","Harleyford Road","","28-59","RG 12/398","171-174
"
"11","4","46","Kennington Oval","Harleyford Road","","Crown Villas, Kennington Oval","RG 12/399","109
"
"11","4","47","Kennington Oval","Harleyford Road","","Oval Tavern, Kennington Oval","RG 12/398","183
"
"11","4","48","Kennington Oval","Harleyford Road","later takes in Crown Villas; Oval Schools Missing after f 213 RG 12/398","Oval Chambers 1-60","RG 12/398","132-135
"
"11","4","49","Kennington Park","","","Lodge, Kennington Park","RG 12/403","29
"
"11","4","50","Kennington Park","","","Park House empty","RG 12/364","8
"
"11","4","51","Kennington Park","","","St Agnes Vicarage, Kennington Park","RG 12/364","4
"
"11","4","52","Kennington Park","","","St James Vicarage and Hawthorne Cottage, Kennington Park","RG 12/364","6
"
"11","4","53","Kennington Park Road","","","1-85 odd","RG 12/364","55-57
"
"11","4","54","Kennington Park Road","","","126-162 even","RG 12/398","78-80
"
"11","4","55","Kennington Park Road","","","164-214 even","RG 12/398","104-107
"
"11","4","56","Kennington Park Road","","","2-58 even","RG 12/398","5-8
"
"11","4","57","Kennington Park Road","","","216-318 even","RG 12/398","163-166
"
"11","4","58","Kennington Park Road","","","320-336 even","RG 12/399","3
"
"11","4","59","Kennington Park Road","","","60-96 even","RG 12/398","28-29
"
"11","4","60","Kennington Park Road","","","87-175 odd","RG 12/364","11-16
"
"11","4","61","Kennington Park Road","","","98-124 even","RG 12/398","54-55
"
"11","4","62","Kennington Place or Queen Street","","now Stannary Street","","",""
"11","4","63","Kennington Road","","","148-166 even","RG 12/394","138-139
"
"11","4","64","Kennington Road","","","168-180 even","RG 12/395","28-29
"
"11","4","65","Kennington Road","","","175-225 odd","RG 12/393","67-70
"
"11","4","66","Kennington Road","","","182 even","RG 12/395","44-45
"
"11","4","67","Kennington Road","","","184-192 even","RG 12/395","29-30
"
"11","4","68","Kennington Road","","","194 even","RG 12/395","29, 44
"
"11","4","69","Kennington Road","","","196-210 even","RG 12/395","30-31
"
"11","4","70","Kennington Road","","","2-52 even","RG 12/391","48-50
"
"11","4","71","Kennington Road","","","212-260 even","RG 12/395","114-117
"
"11","4","72","Kennington Road","","","227-291 odd","RG 12/393","131-135
"
"11","4","73","Kennington Road","","","262-276 even","RG 12/396","70-71
"
"11","4","74","Kennington Road","","","278-288 even and Tram YaRoad","RG 12/396","80
"
"11","4","75","Kennington Road","","","292-380 even","RG 12/398","142-148
"
"11","4","76","Kennington Road","","","295-365 odd","RG 12/398","87-92
"
"11","4","77","Kennington Road","","","363-407 odd","RG 12/398","107-109
"
"11","4","78","Kennington Road","","","382-420 even","RG 12/398","166-168
"
"11","4","79","Kennington Road","","","53-65 odd","RG 12/391","5-6
"
"11","4","80","Kennington Road","","","54 and 54A-E even","RG 12/391","12-13
"
"11","4","81","Kennington Road","","","58-76 even","RG 12/391","54-55
"
"11","4","82","Kennington Road","","","71-103 odd","RG 12/391","1-3
"
"11","4","83","Kennington Road","","","78-146 even","RG 12/394","26-30
"
"11","4","84","Kennington Road","","","Lambeth Vestry Hall, Kennington Road","RG 12/398","87
"
"11","4","85","Kennington Road","","","Surrey Lodge Dwellings","RG 12/391","13-18
"
"11","4","86","Kennington Road","","1-43 odd do not exist","45-49 odd","RG 12/391","10-11
"
"11","4","87","Kennington Road","","105-107 odd missing before f 1","111-171 odd","RG 12/393","22-24
"
"11","4","88","Kenyon Mansions","Coldharbour Lane","","","RG 12/416","112-113
"
"11","4","89","Kepler Road","Salon Road","","","RG 12/408","70-73
"
"11","4","90","Kestrel Avenue","Milkwood Road","","","RG 12/415","59-64
"
"11","4","91","Kibworth Street","Dorset Road","","even numbers","RG 12/400","89-91
"
"11","4","92","Kibworth Street","Dorset Road","was Mary and William Streets","odd numbers","RG 12/400","105-107
"
"11","4","93","Kildoran Road","Lyham Road","","29-51 odd","RG 12/411","11-12
"
"11","4","94","Kildoran Road","Lyham Road","No others built","16-36 even","RG 12/411","10-11
"
"11","4","95","Kimberley Road","Landor Road","","1-51 odd","RG 12/406","4-7
"
"11","4","96","Kimberley Road","Landor Road","","2-32 even","RG 12/406","7-8
"
"11","4","97","Kimberley Road","Landor Road","","36-66 even","RG 12/406","3-4
"
"11","4","98","Kimberley Road","Landor Road","","53-97 odd","RG 12/406","9-10
"
"11","4","99","Kinaston Place","Frazier Street","","","RG 12/390","86
"
"11","4","100","King Street","Cornwall Road","later Ethelm Street","","RG 12/388","12-25
"
"11","4","101","King Street","Lambeth Walk","later Wake Street","","RG 12/395","59-65
"
"11","4","102","Kings Head Yard","Lambeth High Street","","numbers mixed","RG 12/392","98-120
"
"11","4","103","Kingsmead Road","Leghorn Lane","","","RG 12/417","50
"
"11","4","104","Kingswood Cottages","Rosetta Street","","","RG 12/400","24-25
"
"11","4","105","Knatchbull Road","Denmark Road","","1-5 odd","RG 12/406","223
"
"11","4","106","Knatchbull Road","Denmark Road","continued in CAMBERWELL District","","",""
"11","4","107","Knights Hill Road","Norwood High Street","","111-117 odd","RG 12/418","161
"
"11","4","108","Knights Hill Road","Norwood High Street","","121-201 odd","RG 12/418","168-172
"
"11","4","109","Knights Hill Road","Norwood High Street","","148-220 even","RG 12/419","30-31
"
"11","4","110","Knights Hill Road","Norwood High Street","","2-66 even","RG 12/419","4-6
"
"11","4","111","Knights Hill Road","Norwood High Street","","69-79 odd","RG 12/418","162
"
"11","4","112","Knights Hill Road","Norwood High Street","","90 & 108 even","RG 12/419","30
"
"11","4","113","Knights Hill Road","Norwood High Street","","Jews Hospital & Orphanage, Knights Hill Road","RG 12/419","168-175
"
"11","4","114","Knights Hill Road","Norwood High Street","","Rothschilds Gardens?","RG 12/418","161
"
"11","4","115","Knights Hill Road","Norwood High Street","called Knights Hill in 1906; missing numbers presumed not built yet","3-63 odd","RG 12/418","141-143
"
"11","4","116","Knightshill Square","Knights Hill Road","","","RG 12/418","130-131
"
"11","4","117","Knollys Road","York Road","see also part in WANDSWORTH District","","RG 12/417","46-48
"
"11","4","118","Knowle Mews","Brixton Road","","","RG 12/407","20
"
"11","4","119","Knowle Road","Brixton Road","","","RG 12/407","4-10
"
"11","4","120","Lambert Road & Villas","Brixton Hill","","Villas, Lambert Road & Villas , Lambert Road & Villas","RG 12/411","31-32
"
"11","4","121","Lambert Road & Villas","Brixton Hill","","even numbers","RG 12/410","67-70
"
"11","4","122","Lambert Road & Villas","Brixton Hill","","odd numbers","RG 12/410","87-89
"
"11","4","123","Lambeth High Street","Lambeth Road","","1-4","RG 12/392","95
"
"11","4","124","Lambeth High Street","Lambeth Road","","39-41","RG 12/392","95
"
"11","4","125","Lambeth High Street","Lambeth Road","","44","RG 12/392","95-96, 99
"
"11","4","126","Lambeth High Street","Lambeth Road","","45","RG 12/392","96, 100
"
"11","4","127","Lambeth High Street","Lambeth Road","","47-68","RG 12/392","97-98
"
"11","4","128","Lambeth High Street","Lambeth Road","","5","RG 12/392","100
"
"11","4","129","Lambeth High Street","Lambeth Road","","6-9","RG 12/392","95
"
"11","4","130","Lambeth High Street","Lambeth Road","","9-28","RG 12/392","47-50
"
"11","4","131","Lambeth High Street","Lambeth Road","","Waterhouse, Lambeth High Street","RG 12/392","50
"
"11","4","132","Lambeth Palace","","","","RG 12/392","87-88
"
"11","4","133","Lambeth Palace Road","","","1-33 odd","RG 12/392","14-16
"
"11","4","134","Lambeth Palace Road","","","2 even only (no others)","RG 12/392","14
"
"11","4","135","Lambeth Palace Road","","","35-111 odd","RG 12/391","130-134
"
"11","4","136","Lambeth Palace Road","","","St Thomas Hospital, Lambeth Palace Road","RG 12/392","153-167
"
"11","4","137","Lambeth Road","","","101 odd","RG 12/392","30, 43
"
"11","4","138","Lambeth Road","","","103-109 odd","RG 12/392","30
"
"11","4","139","Lambeth Road","","","111 odd","RG 12/392","85
"
"11","4","140","Lambeth Road","","","112-124 even","RG 12/391","12
"
"11","4","141","Lambeth Road","","","113 odd","RG 12/392","85, 87
"
"11","4","142","Lambeth Road","","","115-121 odd","RG 12/392","85
"
"11","4","143","Lambeth Road","","","123 odd","RG 12/392","85, 98
"
"11","4","144","Lambeth Road","","","125-145 odd","RG 11/392","85-87
"
"11","4","145","Lambeth Road","","","126-176 even","RG 12/391","29-32
"
"11","4","146","Lambeth Road","","","178-202 even","RG 12/391","108-109
"
"11","4","147","Lambeth Road","","","2-92 even","RG 12/350","79
"
"11","4","148","Lambeth Road","","","31 & 45 odd","RG 12/391","88
"
"11","4","149","Lambeth Road","","","91-99 odd","RG 12/392","29-30
"
"11","4","150","Lambeth Road","","","94-110 even","RG 12/391","3-5
"
"11","4","151","Lambeth Road","","","Bethlem Hospital, Lambeth Road","RG 12/350","108-117
"
"11","4","152","Lambeth Road","","","Blind School, Lambeth Road","RG 12/350","133-138
"
"11","4","153","Lambeth Road","","","St Marys School, Lambeth Road","RG 12/392","87
"
"11","4","154","Lambeth Road","","83-89 odd do not exist","1-81 odd","RG 12/391","55-61
"
"11","4","155","Lambeth Square","Lower Marsh","","","RG 12/390","5-12
"
"11","4","156","Lambeth Walk","","","1-49 odd","RG 12/394","8-11
"
"11","4","157","Lambeth Walk","","","116-208 even","RG 12/392","56-59
"
"11","4","158","Lambeth Walk","","","121-143 odd","RG 12/395","55
"
"11","4","159","Lambeth Walk","","","145-167 odd","RG 12/394","92-93
"
"11","4","160","Lambeth Walk","","","2-42 even","RG 12/391","63-66
"
"11","4","161","Lambeth Walk","","","44-114 even","RG 12/392","24-28
"
"11","4","162","Lambeth Walk","","","51-87 odd","RG 12/394","125-127
"
"11","4","163","Lambeth Walk","","","89-119 odd","RG 12/394","143-144
"
"11","4","164","Lambeth Walk","","205 entered as 204","169-209 odd","RG 12/394","97-99
"
"11","4","165","Lancaster Road","Norwood Road","","1-47 odd","RG 12/417","103-105
"
"11","4","166","Lancaster Road","Norwood Road","","2-44 even","RG 12/417","105-107
"
"11","4","167","Lancaster Road","Norwood Road","continued in WANDSWORTH District","","",""
"11","4","168","Landor Road","Clapham Road","","1-91 odd","RG 12/406","48-54
"
"11","4","169","Landor Road","Clapham Road","","2-68 even","RG 12/409","28-32
"
"11","4","170","Landor Road","Clapham Road","","6-20","RG 12/405","168-170
"
"11","4","171","Landor Road","Clapham Road","","Devonshire Terrace, Landor Road","RG 12/406","54
"
"11","4","172","Landor Road","Clapham Road","","Market Place, Landor Road","RG 12/409","60-62
"
"11","4","173","Landor Road","Clapham Road","","Ryde Terrace, Landor Road","RG 12/409","87-90
"
"11","4","174","Landor Road","Clapham Road","","SW Fever Hospitals, Landor Road","RG 12/415","147-155
"
"11","4","175","Landor Road","Clapham Road","","Theobald Terrace 1-5 (not named)","RG 12/406","11-12
"
"11","4","176","Lanercost Road","Hillside Road","","","RG 12/417","62-63
"
"11","4","177","Lanfranc Street","Westminster Bridge Road","","2","RG 12/390","113
"
"11","4","178","Lanfranc Street","Westminster Bridge Road","","3-39","RG 12/390","110-115
"
