"11","7","1","Sainsbury Road","Gipsy Hill","was Station Road","","RG 12/419","67-73
"
"11","7","2","St Agnes Terrace","part Farmers Road","","2-22 even","RG 12/403","33-34
"
"11","7","3","St Albans Buildings","China Walk","","","RG 12/394","4-7
"
"11","7","4","St Albans Street","Kennington Road","","1-20","RG 12/394","13-16
"
"11","7","5","St Albans Street","Kennington Road","","21-28","RG 12/391","80-81
"
"11","7","6","St Albans Street","Kennington Road","","28 1/2 -31","RG 12/394","30-31
"
"11","7","7","St Albans Street","Kennington Road","","32-51","RG 12/394","16-18
"
"11","7","8","St Albans Street","Kennington Road","","?","RG 12/394","45
"
"11","7","9","St Andrews Place","Windmill Street","","","RG 12/388","28-29
"
"11","7","10","St Anns Road","Brixton Road","","","RG 12/404","118-120
"
"11","7","11","St Barnabas Villas","Guildford Road","","","RG 12/400","207
"
"11","7","12","St Cloud Road","Auckland Hill","","","RG 12/418","83
"
"11","7","13","St Faiths Road","Thurlow Park Road","","1-11","RG 12/417","91
"
"11","7","14","St Faiths Road","Thurlow Park Road","continued in WANDSWORTH District","","",""
"11","7","15","St Georges Cottages","Jonathan Street","","","RG 12/395","145-146
"
"11","7","16","St Georges Residences","Railton Road","","","RG 12/413","56-57
"
"11","7","17","St Georges Villas","Marley Place","later part St Agnes Place","","RG 12/403","23-24
"
"11","7","18","St Gothards Road","Gipsy Road","not yet allocated","odd numbers","RG 12/418","83
"
"11","7","19","St Gothards Road","Gipsy Road","was Elder Lane","even numbers","RG 12/418","80-83
"
"11","7","20","St James Cottages","White Hart Street","later Cupar Cottages","","RG 12/398","49
"
"11","7","21","St James Road","Angell Road","","","RG 12/416","90-98
"
"11","7","22","St Johns Gardens","","later part Wiltshire Road","","RG 12/416","61-62
"
"11","7","23","St Johns Road","Brixton Road","","","RG 12/416","40-42
"
"11","7","24","St Johns Terrace","part Hemberton Road","","","RG 12/406","45-47
"
"11","7","25","St Julians Farm Road","Knights Hill","","North Side","RG 12/419","38-41
"
"11","7","26","St Julians Farm Road","Knights Hill","","South Side","RG 12/419","22-26
"
"11","7","27","St Julians Road","Knights Hill Road","called Leigham Court Road in 1902","","RG 12/419","35-38
"
"11","7","28","St Lawrence Road","Mostyn Road","","","RG 12/405","96-101
"
"11","7","29","St Lukes Villas or Road","Norwood High St","called Hannen Road in 1906","","RG 12/418","111-112, 123
"
"11","7","30","St Marks Road","Kennington Park","","1-17 odd","RG 12/403","7-8
"
"11","7","31","St Marks Road","Kennington Park","","19-105 odd","RG 12/403","49-54
"
"11","7","32","St Marks Road","Kennington Park","","even numbers","RG 12/403","95-100
"
"11","7","33","St Martins Road","St Michaels Road","","","RG 12/405","48-51
"
"11","7","34","St Marys Buildings","Isabella Street","","","RG 12/390","79-80
"
"11","7","35","St Marys Square","Ship Lane","","1-17","RG 12/393","27-29
"
"11","7","36","St Marys Square","Ship Lane","","18-43","RG 12/393","50-55
"
"11","7","37","St Marys Square","Ship Lane","","45","RG 12/393","29
"
"11","7","38","St Marys Street","St Marys Square","","1-14","RG 12/393","49-50
"
"11","7","39","St Michaels Road","Stockwell Road","","","RG 12/405","54-57
"
"11","7","40","St Olaves Gardens and Houses","Walnut Tree Walk","","","RG 12/394","119-122
"
"11","7","41","St Oswalds Place","Upper Kennington Lane","","1-19 odd","RG 12/396","158-159
"
"11","7","42","St Oswalds Place","Upper Kennington Lane","","14-32 even","RG 12/397","43-45
"
"11","7","43","St Oswalds Place","Upper Kennington Lane","","2-12 even","RG 12/396","159-160
"
"11","7","44","St Oswalds Place","Upper Kennington Lane","","21 odd","RG 12/396","160
"
"11","7","45","St Oswalds Place","Upper Kennington Lane","","23 part odd","RG 12/397","34
"
"11","7","46","St Oswalds Place","Upper Kennington Lane","","Church School Lodge, St Oswalds Place","RG 12/397","45
"
"11","7","47","St Oswalds Place","Upper Kennington Lane","","part23-57 odd","RG 12/397","41-43
"
"11","7","48","St Saviours Road","Brixton Hill","","","RG 12/410","89-91
"
"11","7","49","St Stephens Terrace","Aldebert Terrace","","1-25 odd","RG 12/400","44-46
"
"11","7","50","St Stephens Terrace","Aldebert Terrace","","27 odd","RG 12/400","65
"
"11","7","51","St Stephens Terrace","Aldebert Terrace","","29-43 odd","RG 12/400","43-44
"
"11","7","52","St Stephens Terrace","Aldebert Terrace","","43A","RG 12/400","65
"
"11","7","53","St Stephens Terrace","Aldebert Terrace","","even numbers","RG 12/400","99-100
"
"11","7","54","St Stephens Villas","Idmiston Road","","","RG 12/417","117
"
"11","7","55","Salamanca Cottages","Vauxhall Walk","demolished","","RG 12/392","125
"
"11","7","56","Salamanca Court","Salamanca Street","","","RG 12/392","117-118
"
"11","7","57","Salamanca Place","Broad Street","demolished","","RG 12/392","125
"
"11","7","58","Salamanca Street","Vauxhall Walk","","even numbers","RG 12/392","115-117
"
"11","7","59","Salamanca Street","Vauxhall Walk","","only one odd (23)","RG 12/392","117
"
"11","7","60","Salters Hill","Gipsy Road","","","RG 12/419","49-50
"
"11","7","61","Saltoun Road","Effra Road","","","RG 12/414","13-19
"
"11","7","62","Salutation Place","Cornwall Road","","","RG 12/387","119-122
"
"11","7","63","Sancroft Street","Kennington Road","","11-11","A odd","RG 12/396"
"11","7","64","Sancroft Street","Kennington Road","","120 even","RG 12/396","59, 62
"
"11","7","65","Sancroft Street","Kennington Road","","122-128 even","RG 12/396","59
"
"11","7","66","Sancroft Street","Kennington Road","","13-41 odd","RG 12/396","90-91
"
"11","7","67","Sancroft Street","Kennington Road","","2-80 even","RG 12/396","71-75
"
"11","7","68","Sancroft Street","Kennington Road","","43-63 odd","RG 12/396","107-108
"
