"12","8","1","Union Place","Church Street","","1-11","RG 12/518","47
"
"12","8","2","Upper Mill","Bromley Road","","","RG 12/521","142
"
"12","8","3","Upper Sydenham Railway Station","Wells Road","","","RG 12/524","88
"
"12","8","4","Upper Winchester Road","","","14A","RG 12/522","55
"
"12","8","5","Upper Winchester Road","","","6-16 even","RG 12/522","54
"
"12","8","6","Upper Winchester Road","Catford Bridge","","1-25 odd","RG 12/522","54-55
"
"12","8","7","Upwood Road","","","2-6 even","RG 12/519","95
"
"12","8","8","Upwood Road","","","Nursery, Upwood Road","RG 12/519","95
"
"12","8","9","Upwood Road","Burnt Ash Lane","","1-15 odd","RG 12/519","95-96
"
"12","8","10","Vancouver Road","","","10 Ellerslie","RG 12/526","141
"
"12","8","11","Vancouver Road","","","11 Westleigh","RG 12/526","141
"
"12","8","12","Vancouver Road","","","12 St Georges Cottage, Vancouver Road","RG 12/526","141
"
"12","8","13","Vancouver Road","","","13 St Emery","RG 12/526","141
"
"12","8","14","Vancouver Road","","","14 Ecclesbourne","RG 12/526","141
"
"12","8","15","Vancouver Road","","","15 Woodgrange, Vancouver Road","RG 12/526","141
"
"12","8","16","Vancouver Road","","","16 Morthoe","RG 12/526","141
"
"12","8","17","Vancouver Road","","","17 Ashby Villa, Vancouver Road","RG 12/526","141-142
"
"12","8","18","Vancouver Road","","","2-15","RG 12/526","140-141
"
"12","8","19","Vancouver Road","","","7 Bellvue","RG 12/526","141
"
"12","8","20","Vancouver Road","","","Ballynamona, Vancouver Road","RG 12/526","143
"
"12","8","21","Vancouver Road","","","Bassett, Vancouver Road","RG 12/526","142
"
"12","8","22","Vancouver Road","","","Bermuda, Vancouver Road","RG 12/526","142
"
"12","8","23","Vancouver Road","","","Brooklyn, Vancouver Road","RG 12/526","142
"
"12","8","24","Vancouver Road","","","Burmah Villa, Vancouver Road","RG 12/526","143
"
"12","8","25","Vancouver Road","","","Chagford, Vancouver Road","RG 12/526","142-143
"
"12","8","26","Vancouver Road","","","Everby, Vancouver Road","RG 12/526","143
"
"12","8","27","Vancouver Road","","","Glenwood, Vancouver Road","RG 12/526","142
"
"12","8","28","Vancouver Road","","","Hatherleigh, Vancouver Road","RG 12/526","142
"
"12","8","29","Vancouver Road","","","Holmleigh, Vancouver Road","RG 12/526","142
"
"12","8","30","Vancouver Road","","","Lynton, Vancouver Road","RG 12/526","142
"
"12","8","31","Vancouver Road","","","Myrtle Villa, Vancouver Road","RG 12/526","143
"
"12","8","32","Vancouver Road","","","Normanhur St","RG 12/526","143-144
"
"12","8","33","Vancouver Road","","","Portway House, Vancouver Road","RG 12/526","142
"
"12","8","34","Vancouver Road","","","Pyrmross, Vancouver Road","RG 12/526","142
"
"12","8","35","Vancouver Road","","","Ranfurley, Vancouver Road","RG 12/526","140
"
"12","8","36","Vancouver Road","","","Rose Villa, Vancouver Road","RG 12/526","143
"
"12","8","37","Vancouver Road","","","St Elmo, Vancouver Road","RG 12/526","143
"
"12","8","38","Vancouver Road","","","St Georges Vicarage, Vancouver Road","RG 12/526","143
"
"12","8","39","Vancouver Road","","","St Johns, Vancouver Road","RG 12/526","143
"
"12","8","40","Vancouver Road","","","Sunnyside, Vancouver Road","RG 12/526","142
"
"12","8","41","Vancouver Road","","","Vancouver Lodge, Vancouver Road","RG 12/526","143
"
"12","8","42","Vancouver Road","","","Whiteway, Vancouver Road","RG 12/526","143
"
"12","8","43","Vancouver Road","","","Wolferts Rest","RG 12/526","142
"
"12","8","44","Venner Road","","","1-13 Lansdowne Place, Venner Road","RG 12/523","96-98
"
"12","8","45","Venner Road","","","1-2 Carisbrook","RG 12/523","100
"
"12","8","46","Venner Road","","","1-2 Carlyle Villas, Venner Road","RG 12/523","99
"
"12","8","47","Venner Road","","","1-2 Kingsley Villas, Venner Road","RG 12/523","99
"
"12","8","48","Venner Road","","","1-2 Lincoln Villas, Venner Road","RG 12/523","99
"
"12","8","49","Venner Road","","","1-2 Newlands","RG 12/523","100-101
"
"12","8","50","Venner Road","","","1-2 Sutherland Villas, Venner Road","RG 12/523","101
"
"12","8","51","Venner Road","","","1-5 Madison Villas, Venner Road","RG 12/523","100
"
"12","8","52","Venner Road","","","Adelaide House, Venner Road","RG 12/523","98
"
"12","8","53","Venner Road","","","Atholl Lodge, Venner Road","RG 12/523","98
"
"12","8","54","Venner Road","","","Benedon, Venner Road","RG 12/523","99
"
"12","8","55","Venner Road","","","Crofton Lodge, Venner Road","RG 12/523","99-100
"
"12","8","56","Venner Road","","","East View, Venner Road","RG 12/523","100
"
"12","8","57","Venner Road","","","Ecclesbourne, Venner Road","RG 12/523","98
"
"12","8","58","Venner Road","","","Fernthorpe, Venner Road","RG 12/523","98
"
"12","8","59","Venner Road","","","Glencoe, Venner Road","RG 12/523","98
"
"12","8","60","Venner Road","","","Hazelwood, Venner Road","RG 12/523","100
"
"12","8","61","Venner Road","","","Hope Lodge, Venner Road","RG 12/523","99
"
"12","8","62","Venner Road","","","Kilmarnock Villa, Venner Road","RG 12/523","100
"
"12","8","63","Venner Road","","","Mainlow House, Venner Road","RG 12/523","99
"
"12","8","64","Venner Road","","","Meadow View, Venner Road","RG 12/523","99
"
"12","8","65","Venner Road","","","Montrose, Venner Road","RG 12/523","98
"
"12","8","66","Venner Road","","","Newport Villa, Venner Road","RG 12/523","99
"
"12","8","67","Venner Road","","","Norwood Lodge, Venner Road","RG 12/523","98-99
"
"12","8","68","Venner Road","","","Pendennis, Venner Road","RG 12/523","99
"
"12","8","69","Venner Road","","","Rosemount, Venner Road","RG 12/523","100
"
"12","8","70","Venner Road","","","Roseneath, Venner Road","RG 12/523","98
"
"12","8","71","Venner Road","","","St Philips, Venner Road","RG 12/523","98
"
"12","8","72","Venner Road","","","Shaftesbury Villa, Venner Road","RG 12/523","101
"
"12","8","73","Venner Road","","","Sunnyside, Venner Road","RG 12/523","98
"
"12","8","74","Venner Road","","","The Limes, Venner Road","RG 12/523","101
"
"12","8","75","Venner Road","","","West View, Venner Road","RG 12/523","98
"
"12","8","76","Vian Street","","","1-27 odd","RG 12/520","15-17
"
"12","8","77","Vian Street","","","2-32 even","RG 12/520","17-18
"
"12","8","78","Vicars Hill","Fairview","","","RG 12/522","73
"
"12","8","79","Vicars Hill","Ladywell","","1-39 odd","RG 12/522","70-72
"
"12","8","80","Vicars Hill","Ladywell","","2-24 even","RG 12/522","72-73
"
"12","8","81","Vicars Hill","North Cottage","","","RG 12/522","73
"
"12","8","82","Vicars Hill","South Cottage","","","RG 12/522","73
"
"12","8","83","Vicars Hill Villas","","","1-2","RG 12/522","70
"
"12","8","84","Victoria Mews","Dacre Park","","","RG 12/517","164
"
"12","8","85","Victoria Road","","","1-14","RG 12/516","32-33
"
"12","8","86","Victoria Terrace","Ennersdale Road","","1-21","RG 12/521","7-10
"
"12","8","87","Volunteer Headquarters","Blackheath","","","RG 12/517","78
"
"12","8","88","Waldenshaw Road","","","1 Church Villas, Waldenshaw Road","RG 12/526","44
"
"12","8","89","Waldenshaw Road","","","1-2","RG 12/526","43-44
"
"12","8","90","Waldenshaw Road","","","1-2 Hadfield Villas, Waldenshaw Road","RG 12/526","43
"
"12","8","91","Waldenshaw Road","","","1-2 Leabrook Villas, Waldenshaw Road","RG 12/526","43
"
"12","8","92","Waldenshaw Road","","","2 St Pauls Villas, Waldenshaw Road","RG 12/526","43-44
"
"12","8","93","Waldenshaw Road","","","Ellerslie, Waldenshaw Road","RG 12/526","43
"
"12","8","94","Waldenshaw Road","","","Haverlock Mews, Waldenshaw Road","RG 12/526","44
"
"12","8","95","Waldenshaw Road","","","Holme Lodge, Waldenshaw Road","RG 12/526","43
"
"12","8","96","Waldram Road","Forest Hill","","1-5","RG 12/526","57
"
"12","8","97","Wantage Road","","","1-15","RG 12/519","73-74
"
"12","8","98","Wantage Road","","","Sherteen Villa, Wantage Road","RG 12/519","74
"
"12","8","99","Wantage Road","","","The Gables, Wantage Road","RG 12/519","74
"
"12","8","100","Wards Cottages","","","1-2","RG 12/520","15
"
"12","8","101","Warwick Terrace","Taylors Lane","","1-4","RG 12/524","89-90
"
"12","8","102","Wastdale Road","Cambridge Terrace","","1-4","RG 12/525","159
"
"12","8","103","Wastdale Road","Forest Hill","","1-5 7odd","RG 12/525","161-163
"
"12","8","104","Wastdale Road","Forest Hill","","2-54 even","RG 12/525","159-161
"
"12","8","105","Water Tower","Shooters Hill","","","RG 12/516","102
"
"12","8","106","Waterloo Place","","","Vine Cottage, Waterloo Place","RG 12/521","174
"
"12","8","107","Waterloo Place","Rushey Green","","1-10","RG 12/521","173
"
"12","8","108","Watlington Grove","Sydenham Road","","1-33","RG 12/523","138-143
"
