"13","4","1","James Buildings","Hutchison Street","","","RG 12/235","14
"
"13","4","2","James Court","Bury Street","","unoccupied, James Court","RG 12/241","82
"
"13","4","3","Jeffrey Square","St Mary Axe","","","RG 12/241","16
"
"13","4","4","Jewin Crescent","Jewin Street","","1-3 Odd","RG 12/236","81
"
"13","4","5","Jewin Crescent","Jewin Street","","5-41 Odd","RG 12/236","6
"
"13","4","6","Jewin Crescent","Jewin Street","Mostly unoccupied","6-40 Even","RG 12/236","5-6
"
"13","4","7","Jewin Street","Aldersgate Street","","1-6","RG 12/236","77
"
"13","4","8","Jewin Street","Aldersgate Street","","Mixed, Jewin Street, 10-48","RG 12/236","4-6
"
"13","4","9","Jewin Street","Aldersgate Street","","unoccupied 49-End","RG 12/236","77
"
"13","4","10","Jewry Street","Aldgate","","1-6","RG 12/241","74
"
"13","4","11","Jewry Street","Aldgate","","18-20","RG 12/240","100
"
"13","4","12","Jewry Street","Aldgate","","26-33","RG 12/235","111
"
"13","4","13","Jewry Street","Aldgate","","34-37","RG 12/241","74
"
"13","4","14","Jewry Street","Aldgate","","7-16","RG 12/240","96-97
"
"13","4","15","John Carpenter Street","Victoria Embankment","","","RG 12/238","63
"
"13","4","16","John Street","Minories","","1-9","RG 12/240","101
"
"13","4","17","John Street","Minories","Mostly unoccupied","11-15","RG 12/235","113
"
"13","4","18","Johnsons Buildings","Inner Temple","","","RG 12/238","114
"
"13","4","19","Johnsons Court","Fleet Street","","1-10","RG 12/238","141
"
"13","4","20","Johnsons Court","Fleet Street","","Remainder unoccupied","RG 12/238","73
"
"13","4","21","Kennet Wharf Lane","Upper Thames Street","","","RG 12/239","161-162
"
"13","4","22","King Edward Street","Newgate Street","","","RG 12/239","61-62
"
"13","4","23","King Edward Street","Newgate Street","","Christs Hospital School, King Edward Street","RG 12/236","122-127
"
"13","4","24","King Edward Street","Newgate Street","","Remainder of Street","RG 12/239","59-60
"
"13","4","25","King Street","Cheapside","","11-14","RG 12/239","105
"
