"17","4","1","James Place","Lower North Street","","","RG 12/332","20-22
"
"17","4","2","James Street","St Leonard Street","","1-2","RG 12/319","44
"
"17","4","3","James Street","St Leonard Street","","3","RG 12/319","46
"
"17","4","4","James Street","St Leonard Street","renamed Shenfield Place in 1908","4-17","RG 12/319","44-46
"
"17","4","5","Janet Street","West Ferry Road","","","RG 12/334","120-124
"
"17","4","6","Jefferson Street","St Leonard Street","","","RG 12/319","99-104
"
"17","4","7","Jeremiah Street","East India Dock Road","","1-13 Odd","RG 12/329","93
"
"17","4","8","Jeremiah Street","East India Dock Road","","17-35 Odd","RG 12/329","95-96
"
"17","4","9","Jeremiah Street","East India Dock Road","","2-18 Even","RG 12/329","94-95
"
"17","4","10","Jeremiah Street","East India Dock Road","","Caledonian Terrace, Jeremiah Street","RG 12/329","93-94
"
"17","4","11","Jeremiah Street","East India Dock Road","","Carters Terrace, Jeremiah Street","RG 12/329","92-93
"
"17","4","12","Jeremiah Street","East India Dock Road","","Wades Arms PH","RG 12/329","92
"
"17","4","13","Jodrell Road","Wick Lane","","","RG 12/317","51-60
"
"17","4","14","Jodrell Terrace","Wick Lane","","","RG 12/317","60-61
"
"17","4","15","Johns Place","Robin Hood Lane","","","RG 12/328","20
"
"17","4","16","Johnson Street","Manchester Road","","","RG 12/337","16-18
"
"17","4","17","Johnsons Buildings","Kerbey Street","","","RG 12/324","32-33
"
"17","4","18","Joshua Street","St Leonards Road","","","RG 12/326","106-110
"
"17","4","19","Judkin Street","East Ferry Road","","","RG 12/336","46-48
"
"17","4","20","Kerbey Street","East India Dock Road","","1-17 Odd","RG 12/329","79-80
"
"17","4","21","Kerbey Street","East India Dock Road","","119","RG 12/324","31, 53
"
"17","4","22","Kerbey Street","East India Dock Road","","121-125 Odd","RG 12/324","31 '
"
"17","4","23","Kerbey Street","East India Dock Road","","133-143 Odd","RG 12/324","33
"
"17","4","24","Kerbey Street","East India Dock Road","","17-27 Odd","RG 12/329","116
"
"17","4","25","Kerbey Street","East India Dock Road","","2-34 Even","RG 12/329","54-56
"
