"17","5","1","Malmesbury Road","Coborn Road","","","RG 12/314","60-77
"
"17","5","2","Managers Road","New Road Pier Master","one residence only","","RG 12/336","60
"
"17","5","3","Manchester Road","Cubitt Town","","116-144 Even","RG 12/337","9-10
"
"17","5","4","Manchester Road","Cubitt Town","","146-156 Even","RG 12/337","6-7
"
"17","5","5","Manchester Road","Cubitt Town","","160-174 Even","RG 12/336","92-93
"
"17","5","6","Manchester Road","Cubitt Town","","161-195 Odd","RG 12/335","48-52
"
"17","5","7","Manchester Road","Cubitt Town","","197-231 Odd","RG 12/335","55-58
"
"17","5","8","Manchester Road","Cubitt Town","","2-60 Even","RG 12/337","18-22
"
"17","5","9","Manchester Road","Cubitt Town","","233-283 Odd","RG 12/335","67-70
"
"17","5","10","Manchester Road","Cubitt Town","","246-268 Even","RG 12/336","87-89
"
"17","5","11","Manchester Road","Cubitt Town","","274-308 Even","RG 12/336","83-85
"
"17","5","12","Manchester Road","Cubitt Town","","285-315 Odd","RG 12/335","72-73
"
"17","5","13","Manchester Road","Cubitt Town","","310-364 Even","RG 12/336","76-79
"
"17","5","14","Manchester Road","Cubitt Town","","317-325 Odd","RG 12/335","95-96
"
"17","5","15","Manchester Road","Cubitt Town","","336-410 Even","RG 12/336","69-72
"
"17","5","16","Manchester Road","Cubitt Town","","377-391 Odd","RG 12/335","96
"
"17","5","17","Manchester Road","Cubitt Town","","393-449 Odd","RG 12/335","112-114
"
"17","5","18","Manchester Road","Cubitt Town","","451-473 Odd","RG 12/335","120
"
"17","5","19","Manchester Road","Cubitt Town","","475-519 Odd","RG 12/336","5-7
"
"17","5","20","Manchester Road","Cubitt Town","","521-571 Odd","RG 12/336","28-31
"
"17","5","21","Manchester Road","Cubitt Town","","62-114 Even","RG 12/337","12-16
"
"17","5","22","Manchester Road","Cubitt Town","","71-73 Odd","RG 12/335","34
"
"17","5","23","Manchester Road","Cubitt Town","","75-159 Odd","RG 12/335","35-41
"
"17","5","24","Manchester Road","Cubitt Town","","Olliffe Terrace, Manchester Road, 1-21","RG 12/336","90-92
"
"17","5","25","Manchester Road","Cubitt Town","","Vicarage, Manchester Road","RG 12/336","93
"
"17","5","26","Manchester Road","Cubitt Town","","pt 4?, Manchester Road","RG 12/335","120
"
"17","5","27","Manchester Road","Cubitt Town","11-69 and 327-375 Odd do not exist","1-9 Odd","RG 12/335","33
"
"17","5","28","Manchester Terrace","West Ferry Road","","Back of 288-290","RG 12/337","29
"
"17","5","29","Manilla Street","West Ferry Road","","","RG 12/334","66-73
"
"17","5","30","Manisty Street","Robin Hood Lane","","424","RG 12/333","60
"
"17","5","31","Manisty Street","Robin Hood Lane","","425","RG 12/333","52
"
"17","5","32","Manisty Street","Robin Hood Lane","","426","RG 12/333","52, 60
"
"17","5","33","Manisty Street","Robin Hood Lane","","427-436","RG 12/333","52
"
"17","5","34","Manisty Street","Robin Hood Lane","","455-512","RG 12/333","54-58
"
"17","5","35","Manisty Street","Robin Hood Lane","wholly comprised of Grosvenor Buildings","26-423","RG 12/333","30-52
"
"17","5","36","Manor Place","Cuba Street","","","RG 12/334","65
"
"17","5","37","Manor Place","Shirbutt Street","","","RG 12/332","42
"
"17","5","38","Mansfield Cottages or Terrace","pt Folly Wall","","","RG 12/336","65-66
"
"17","5","39","Maria Street","West Ferry Road","","10-24","RG 12/334","112-114
"
"17","5","40","Maria Street","West Ferry Road","","1A","RG 12/334","110-111
"
"17","5","41","Maria Street","West Ferry Road","","2-9","RG 12/334","114-115
"
"17","5","42","Maria Street","West Ferry Road","","25-31","RG 12/334","111
"
"17","5","43","Market Street","Kerbey Street","","1-27 Odd","RG 12/330","45-47
"
"17","5","44","Market Street","Kerbey Street","","2 Even","RG 12/330","47
"
"17","5","45","Market Street","Kerbey Street","","29-69 Odd","RG 12/330","12-15
"
"17","5","46","Market Street","Kerbey Street","","4-30 Even","RG 12/330","11-12
"
"17","5","47","Marner Street","St Leonard Street","","1 Odd","RG 12/319","48
"
"17","5","48","Marner Street","St Leonard Street","","2-40 Even","RG 12/319","28-30
"
"17","5","49","Marner Street","St Leonard Street","","3-109 Odd","RG 12/319","31-36
"
"17","5","50","Marner Street","St Leonard Street","","42-62 Even","RG 12/319","36-68
"
"17","5","51","Marner Street","St Leonard Street","","School, Marner Street","RG 12/319","28
"
"17","5","52","Marsh Street","Cahir Street","","","RG 12/335","19-20
"
"17","5","53","Marshfield Street","Manchester Road","","1-16","RG 12/335","114-116
"
"17","5","54","Marshfield Street","Manchester Road","","17","RG 12/335","115-116
"
"17","5","55","Marshfield Street","Manchester Road","","18-43","RG 12/335","117-120
"
"17","5","56","Mary Place","Chrisp Street","","","RG 12/329","29-31
"
"17","5","57","Mary Street","Harley Street","later called Benworth Street wrongly entered as Alfred Street on f 47","","RG 12/314","46-47
"
"17","5","58","Mast House and Cottages","West Ferry Road","","","RG 12/337","37-38
"
"17","5","59","Maverton Road","Atley Road","","","RG 12/316","130-134
"
"17","5","60","May Terrace","pt Alpha Road","","","RG 12/334","146-147
"
"17","5","61","Mellish Street","West Ferry Road","","","RG 12/334","125-138
"
"17","5","62","Merchant Street","Bow Road","","1-28","RG 12/321","114-116
"
"17","5","63","Merchant Street","Bow Road","","29-62","RG 12/321","116-120
"
"17","5","64","Merchant Street","Bow Road","","29A-30A","RG 12/321","116
"
"17","5","65","Merchant Street","Bow Road","Note: 77-80 wrongly entered as Wellington Road","63-69 do not exist70-81","RG 12/321","120-121
"
"17","5","66","Mill Cottages","Bowen Street","","","RG 12/324","37
"
"17","5","67","Mill Place","Bowen Street","","","RG 12/324","39
"
"17","5","68","Millwall","","","","RG 12/335","1-29
"
"17","5","69","Millwall","","","","RG 12/337","22-57
"
"17","5","70","Millwall","","","Millwall Club","RG 12/335","9
"
"17","5","71","Millwall","","","Mostly Round West Ferry Road","RG 12/334","61-end
"
"17","5","72","Millwall","","","Pier Head Cottages, Millwall","RG 12/335","6-7
"
"17","5","73","Milton Place","Chrisp Street","","","RG 12/324","68
"
"17","5","74","Milton Road","Old Ford Road","now contains Milton Place and Homer Cottages","","RG 12/315","149-161
"
"17","5","75","Mitford Terrace","Wick Lane","","","RG 12/317","71
"
"17","5","76","Moiety Road","West Ferry Road","","one only","RG 12/337","54
"
"17","5","77","Moness Street","Abbott Road","","","RG 12/328","56-64
"
"17","5","78","Monier Road","Wick Lane","","","RG 12/318","30-48
"
"17","5","79","Montague Place","Newby Place","","","RG 12/332","94-96
"
"17","5","80","Montague Place","West Ferry Road","","","RG 12/334","61
"
"17","5","81","Montague Place","pt Cahir Street","","","RG 12/335","18-19
"
"17","5","82","Monteith Road","Old Ford Road","","","RG 12/317","38-42
"
"17","5","83","Morant Street","Birchfield Street","","","RG 12/331","110-119
"
"17","5","84","Mornington Road","Bow Road","","1-26","RG 12/321","66-68
"
"17","5","85","Mornington Road","Bow Road","","St Georges Terrace, Mornington Road","RG 12/321","68
"
"17","5","86","Mornington Road","Bow Road","","St Leonards Terrace, Mornington Road","RG 12/321","68-69
"
"17","5","87","Morris Road","Chrisp Street","","1-23 Odd","RG 12/323","139-142
"
"17","5","88","Morris Road","Chrisp Street","","2-22 Even","RG 12/323","139-142
"
"17","5","89","Morris Road","Chrisp Street","","24-42 Even","RG 12/323","102-104
"
"17","5","90","Morris Road","Chrisp Street","","25 Odd","RG 12/323","102
"
"17","5","91","Morris Road","Chrisp Street","","27-39 Odd","RG 12/323","101-102
"
"17","5","92","Morris Road","Chrisp Street","","41-43 Odd","RG 12/323","103-104
"
"17","5","93","Morris Road","Chrisp Street","","Dry Granary Works, Morris Road","RG 12/323","104
"
"17","5","94","Morris Road","Chrisp Street","","Vicarage and Church House, Morris Road","RG 12/323","142
"
"17","5","95","Morville Street","Tredegar Road","","1-87 Odd","RG 12/314","158-163
"
