"17","6","1","Paradise Cottages","Gray Street","","","RG 12/327","18-19
"
"17","6","2","Paris Terrace","Gough Street","","","RG 12/330","110-111
"
"17","6","3","Park Place","Limehouse Causeway","","","RG 12/334","26-27
"
"17","6","4","Park Street and Buildings","Three Colt Street","","1","RG 12/296","75
"
"17","6","5","Park Street and Buildings","Three Colt Street","","1-13","RG 12/296","73-74
"
"17","6","6","Park Street and Buildings","Three Colt Street","","14-80","RG 12/334","33-40
"
"17","6","7","Park Street and Buildings","Three Colt Street","","81-84","RG 12/296","74-75
"
"17","6","8","Park Street and Buildings","Three Colt Street","","Buildings, Park Street and Buildings, Park Street and Buildings","RG 12/334","35-36
"
"17","6","9","Parnell Road","Tredegar Road","","127A-167 Odd","RG 12/317","11-14
"
"17","6","10","Parnell Road","Tredegar Road","","148-180 Even","RG 12/317","9-11
"
"17","6","11","Parnell Road","Tredegar Road","","2-54 Even","RG 12/314","170-173
"
"17","6","12","Parnell Road","Tredegar Road","","56-146 Even","RG 12/315","102-111
"
"17","6","13","Parnell Road","Tredegar Road","","71-127 Odd","RG 12/315","102-110
"
"17","6","14","Parnell Road","Tredegar Road","now contains Summer Terrace","1-69 Odd","RG 12/314","173-178
"
"17","6","15","Parsonage Street","Manchester Road","","","RG 12/335","49-50
"
"17","6","16","Payne Road","Bow Road","","","RG 12/314","114-115
"
"17","6","17","Peabody Place","pt Lion Street","","","RG 12/330","18-19
"
"17","6","18","Pekin Street","East India Dock Road","now contains Evans Street","","RG 12/330","64-74
"
"17","6","19","Pennyfields","Poplar High Street","Note: part of 48(?) are on f 18","","RG 12/332","6-14
"
"17","6","20","Perring Street","Devons Road","","","RG 12/323","54-59
"
"17","6","21","Perrys Close","East India Dock Road","","","RG 12/331","105-106
"
"17","6","22","Peter Street","St Leonard Street","","","RG 12/319","44
"
"17","6","23","Phoebe Street","Three Colt Street","","","RG 12/296","71-72
"
"17","6","24","Phoebe Street","Three Colt Street","","Court, Phoebe Street","RG 12/334","30-31
"
"17","6","25","Phoebe Street","Three Colt Street","now contains New Street 31-43","1-30","RG 12/334","27-30
"
"17","6","26","Pickfords Stables","Poplar High Street","","","RG 12/332","64
"
"17","6","27","Pier Head Cottages","Millwall","","","RG 12/335","6-7
"
"17","6","28","Pier Street West","Manchester Road","","","RG 12/335","70-72
"
"17","6","29","Pigott Street","East India Road","","2-60 Even","RG 12/297","41-44
"
"17","6","30","Pigott Street","East India Road","","3-65 Odd","RG 12/297","44-48
"
"17","6","31","Pigott Street","East India Road","","62-70 Even","RG 12/330","83
"
"17","6","32","Pigott Street","East India Road","","67-75 Odd","RG 12/330","82-83
"
"17","6","33","Plevna Street","Castalia Street","","","RG 12/336","19-28
"
"17","6","34","Plimsoll Street","East India Dock Road","","","RG 12/329","85-88
"
"17","6","35","Police Stations","","","Bow Road","RG 12/321","44
"
"17","6","36","Police Stations","","","East India Dock Road","RG 12/329","24
"
"17","6","37","Police Stations","","","East India Docks","RG 12/329","4
"
"17","6","38","Poplar High Street","","","104-126 Even","RG 12/333","79-80
"
"17","6","39","Poplar High Street","","","117 Board of Works, Poplar High Street","RG 12/332","64
"
"17","6","40","Poplar High Street","","","119-135 Odd","RG 12/332","67-68
"
"17","6","41","Poplar High Street","","","128-338 Even","RG 12/333","85-96
"
"17","6","42","Poplar High Street","","","137-161 Odd","RG 12/332","77-78
"
"17","6","43","Poplar High Street","","","165-181 Odd","RG 12/332","88-89
"
"17","6","44","Poplar High Street","","","189-201 Odd","RG 12/332","100
"
"17","6","45","Poplar High Street","","","2-30 Even","RG 12/333","66-67
"
"17","6","46","Poplar High Street","","","203-207 Odd","RG 12/233","63-69
"
"17","6","47","Poplar High Street","","","209 Odd","RG 12/332","100
"
"17","6","48","Poplar High Street","","","211 Odd","RG 12/332","102, 123
"
"17","6","49","Poplar High Street","","","213-223 Odd","RG 12/332","102
"
"17","6","50","Poplar High Street","","","225-247 Odd","RG 12/332","107-108
"
"17","6","51","Poplar High Street","","","265-307 Odd","RG 12/333","4-5
"
"17","6","52","Poplar High Street","","","309-315 Odd","RG 12/334","7
"
"17","6","53","Poplar High Street","","","32-68 Even","RG 12/333","69-70
"
"17","6","54","Poplar High Street","","","51-79 Odd","RG 12/332","48-49
"
"17","6","55","Poplar High Street","","","70-102 Even","RG 12/333","76-78
"
"17","6","56","Poplar High Street","","","81-93 Odd","RG 12/332","58-59
"
"17","6","57","Poplar High Street","","","9-49 Odd","RG 12/332","37-39
"
"17","6","58","Poplar High Street","","","95-107 Odd","RG 12/332","63
"
"17","6","59","Poplar High Street","","","St Matthias Parsonage","RG 12/332","64
"
"17","6","60","Poplar High Street","","","Union Workhouse, Poplar High Street","RG 12/337","70-90
"
"17","6","61","Poplar High Street","","109-113 and 249-253 do not exist","115 Odd","RG 12/332","64
"
"17","6","62","Poplar High Street","","","1-7 Odd","RG 12/332","24
"
"17","6","63","Poplar Terrace","Poplar High Street","","","RG 12/333","80-81
"
"17","6","64","Portree Street","Abbott Road","","","RG 12/328","64-73
"
