"18","7","1","St Agathas Square","Willow Street","","","RG 12/243","127-130
"
"18","7","2","St Johns Road","Hoxton","","1-27 Odd","RG 12/249","40-41
"
"18","7","3","St Johns Road","Hoxton","","111-169 Odd","RG 12/250","82-86
"
"18","7","4","St Johns Road","Hoxton","","118-178 Even","RG 12/250","100-104
"
"18","7","5","St Johns Road","Hoxton","","2-78 Even","RG 12/248","114-120
"
"18","7","6","St Johns Road","Hoxton","","29-67 Odd","RG 12/249","58-60
"
"18","7","7","St Johns Road","Hoxton","","69-109 Odd","RG 12/249","106-108
"
"18","7","8","St Johns Road","Hoxton","","80-116 Even","RG 12/249","10-12
"
"18","7","9","St Johns Road","Hoxton","","pt 107 Odd","RG 12/249","127
"
"18","7","10","St Johns Terrace","Harwar Street","Nos 37 and 38 are Perry Place on f 175","","RG 12/242","169-175
"
"18","7","11","St Saviours Priory","Great Cambridge Street","","","RG 12/254","98
"
"18","7","12","Salisbury Street","New North Road","","","RG 12/249","146-151
"
"18","7","13","Sarah Street","Drysdale Street","","","RG 12/243","34-37
"
"18","7","14","Sarahs Buildings","Old Street","","","RG 12/247","125-126
"
"18","7","15","Sash Court","Wilson Street","","unoccupied, Sash Court","RG 12/242","152
"
"18","7","16","Scawfell Street","Hackney Road","","","RG 12/254","141-153
"
"18","7","17","Schools","","","Mintern Street Chapel","RG 12/249","116
"
"18","7","18","Schools","47-49 Pitfield Street","","Haberdashers, Schools","RG 12/247","64
"
"18","7","19","Schools","Canal Road","","","RG 12/252","40
"
"18","7","20","Schools","Catherine Street","","Board, Schools","RG 12/247","111
"
"18","7","21","Schools","Chatham Gardens","","Board, Schools","RG 12/245","50
"
"18","7","22","Schools","Haggerstone","","Board, Schools","RG 12/253","59
"
"18","7","23","Schools","Hammond Square","","Board, Schools","RG 12/249","33-34
"
"18","7","24","Schools","Hows Street","","St Marys Haggerston National","RG 12/253","7
"
"18","7","25","Schools","Maidstone Street","","","RG 12/254","9
"
"18","7","26","Schools","Napier Street","","Board, Schools","RG 12/244","97
"
"18","7","27","Schools","New North Road","","St Johns School house","RG 12/249","40
"
"18","7","28","Schools","St Johns Road","","Board, Schools","RG 12/248","116
"
"18","7","29","Schools","Scawfell Street","","Board, Schools","RG 12/254","143
"
"18","7","30","Schools","Scrutton Street","","Board, Schools","RG 12/242","94
"
"18","7","31","Schools","Wenlock Road","","Board, Schools","RG 12/245","108
"
"18","7","32","Sclater Street","Shoreditch part in Shoreditch","demolished see BETHNAL GREEN","","",""
"18","7","33","Scrutton Street","Curtain Road","","1-25 Odd","RG 12/242","62-64
"
"18","7","34","Scrutton Street","Curtain Road","","2-26 Even","RG 12/242","77-78
"
"18","7","35","Scrutton Street","Curtain Road","","27-39 Odd","RG 12/242","94-95
"
"18","7","36","Scrutton Street","Curtain Road","","28-30 Even","RG 12/242","95
"
"18","7","37","Scrutton Street","Curtain Road","","32-60 Even","RG 12/243","190-191
"
"18","7","38","Scrutton Street","Curtain Road","","41-43 Odd","RG 12/243","187
"
"18","7","39","Scrutton Street","Curtain Road","","45 Odd","RG 12/243","189
"
"18","7","40","Scrutton Street","Curtain Road","","47-75 Odd","RG 12/243","187-188
"
"18","7","41","Shaftesbury Street","New North Road","","38-87","RG 12/244","16-22
"
"18","7","42","Shaftesbury Street","New North Road","","88-124","RG 12/244","104-109
"
"18","7","43","Shaftesbury Street","New North Road","","1-37","RG 12/244","82-88
"
"18","7","44","Shap Street","Pearson Street","","1-39 Odd","RG 12/252","57-60
"
"18","7","45","Shap Street","Pearson Street","","2-40 Even","RG 12/252","116-118
"
"18","7","46","Shap Street","Pearson Street","","41-51 Odd","RG 12/252","176-177
"
"18","7","47","Shap Street","Pearson Street","","44-68 Even","RG 12/252","175-176
"
"18","7","48","Shap Street","Pearson Street","","Soup Kitchen","RG 12/253","54
"
"18","7","49","Shepherdess Place","Shepherdess Walk","","","RG 12/245","82
"
"18","7","50","Shepherdess Walk","City Road","","1-5 Odd","RG 12/245","100
"
"18","7","51","Shepherdess Walk","City Road","","108-142 Even","RG 12/244","88-90
"
"18","7","52","Shepherdess Walk","City Road","","16-60 Even","RG 12/245","75-78
"
"18","7","53","Shepherdess Walk","City Road","","4-14 Even","RG 12/245","82-83
"
"18","7","54","Shepherdess Walk","City Road","","45 Odd","RG 12/245","108
"
"18","7","55","Shepherdess Walk","City Road","","47-67 Odd","RG 12/245","106-108
"
"18","7","56","Shepherdess Walk","City Road","","62-94 Even","RG 12/244","146-148
"
"18","7","57","Shepherdess Walk","City Road","","69-133 Odd","RG 12/245","134-138
"
"18","7","58","Shepherdess Walk","City Road","","7-43 Odd","RG 12/245","104-106
"
"18","7","59","Shepherdess Walk","City Road","","96 * Even","RG 12/244","149
"
"18","7","60","Shepherdess Walk","City Road","","98-106 Even","RG 12/244","125-126
"
"18","7","61","Shepherdess Walk","City Road","","Eagle Tavern (2)","RG 12/245","82
"
"18","7","62","Shepherdess Walk","City Road","","Holborn Union Workhouse Infirmary, Shepherdess Walk","RG 12/247","127-153
"
"18","7","63","Shepherdess Walk","City Road","","Lumleys Almshouses, Shepherdess Walk","RG 12/245","78
"
"18","7","64","Shepherdess Walk","City Road","* No 96 is partly on f 149 RG 12/244 and remainder on f 12 of RG 12/247","144-164 Even","RG 12/244","65-66
"
"18","7","65","Shepperton Road","Southgate Road","","1-9 Odd","RG 12/249","186
"
"18","7","66","Shepperton Road","Southgate Road","","104-116 Even","RG 12/165","139-140
"
"18","7","67","Shepperton Road","Southgate Road","","109-157 Odd","RG 12/165","132-138
"
"18","7","68","Shepperton Road","Southgate Road","","11-107 Odd","RG 12/170","102-107
"
"18","7","69","Shepperton Road","Southgate Road","","159","RG 12/165","140
"
"18","7","70","Shepperton Road","Southgate Road","","161-165 Odd","RG 12/165","138-139
"
"18","7","71","Shepperton Road","Southgate Road","","2-102 Even","RG 12/170","95-102
"
"18","7","72","Shoreditch High Street","","","1-32","RG 12/242","16-17
"
"18","7","73","Shoreditch High Street","","","102","RG 12/242","4
"
