"18","8","1","Underwood Place","Shepherdess Walk","","","RG 12/245","72-75
"
"18","8","2","Underwood Row","Underwood Street","","1-2, 4-7","RG 12/245","75
"
"18","8","3","Underwood Row","Underwood Street","","3","RG 12/245","72
"
"18","8","4","Underwood Street","Nile Street","","","RG 12/245","67-72
"
"18","8","5","Union Buildings","Long Street","","North, Union Buildings, 8-10","RG 12/242","190
"
"18","8","6","Union Buildings","Long Street","No others but may be part Caesar Street","South, Union Buildings, 11-15","RG 12/242","190
"
"18","8","7","Union Crescent","Union Street","","","RG 12/242","191-192
"
"18","8","8","Union Place","Curtain Road","","","RG 12/243","70
"
"18","8","9","Union Street","Hackney Road","","1-19 Odd","RG 12/242","189-190
"
"18","8","10","Union Street","Hackney Road","","23-25 Odd","RG 12/242","162-163
"
"18","8","11","Union Street","Hackney Road","","4-38 Even","RG 12/242","208-209
"
"18","8","12","Union Walk","Union Street","","","RG 12/242","184
"
"18","8","13","Upper John Street","Hoxton Street","","","RG 12/248","156-162
"
"18","8","14","Vandy Street","Finsbury Market","was Queen Street","","RG 12/242","110-112
"
"18","8","15","Victoria Chambers","Luke Street","","","RG 12/243","148-151
"
"18","8","16","Victoria Chambers","Mark Street","","","RG 12/243","164-165
"
"18","8","17","Victoria Chambers","Paul Street","","","RG 12/243","151-156
"
"18","8","18","Vincent Street","Old Street","including Butts Buildings","","RG 12/247","116-123
"
"18","8","19","Vine Place","Hoxton Street","was Jenkinsons Place","","RG 12/250","99
"
"18","8","20","Ware Street","Kingsland Road","","1-17","RG 12/251","131-134
"
"18","8","21","Ware Street","Kingsland Road","","18","RG 12/251","139
"
"18","8","22","Ware Street","Kingsland Road","","19-35","RG 12/251","134-138
"
"18","8","23","Ware Street","Kingsland Road","","36","RG 12/251","139
"
"18","8","24","Ware Street","Kingsland Road","","37-41","RG 12/251","138-139
"
"18","8","25","Wareham Street","Mintern Street","","","RG 12/250","18-20
"
"18","8","26","Waterloo Place","Nicholl Street","","","RG 12/254","17
"
"18","8","27","Waterloo Street","Haggerston Road","","","RG 12/253","64-67
"
"18","8","28","Watsons Place","Louisa Street","","1-17 part","RG 12/251","140-144
"
"18","8","29","Watsons Place","Louisa Street","","18-36","RG 12/251","144-149
"
"18","8","30","Watsons Place","Louisa Street","","part, Watsons Place, 17","RG 12/251","151
"
"18","8","31","Wellington Place","Britannia Street","","","RG 12/245","93-94
"
"18","8","32","Wellington Street","Kingsland Road","","6 and 7 repeated","RG 12/243","11
"
"18","8","33","Wellington Street","Kingsland Road","","North Side:l-9, School, Wellington Street","RG 12/243","10-11
"
"18","8","34","Wellington Street","Kingsland Road","later Redvers Street","South Side: 5-35","RG 12/243","23-27
"
"18","8","35","Welsh Street","Catherine Street","was Wilson Street","","RG 12/247","114-116
"
"18","8","36","Wenlock Road","Edward Street","","1-2","RG 12/245","102
"
"18","8","37","Wenlock Road","Edward Street","","10-25","RG 12/245","108-111
"
"18","8","38","Wenlock Road","Edward Street","","4 and Zinc Mills, Wenlock Road","RG 12/245","111
"
"18","8","39","Wenlock Road","Edward Street","","School, Wenlock Road","RG 12/245","108
"
"18","8","40","Wenlock Road","Edward Street","","pt, Wenlock Road, 13","RG 12/245","111
"
"18","8","41","Wenlock Street","New North Road","","1-33 Odd","RG 12/244","116-118
"
"18","8","42","Wenlock Street","New North Road","","100-128 Even","RG 12/246","16-18
"
"18","8","43","Wenlock Street","New North Road","","2-72 Even","RG 12/244","118-125
"
"18","8","44","Wenlock Street","New North Road","","35-75 Odd","RG 12/246","18-21
"
"18","8","45","Wenlock Street","New North Road","","74-96 Even","RG 12/246","14
"
"18","8","46","Wenlock Street","New North Road","","98 Even","RG 12/246","14
"
"18","8","47","Wenlock Terrace","Wenlock Road","","1-20","RG 12/245","111-114
"
"18","8","48","Westmorland Place","City Road","","1-14 consecutive","RG 12/231","14-17 caret 36
"
"18","8","49","Westmorland Place","City Road","","16-42 Even","RG 12/245","88-92
"
"18","8","50","Westmorland Place","City Road","","41 Odd","RG 12/245","92
"
"18","8","51","Westmorland Place","City Road","","43-91 Odd","RG 12/245","60-65
"
"18","8","52","Westmorland Place","City Road","","44-94 Even","RG 12/245","53-60
"
"18","8","53","Westmorland Place","City Road","now includes Providence Street","13-39 Odd","RG 12/245","85-88
"
"18","8","54","Weymouth Terrace","Hackney Road","","1-11 Odd","RG 12/252","94
"
"18","8","55","Weymouth Terrace","Hackney Road","","117-123 Odd","RG 12/253","27
"
"18","8","56","Weymouth Terrace","Hackney Road","","122-132 Even","RG 12/253","6-7
"
"18","8","57","Weymouth Terrace","Hackney Road","","13-59 Odd","RG 12/252","119-122
"
"18","8","58","Weymouth Terrace","Hackney Road","","132A-142","RG 12/253","34
"
"18","8","59","Weymouth Terrace","Hackney Road","","2-78 Even","RG 12/252","102-107
"
"18","8","60","Weymouth Terrace","Hackney Road","","61-115 Odd","RG 12/252","145-148
"
"18","8","61","Weymouth Terrace","Hackney Road","","80-120 Even","RG 12/252","143-145
"
"18","8","62","Wharf Road","City Road","","23","RG 12/167","89
"
"18","8","63","Wharf Road","City Road","","Bridge House Public House, Wharf Road, 17","RG 12/245","111
"
"18","8","64","Wharf Road","City Road","","Queens Head Public House, Wharf Road, 15","RG 12/245","111
"
"18","8","65","Wharf Road","City Road","No other numbers exist","22 and 24","RG 12/168","8
"
"18","8","66","Wharves","","","Haggerston Basin","RG 12/254","25
"
"18","8","67","Wharves","","","Kingsland Basin","RG 12/250","177-178
"
"18","8","68","Wharves","","","Kingsland Bridge","RG 12/253","54
"
"18","8","69","Wharves","Branch Place","","Bridge Wharf, Wharves","RG 12/250","163
"
"18","8","70","Whiston Street","Great Cambridge Street","","20-70 Even","RG 12/254","29-35
"
"18","8","71","Whiston Street","Great Cambridge Street","","3-45 Odd","RG 12/254","14-17
"
"18","8","72","Whiston Street","Great Cambridge Street","","4-18 Even","RG 12/254","12-13
"
"18","8","73","Whiston Street","Great Cambridge Street","","47 Odd","RG 12/254","37
"
"18","8","74","Whiston Street","Great Cambridge Street","","49-97 Odd","RG 12/254","31-37
"
"18","8","75","Whiston Street","Great Cambridge Street","","72-96","RG 12/254","54-55
"
"18","8","76","Whiston Street","Great Cambridge Street","","99-143 Odd","RG 12/254","55-58
"
"18","8","77","Whiston Street","Great Cambridge Street","","Gas Works Residences","RG 12/254","13-14
"
"18","8","78","White Cross Place","Wilson Street","","12-17","RG 12/242","126
"
"18","8","79","White Cross Place","Wilson Street","","5-11","RG 12/242","127-128
"
"18","8","80","White Cross Place","Wilson Street","","Broad Street Station Buildings, White Cross Place","RG 12/242","138-148, 153
"
"18","8","81","White Cross Place","Wilson Street","","Lees Buildings, White Cross Place","RG 12/242","126-127
"
"18","8","82","White Cross Place","Wilson Street","","South Side:, 1-22","RG 12/242","150
"
"18","8","83","White Cross Place","Wilson Street","","North Side; 1-4","RG 12/242","129-130
"
"18","8","84","White Hart Court","Hoxton Street","","1-2","RG 12/243","50
"
"18","8","85","White Hart Court","Hoxton Street","later part Redvers Street","3-5","RG 12/243","11-12
"
"18","8","86","White Horse Court","Boot Street","","","RG 12/248","19-20
"
"18","8","87","Whitfield Street","Leonard Street","","","RG 12/243","196-197
"
"18","8","88","Whitmore Road","","","1-53 Odd","RG 12/250","134-136
"
"18","8","89","Whitmore Road","","","10-60","RG 12/252","28-31
"
"18","8","90","Whitmore Road","","","2-8 Even","RG 12/251","175
"
