"19","5","1","Maddox Street","Regent Street","","","RG 12/68","37-42
"
"19","5","2","Market Mews","West Chapel Street","","","RG 12/70","45
"
"19","5","3","Market Street","Shepherd Street","","1-8","RG 12/70","34-35
"
"19","5","4","Market Street","Shepherd Street","","10","RG 12/70","47
"
"19","5","5","Market Street","Shepherd Street","","11-30","RG 12/70","35-36
"
"19","5","6","Market Street","Shepherd Street","","28","RG 12/70","38-39
"
"19","5","7","Market Street","Shepherd Street","","9","RG 12/70","36
"
"19","5","8","Marlborough Mansions","pt of Victoria Street","","87-91","RG 12/80","73-74
"
"19","5","9","Marsham Street","Horseferry Road","","1-35","RG 12/78","55-61
"
"19","5","10","Marsham Street","Horseferry Road","","36-68","RG 12/81","76-82
"
"19","5","11","Marsham Street","Horseferry Road","","pt, Marsham Street, 6","RG 12/78","83
"
"19","5","12","Mary's Place","Garden Street","","","RG 12/79","47
"
"19","5","13","Masons Yard","Mill Street","","","RG 12/68","47
"
"19","5","14","Masons Yard","Waverton Street","","","RG 12/69","110
"
"19","5","15","Mays Buildings","Brick Street","","","RG 12/70","25-27
"
"19","5","16","Medway Street","Horseferry Road","","1-23","RG 12/81","51-55
"
"19","5","17","Medway Street","Horseferry Road","","24-45","RG 12/81","87-90
"
"19","5","18","Members Mansions","Victoria Street","","","RG 12/82","80-80A
"
"19","5","19","Middle Row","pt of Knightsbridge","","","RG 12/83","119-121
"
"19","5","20","Mill Street","Conduit Street","","","RG 12/68","45-47
"
"19","5","21","Millbank Street","Westminster","","1-71 Odd","RG 12/78","48-51
"
"19","5","22","Millbank Street","Westminster","","2-18 Even","RG 12/78","4-5
"
"19","5","23","Millbank Street","Westminster","","20-68 Even","RG 12/78","45-48
"
"19","5","24","Millbank Street","Westminster","","72-82 Even","RG 12/78","106-107
"
"19","5","25","Mills Buildings","Grey Coat Place","","","RG 12/80","70-71
"
"19","5","26","Mills Buildings","Knightsbridge","","","RG 12/83","117-118
"
"19","5","27","Minera Mews","Chester Terrace","","","RG 12/72","81
"
"19","5","28","Monck Street","Horseferry Road","","2-13","RG 12/81","49-51
"
"19","5","29","Monck Street","was Holland Street & Whisters Ground","","14-18","RG 12/81","90-91
"
"19","5","30","Montpelier Row","Chapel Place","","1-24","RG 12/83","146-152
"
"19","5","31","Montpelier Row","Chapel Place","","25-37","RG 12/30","107-108
"
"19","5","32","Montpelier Square","Hill Street","","","RG 12/83","142-146
"
"19","5","33","Montpelier Street","Brompton Road","","1-11 Odd","RG 12/30","94-95
"
"19","5","34","Montpelier Street","Brompton Road","","13-27 Odd","RG 12/83","157-158
"
"19","5","35","Montpelier Street","Brompton Road","","2-18 Even","RG 12/30","95-96
"
"19","5","36","Montpelier Street","Brompton Road","","20-44 Even","RG 12/83","158-159
"
"19","5","37","Montpelier Street","Brompton Road","","Mews, Montpelier Street","RG 12/83","159-160
"
"19","5","38","Montpelier Street","Brompton Road","","Montpelier Arms Public House, Montpelier Street","RG 12/30","105
"
"19","5","39","Montpelier Terrace","Montpelier Square","","","RG 12/83","146
"
"19","5","40","Montpeller Place","Montpelier Street","","","RG 12/83","152-156
"
"19","5","41","Moreton Place","Charlwood Street","","","RG 12/75","78-87
"
"19","5","42","Moreton Street","Vauxhall Bridge Road","","1 Odd","RG 12/79","40
"
"19","5","43","Moreton Street","Vauxhall Bridge Road","","17-25 Odd","RG 12/79","65
"
"19","5","44","Moreton Street","Vauxhall Bridge Road","","2-24 Even","RG 12/79","124-125
"
"19","5","45","Moreton Street","Vauxhall Bridge Road","","26-30 Even","RG 12/75","17-18
"
"19","5","46","Moreton Street","Vauxhall Bridge Road","","27-33 Odd","RG 12/75","17
"
"19","5","47","Moreton Street","Vauxhall Bridge Road","","3-5 Odd","RG 12/79","46
"
