"2","2","1","Cadogan Mansions","Avenue Road","","1-10","RG 12/487","117-118
"
"2","2","2","Calmington Road","","","1-9 odd","RG 12/486","40
"
"2","2","3","Calmington Road","","","11-27 odd","RG 12/486","44-45
"
"2","2","4","Calmington Road","","","2-20 even","RG 12/485","99-101
"
"2","2","5","Calton Road","","","Dulwich Cottages, Calton Road","RG 12/461","76-77
"
"2","2","6","Calton Road","","","Fivefields Cottage, Calton Road","RG 12/461","76
"
"2","2","7","Calton Road","East Dulwich","","1-17 odd","RG 12/461","75-76
"
"2","2","8","Camberwell Cemetery Lodge","","","","RG 12/472","69
"
"2","2","9","Camberwell Green","","","19-25","RG 12/465","104
"
"2","2","10","Camberwell Green","","","28-45","RG 12/464","46-48
"
"2","2","11","Camberwell Green","","","46-52","RG 12/463","38
"
"2","2","12","Camberwell Grove","","","","RG 12/465","93-94
"
"2","2","13","Camberwell Grove","","","1-12 mixed Grove Cottages, Camberwell Grove","RG 12/465","93-94
"
"2","2","14","Camberwell Grove","","","1-211 odd","RG 12/465","73-82
"
"2","2","15","Camberwell Grove","","","2-220 even","RG 12/465","83-92
"
"2","2","16","Camberwell Grove","","","Grove Park","RG 12/465","95-99
"
"2","2","17","Camberwell New Road","","","200-296 even","RG 12/462","51-55
"
"2","2","18","Camberwell New Road","","","223-281 odd","RG 12/462","30-34
"
"2","2","19","Camberwell New Road","","","285-293 odd","RG 12/462","15-16
"
"2","2","20","Camberwell New Road","","","Church Parsonage","RG 12/462","55
"
"2","2","21","Camberwell New Road","","","Clarendon Arms Yard, Camberwell New Road","RG 12/462","30
"
"2","2","22","Camberwell New Road","","","County Courthouse, Camberwell New Road","RG 12/462","16
"
"2","2","23","Camberwell New Road","","","County Grove 1-20","RG 12/462","57-59
"
"2","2","24","Camberwell New Road","","","Masonic Hall, Camberwell New Road","RG 12/462","16
"
"2","2","25","Camberwell New Road","","","Tramway Company","RG 12/462","16
"
"2","2","26","Camberwell Railway Station","","","","RG 12/462","114
"
"2","2","27","Camberwell Road","","","1-4, 1A-4A Greens Row","RG 12/463","19-21
"
"2","2","28","Camberwell Road","","","124 Lodging House, Camberwell Road","RG 12/487","46-49
"
"2","2","29","Camberwell Road","","","135-179 odd","RG 12/487","71-73
"
"2","2","30","Camberwell Road","","","178-296 even","RG 12/463","3-7
"
"2","2","31","Camberwell Road","","","181-319 odd","RG 12/463","7-13
"
"2","2","32","Camberwell Road","","","217","RG 12/463","13
"
"2","2","33","Camberwell Road","","","73-91 odd","RG 12/485","4
"
"2","2","34","Camberwell Road","","","93-129 odd","RG 12/487","4-5
"
"2","2","35","Camberwell Road","","","94-176 even","RG 12/487","45-51
"
"2","2","36","Camberwell Road","","","Emanuel Vicarage, Camberwell Road","RG 12/463","4
"
"2","2","37","Camberwell Road","","Addington Square","","RG 12/487","6
"
"2","2","38","Camberwell Road","","Addington Square","1-34","RG 12/487","15-20
"
"2","2","39","Camberwell Road","","Boundary Lane","","RG 12/485","34
"
"2","2","40","Camberwell Road","","Boundary Lane","20-29","RG 12/485","27-28
"
"2","2","41","Cambridge Terrace","Harders Road","","1-4","RG 12/475","6
"
"2","2","42","Cambridge Terrace","Hooks Road","","1-15","RG 12/475","13-14
"
"2","2","43","Cambridge Terrace","Peckham","","1-15","RG 12/474","99-100
"
"2","2","44","Cambridge Terrace","Victoria Road","","","RG 12/467","133-135
"
"2","2","45","Cambridge Villas","Underhill Road","","1-2","RG 12/471","126
"
"2","2","46","Cambrook Street","Peckham","","1-21","RG 12/483","74-77
"
"2","2","47","Camden Avenue","","","1-4 Camden Houses, Camden Avenue","RG 12/473","125
"
"2","2","48","Camden Avenue","Peckham Road","","5-14","RG 12/473","99-100
"
"2","2","49","Camden Grove","Peckham Road","","1-39 odd","RG 12/473","107-109
"
"2","2","50","Camden Grove","Peckham Road","","2-36 even","RG 12/473","110-111
"
