"20","5","1","Malay Street","Pearl Street","was Gold Street","","RG 12/288","86-87
"
"20","5","2","Marmaduke Court","John Street","","","RG 12/285","109-110
"
"20","5","3","Marmaduke Place","Langdale Street","","","RG 12/285","84-85
"
"20","5","4","Martha Street","Sutton Street","","2-38 Even","RG 12/287","105-107
"
"20","5","5","Martha Street","Sutton Street","","40-74 Even","RG 12/287","79-81
"
"20","5","6","Martha Street","Sutton Street","","Odd Numbers","RG 12/287","100-105
"
"20","5","7","Martha Street","Sutton Street","","pt 38 (PH)","RG 12/287","117
"
"20","5","8","Mary Ann Street","Stutfield Street","","","RG 12/284","121-125
"
"20","5","9","Mary Place","Mary Street","","","RG 12/286","128
"
"20","5","10","Mary Place","Redmead Lane","","","RG 12/288","112-113
"
"20","5","11","Mary Street","Upper Chapman Street","Missing numbers part of a School or non-existant","1-9 Odd","RG 12/286","127-128
"
"20","5","12","Mary Street","Upper Chapman Street","Missing numbers part of a School or non-existant","10-18 Even","RG 12/286","156
"
"20","5","13","Mary Street","Upper Chapman Street","Missing numbers part of a School or non-existant","11-29 Odd","RG 12/286","155-156
"
"20","5","14","Matilda Place","Grove Street","","","RG 12/285","7-8
"
"20","5","15","Matilda Street","Christian Street","","","RG 12/285","7
"
"20","5","16","Mayfields Buildings","Princes Square","","1-14","RG 12/284","24-27
"
"20","5","17","Mayfields Buildings","Princes Square","","15","RG 12/284","28-29
"
"20","5","18","Mayfields Buildings","Princes Square","","16-25","RG 12/284","27-28
"
"20","5","19","Mayfields Buildings","Princes Square","1-3 repeated","1-3","RG 12/284","28-29
"
"20","5","20","Meeting House Alley and Buildings","Chandler Street","","","RG 12/288","12-15
"
"20","5","21","Merediths Buildings","Grove Street","","","RG 12/285","110-111
"
"20","5","22","Mertons Court","St George Street","","","RG 12/284","53
"
"20","5","23","Morgan Street","Commercial Road East","After 1901 called Hesel Street","Even Numbers","RG 12/285","47-52
"
"20","5","24","Morgan Street","Commercial Road East","After 1901 called Hesel Street","Odd Numbers","RG 12/285","75-79
"
"20","5","25","Morris Street","Upper Chapman Street","","1-11 Odd","RG 12/286","4
"
"20","5","26","Morris Street","Upper Chapman Street","","12-44 Even","RG 12/286","147-149
"
"20","5","27","Morris Street","Upper Chapman Street","","13-31 Odd","RG 12/286","149-150
"
"20","5","28","Morris Street","Upper Chapman Street","","2-10 Even","RG 12/286","3-4
"
"20","5","29","Mulberry Place","Princes Square","","","RG 12/284","57-58
"
"20","5","30","Murdens Place","Batty Street","","","RG 12/284","171-172
"
"20","5","31","Normans Buildings","Cannon Street Road","","","RG 12/285","67-68
"
"20","5","32","North East Passage","Wellclose Square","","","RG 12/284","47-48
"
"20","5","33","Old Gravel Lane","St George Street","","1-29 Odd","RG 12/287","43
"
"20","5","34","Old Gravel Lane","St George Street","","111-115 Odd","RG 12/288","69
"
"20","5","35","Old Gravel Lane","St George Street","","14-48 Even","RG 12/288","2-4
"
"20","5","36","Old Gravel Lane","St George Street","","2-12 Even","RG 12/287","27-28
"
"20","5","37","Old Gravel Lane","St George Street","","31-39 Odd","RG 12/287","44
"
"20","5","38","Old Gravel Lane","St George Street","","52-70 Even","RG 12/288","43-44
"
"20","5","39","Old Gravel Lane","St George Street","","67-109 Odd","RG 12/288","40-43
"
"20","5","40","Old Gravel Lane","St George Street","","76 and 84 Even","RG 12/290","81
"
"20","5","41","Old Gravel Lane","St George Street","","Holy Cross House, Old Gravel Lane","RG 12/288","40
"
"20","5","42","Old Gravel Lane","St George Street","","St Peters Clergy House, Old Gravel Lane","RG 12/288","40
"
