"21","2","1","Cambridge Circus","Shaftesbury Avenue","","","RG 12/212","154-155
"
"21","2","2","Caroline Mews","Charlotte Street","All unoccupied","1-11 & 23-24","RG 12/209","34
"
"21","2","3","Caroline Street","Bedford Square","","","RG 12/212","45-46
"
"21","2","4","Carrier Street","Bucknall St","","unoccupied, Carrier Street","RG 12/212","79
"
"21","2","5","Castle Street","Drury Lane to St Martins Lane","","1-15 Odd","RG 12/213","111-112
"
"21","2","6","Castle Street","Drury Lane to St Martins Lane","","17-33 Odd","RG 12/213","63-66
"
"21","2","7","Castle Street","Drury Lane to St Martins Lane","","2-40 Even","RG 12/210","26-29
"
"21","2","8","Castle Street","Drury Lane to St Martins Lane","","48-70 Even","RG 12/210","9-12
"
"21","2","9","Chapel Yard","Sardinia Place","","","RG 12/211","68
"
"21","2","10","Charing Cross Road","","was Crown Street & Castle Street","1-5 Odd","RG 12/214","70-71
"
"21","2","11","Charing Cross Road","","was Crown Street & Castle Street","2-48 Even","RG 12/213","58-59
"
"21","2","12","Charing Cross Road","","was Crown Street & Castle Street","39-43 Odd","RG 12/88","213
"
"21","2","13","Charing Cross Road","","was Crown Street & Castle Street","45-85 Odd","RG 12/88","206-207
"
"21","2","14","Charing Cross Road","","was Crown Street & Castle Street","50-76 Even","RG 12/88","205
"
"21","2","15","Charing Cross Road","","was Crown Street & Castle Street","7-37 Odd","RG 12/213","56-58
"
"21","2","16","Charing Cross Road","","was Crown Street & Castle Street","84-96 Even MISSING after f 179","RG 12/212","
"
"21","2","17","Charing Cross Road","","was Crown Street & Castle Street","95-153 Odd","RG 12/88","9-12
"
"21","2","18","Charing Cross Road","","was Crown Street & Castle Street","98-178 Even","RG 12/212","73-74
"
"21","2","19","Charing Cross Road","","was Crown Street & Castle Street","Imperial Mansions","RG 12/212","73
"
"21","2","20","Charing Cross Road","","was Crown Street & Castle Street","Police Section House, Charing Cross Road","RG 12/88","241-246
"
"21","2","21","Charing Cross Road","","was Crown Street & Castle Street","St Marys Vicarage, Charing Cross Road","RG 12/88","20
"
"21","2","22","Charlotte Mews","New Oxford Street","","","RG 12/209","112
"
"21","2","23","Charlotte Street & Mews","Bedford Square","","","RG 12/209","32-34
"
"21","2","24","Chenies Mews","","41-89 Odd & 80-114 Even PANCRAS District Remainder now part of Ridgmount Street","","",""
"21","2","25","Chenies Mews","Chenies Street","","","RG 12/119","176-177
"
"21","2","26","Chenies Street","Gower Street","","1 & 3","RG 12/212","18
"
"21","2","27","Chenies Street","Gower Street","","17","RG 12/212","24
"
"21","2","28","Chenies Street","Gower Street","","2-22 Even","RG 12/212","24-26
"
"21","2","29","Chenies Street","Gower Street","","7","RG 12/212","20
"
"21","2","30","Chenies Street","Gower Street","","Chenies Street Chambers","RG 12/212","21
"
"21","2","31","Chenies Street","Gower Street","","North Crescent","RG 12/212","18-20
"
"21","2","32","Chenies Street","Gower Street","","Ridgmount Gardens, Chenies Street","RG 12/212","21
"
"21","2","33","Church Passage","New Compton St","","unoccupied, Church Passage","RG 12/212","155
"
