"21","7","1","St Georges Buildings","Duke Street","","","RG 12/209","118-119
"
"21","7","2","St Giles High Street","","","1-14","RG 12/212","97-99
"
"21","7","3","St Giles High Street","","","15","RG 12/212","82
"
"21","7","4","St Giles High Street","","","16-29","RG 12/212","99-101
"
"21","7","5","St Giles High Street","","","60","RG 12/212","91-92
"
"21","7","6","St Giles High Street","","","60A-64","RG 12/212","104
"
"21","7","7","St Giles High Street","","","65-67","RG 12/212","141-142
"
"21","7","8","St Giles High Street","","30-40 do not exist","41-59","RG 12/212","101-104
"
"21","7","9","Sardinia Place","Sardinia Street","","Even Nos","RG 12/211","68
"
"21","7","10","Sardinia Place","Sardinia Street","","Odd Nos","RG 12/211","21-22
"
"21","7","11","Sardinia Street","Lincolns Inn Fields","","1","RG 12/211","67
"
"21","7","12","Sardinia Street","Lincolns Inn Fields","","18-44 Even","RG 12/211","23-27
"
"21","7","13","Sardinia Street","Lincolns Inn Fields","","23-27 Odd","RG 12/217","148-149
"
"21","7","14","Sardinia Street","Lincolns Inn Fields","","3-21 Odd","RG 12/217","70-73
"
"21","7","15","Sardinia Street","Lincolns Inn Fields","","6-16 Even","RG 12/211","67-68
"
"21","7","16","Schools","","","Barracks, Clarks Buildings 9-12","RG 12/212","94-95
"
"21","7","17","Schools","","","Board, Goldsmith Street","RG 12/211","52
"
"21","7","18","Schools","","","Board, Tower Street","RG 12/212","174
"
"21","7","19","Schools","","","French Protestant, St Giles National, Endell Street","RG 12/210","62
"
"21","7","20","Shaftesbury Avenue","Piccadilly Circus","was Dudley, Richmond & King Streets and Parts Broad & Bloomsbury Streets","","",""
"21","7","21","Shaftesbury Avenue","Piccadilly Circus","","117-199 Odd","RG 12/212","142-149
"
"21","7","22","Shaftesbury Avenue","Piccadilly Circus","","128-138 Even","RG 12/88","217-218
"
"21","7","23","Shaftesbury Avenue","Piccadilly Circus","","140 Albany Mansions","RG 12/88","206
"
"21","7","24","Shaftesbury Avenue","Piccadilly Circus","","142-186 Even","RG 12/212","149-154
"
"21","7","25","Shaftesbury Avenue","Piccadilly Circus","","190-204 Even","RG 12/210","61
"
"21","7","26","Shaftesbury Avenue","Piccadilly Circus","","201-217 Odd","RG 12/212","92
"
"21","7","27","Shaftesbury Avenue","Piccadilly Circus","","206-226 Even","RG 12/209","144-145
"
"21","7","28","Shaftesbury Avenue","Piccadilly Circus","","231-247 Odd","RG 12/209","144
"
"21","7","29","Shaftesbury Avenue","Piccadilly Circus","","38-62 Even","RG 12/87","36
"
"21","7","30","Shaftesbury Avenue","Piccadilly Circus","","51-107 Odd","RG 12/88","37-41
"
"21","7","31","Shaftesbury Avenue","Piccadilly Circus","","64-126 Even","RG 12/88","239-240
"
"21","7","32","Shaftesbury Avenue","Piccadilly Circus","","Cambridge Circus","RG 12/212","154-155
"
"21","7","33","Shaftesbury Avenue","Piccadilly Circus","","Harrington Mansions","RG 12/212","154-155
"
"21","7","34","Shaftesbury Avenue","Piccadilly Circus","1-15 Odd unoccupied","17-49 Odd","RG 12/87","36-38
"
"21","7","35","Shaftesbury Avenue","Piccadilly Circus","2-36 Even unoccupied","16 Even","RG 12/87","36, 38
"
"21","7","36","Sheffield Street","Portsmouth Street","","2 & 11","RG 12/211","66
"
"21","7","37","Sheffield Street","Portsmouth Street","","3-11","RG 12/217","64-65
"
"21","7","38","Shelton Street","Drury Lane","mostly demolished","","RG 12/211","130-131
"
"21","7","39","Shorts Gardens","Endell Street","","1-7","RG 12/210","33-34
"
"21","7","40","Shorts Gardens","Endell Street","","11-23","RG 12/210","21-24
"
"21","7","41","Shorts Gardens","Endell Street","","33-40","RG 12/210","65-66
"
"21","7","42","Shorts Gardens","Endell Street","","Marras Buildings, Shorts Gardens","RG 12/210","100-101
"
"21","7","43","Silver Street","Market Street","","","RG 12/209","130-132
"
"21","7","44","Smarts Buildings","High Holborn","","","RG 12/211","53-56
"
"21","7","45","South Crescent","Store Street","","","RG 12/212","57-59
"
"21","7","46","Southampton Mews","Southampton Row","","","RG 12/209","69-72
"
"21","7","47","Southampton Row","Russell Square","","1-33 Odd","RG 12/209","135-136
"
"21","7","48","Southampton Row","Russell Square","","2-42 Even","RG 12/209","135-137
"
"21","7","49","Southampton Row","Russell Square","","35 Odd","RG 12/209","124
"
"21","7","50","Southampton Row","Russell Square","","37-81 Odd","RG 12/209","64-68
"
"21","7","51","Southampton Row","Russell Square","","Vernon Chambers (44)","RG 12/209","63-64
"
"21","7","52","Southampton Row","Russell Square","44-64 do not exist","66-154 Even","RG 12/209","58-63
"
"21","7","53","Southampton Street","High Holborn","","","RG 12/209","133-135
"
"21","7","54","Stacey Street","New Compton Street","","19-20","RG 12/212","161-162
"
"21","7","55","Stacey Street","New Compton Street","","2-18","RG 12/212","114-118
"
"21","7","56","Stacey Street","New Compton Street","","1","RG 12/212","110, 114
"
"21","7","57","Staffordshire Buildings","Macklin Street","","","RG 12/211","127-128
"
"21","7","58","Stanhope Street","Kemble Street","","36-37 only","RG 12/210","105
"
"21","7","59","Stanhope Street","Kemble Street","Remainder in STRAND District","","",""
"21","7","60","Store Street","Gower Street","","23","RG 12/212","57
"
"21","7","61","Store Street","Gower Street","","24-43","RG 12/212","59-62
"
"21","7","62","Store Street","Gower Street","","7-21","RG 12/212","31-33
"
"21","7","63","Store Street","Gower Street","","South Crescent","RG 12/212","57-59
"
"21","7","64","Store Street","Gower Street","1-6 do not exist","22","RG 12/212","25
"
"21","7","65","Streatham Street","Bloomsbury Street","","","RG 12/209","108-111
"
"21","7","66","Strickland Yard","Great Queen Street","","","RG 12/211","10
"
"21","7","67","Talbot Mansions","Museum Street","","","RG 12/209","101
"
"21","7","68","Tavistock Chambers","Hart Street","","","RG 12/209","83
"
"21","7","69","Tavistock Mews","Abbey Place","later Morwell Street","","RG 12/208","111-112
"
"21","7","70","Tavistock Street","Tottenham Court Road","","","RG 12/212","51-53
"
"21","7","71","Theobalds Road","Southampton Row","","146-150 Even, Vernon Chambers","RG 12/209","63-64
"
"21","7","72","Theobalds Road","Southampton Row","","89-93 Odd","RG 12/209","124-125
"
"21","7","73","Theobalds Road","Southampton Row","Remainder in HOLBORN District","","",""
"21","7","74","Thurston Dwellings","Newton Road","","","RG 12/211","103-106
"
"21","7","75","Torrington Mews East","Torrington Square","","1-18","RG 12/208","157-158
"
"21","7","76","Torrington Mews West","Torrington Place","","1-9","RG 12/208","156-157
"
"21","7","77","Torrington Mews West","Torrington Place","","10-23","RG 12/212","4-5
"
"21","7","78","Torrington Place","Gower Street","","1-6","RG 12/212","3-4
"
"21","7","79","Torrington Place","Gower Street","","7-8","RG 12/119","110
"
"21","7","80","Torrington Place","Gower Street","","Lodge, Torrington Place, Torrington Place","RG 12/212","3
"
"21","7","81","Torrington Square","","","1-34","RG 12/208","147-151
"
"21","7","82","Torrington Square","","","37-40","RG 12/212","3
"
"21","7","83","Torrington Square","","","41-71","RG 12/208","151-155
"
"21","7","84","Torrington Square","","","Lodge, Torrington Square","RG 12/212","3
"
"21","7","85","Torrington Street","Russell Square","","","RG 12/208","156
"
"21","7","86","Tottenham Court Road","","","1-108","RG 12/121","135-146
"
"21","7","87","Tottenham Court Road","","","109-136","RG 12/120","27-29
"
"21","7","88","Tottenham Court Road","","","137-174 pt","RG 12/119","178-183
"
"21","7","89","Tottenham Court Road","","","198-226","RG 12/212","8-10
"
"21","7","90","Tottenham Court Road","","","227-268","RG 12/212","62-65
"
"21","7","91","Tottenham Court Road","","","92","RG 12/121","155
"
"21","7","92","Tottenham Court Road","","","Institute 54A","RG 12/121","150-151
"
"21","7","93","Tottenham Court Road","","","Police Station, Tottenham Court Road","RG 12/121","141-142
"
