"22","8","1","Union Cottages","Whites Grounds","","","RG 12/373","35
"
"22","8","2","Union Court","Tooley Street","later Fells Square?","","RG 12/368","131-132
"
"22","8","3","Union Court","Tooley Street","was Thornton Street missing after f 135 RG 12/368","","",""
"22","8","4","Union Place","Crosby Row","later Gareth Place","","RG 12/370","135-136
"
"22","8","5","Union Place","Southwark Park Road","","","RG 12/376","149-150
"
"22","8","6","Union Road","continuation of Jamaica Road","","1-23 odd","RG 12/384","99-100
"
"22","8","7","Union Road","continuation of Jamaica Road","","2-24 even","RG 12/384","100-101
"
"22","8","8","Union Road","continuation of Jamaica Road","","26-110 even","RG 12/385","15-19
"
"22","8","9","Union Road","continuation of Jamaica Road","","29-93 odd","RG 12/385","13-15
"
"22","8","10","Upper Grange Road","Old Kent Road","","107-121 odd","RG 12/377","147
"
"22","8","11","Upper Grange Road","Old Kent Road","","123 odd","RG 12/377","137, 147-148
"
"22","8","12","Upper Grange Road","Old Kent Road","","125-127 odd","RG 12/377","148
"
"22","8","13","Upper Grange Road","Old Kent Road","","2-62 even","RG 12/372","59-62
"
"22","8","14","Upper Grange Road","Old Kent Road","","47-65 odd","RG 12/378","60-61
"
"22","8","15","Upper Grange Road","Old Kent Road","","64-92 even","RG 12/372","20-21
"
"22","8","16","Upper Grange Road","Old Kent Road","","67-71 odd (Police Stations and St Anns Vicarage)","RG 12/378","60
"
"22","8","17","Upper Grange Road","Old Kent Road","","73-91 odd","RG 12/378","31-32
"
"22","8","18","Upper Grange Road","Old Kent Road","","93-105 odd","RG 12/377","136-137
"
"22","8","19","Upper Grange Road","Old Kent Road","","94-106 even","RG 12/345","67-68
"
"22","8","20","Upper Grange Road","Old Kent Road","129-end odd see CAMBERWELL District","","",""
"22","8","21","Upper Grange Road","Old Kent Road","see also Grange Road","1-45 odd","RG 12/.378","82-84
"
"22","8","22","Upper Russell Street","Bermondsey Street","","","RG 12/370","62-64
"
"22","8","23","Valentine Place","Long Lane","Renamed Pepin Place in 1908","","RG 12/370","88-90
"
"22","8","24","Vauban Street","Spa Road","","","RG 12/380","15-21
"
"22","8","25","Victoria Grove","Church Grove","Now part Coxson PIace","","",""
"22","8","26","Victoria Place","Marine Street","later Pansy Place","","RG 12/374","133-134
"
"22","8","27","Victoria Place","Smiths Buildings","","","RG 12/371","28-29
"
"22","8","28","Vine Street","","","East side","RG 12/369","7
"
"22","8","29","Vine Street","Tooley Street","","West Side","RG 12/368","39
"
"22","8","30","Vine Street Buildings","","","","RG 12/369","77-96
"
"22","8","31","Vinegar Yard","St Thomas Street","","","RG 12/368","24
"
"22","8","32","Virginia Row","Hickmans Folly","","","RG 12/374","61-62
"
"22","8","33","Walkers Place","Upper Russell Street","","","RG 12/370","64
"
"22","8","34","Wardon Street","Rotherhithe New Road","","even numbers","RG 12/385","53-54
"
"22","8","35","Wardon Street","Rotherhithe New Road","","odd numbers","RG 12/382","130-132
"
"22","8","36","Webb Street","Bermondsey New Road","","Schoolhouse, Webb Street","RG 12/371","109
"
"22","8","37","Webbs Court","Snows Fields","","","RG 12/370","50
"
"22","8","38","Webster Road","Keetons Road","","1-11 odd","RG 12/376","34-35
"
"22","8","39","Webster Road","Keetons Road","","13-33 odd","RG 12/376","64-65
"
"22","8","40","Webster Road","Keetons Road","","16-34 even","RG 12/376","62-64
"
"22","8","41","Webster Road","Keetons Road","","2-14 even","RG 12/376","35-36
"
"22","8","42","Wells Street","Salisbury Street","later Emba Street","","RG 12/375","79-80
"
"22","8","43","Wells Tenements","Lower Road","","","RG 12/383","18-19
"
"22","8","44","Welsford Street","Lynton Road","","1-11 odd","RG 12/379","8
"
"22","8","45","Welsford Street","Lynton Road","","13-15 odd","RG 12/378","152-153
"
"22","8","46","Welsford Street","Lynton Road","","2-10 even","RG 12/378","24
"
"22","8","47","West Grove","West Street","","11-12","RG 12/380","73
"
"22","8","48","West Grove","West Street","","14-15","RG 12/380","74
"
"22","8","49","West Grove","West Street","","15A","RG 12/380","72
"
"22","8","50","West Grove","West Street","","16-19","RG 12/380","73
"
"22","8","51","West Grove","West Street","","2","RG 12/380","84-85
"
"22","8","52","West Grove","West Street","","3-10","RG 12/380","72-73
"
"22","8","53","West Grove","West Street","later part Banville Grove","1","RG 12/380","74
"
"22","8","54","West Lane","Bermondsey Wall","","even numbers","RG 12/384","95-99
"
"22","8","55","West Lane","Bermondsey Wall","","odd numbers","RG 12/374","30-33
"
"22","8","56","West Place","Nelson Street","now part Porlock Place","","",""
"22","8","57","West Place and Street","Nelson Street","now part Lockyer Street","","",""
"22","8","58","West Street","Neckinger","","44-45","RG 12/380","62
"
"22","8","59","West Street","Neckinger","","46-96","RG 12/380","78-84
"
"22","8","60","West Street","Neckinger","","9-43","RG 12/380","74-78
"
"22","8","61","West Street","Neckinger","later Enid Street","1-8","RG 12/380","71-72
"
"22","8","62","West's Yard","Upper Russell Street","","","RG 12/370","63
"
"22","8","63","Westlake Road","Silwood Street","28 empty on f 83","","RG 12/385","76-83
"
"22","8","64","Weston Place","Long Lane","","","RG 12/370","90-94
"
"22","8","65","Weston Street","Tooley Street to Taland Street","","113-193 odd","RG 12/371","83-88
"
"22","8","66","Weston Street","Tooley Street to Taland Street","","124-170 even","RG 12/371","16-19
"
"22","8","67","Weston Street","Tooley Street to Taland Street","","174-210 even","RG 12/344","187-189
"
"22","8","68","Weston Street","Tooley Street to Taland Street","","188A and 196A","RG 12/344","189
"
"22","8","69","Weston Street","Tooley Street to Taland Street","","191-255 odd","RG 12/371","19-23
"
"22","8","70","Weston Street","Tooley Street to Taland Street","","263-317 odd","RG 12/344","172-178
"
"22","8","71","Weston Street","Tooley Street to Taland Street","","319-335 odd","RG 12/344","169-171
"
"22","8","72","Weston Street","Tooley Street to Taland Street","","64-68 even","RG 12/370","12
"
"22","8","73","Weston Street","Tooley Street to Taland Street","","65-111 odd","RG 12/370","21-24
"
"22","8","74","Weston Street","Tooley Street to Taland Street","","70-100 even","RG 12/370","21-23
"
"22","8","75","Weston Street","Tooley Street to Taland Street","","Schoolhouse, Weston Street","RG 12/344","189
"
