"23","1","1","Acre Street","Beckway Street","later Akers Street from 1903","","RG 12/362","26-29
"
"23","1","2","Adam Street","Harper Street","","","RG 12/353","73-78
"
"23","1","3","Adams Place","Borough High Street","from 1895 Eves PI","","RG 12/344","22-25
"
"23","1","4","Adelaide Place","Winchester Street","","","RG 12/343","82-84
"
"23","1","5","Albert House","","see Blendon Row","1-17","RG 12/363","90-91
"
"23","1","6","Albert House","","see Blendon Row","17 ½","RG 12/363","103
"
"23","1","7","Albert House","","see Blendon Row","18-21","RG 12/363","91
"
"23","1","8","Albert House","","see Blendon Row","22","RG 12/363","103
"
"23","1","9","Albert House","","see Blendon Row","23-30","RG 12/363","91-92
"
"23","1","10","Albert House","","see Blendon Row","30 ½","RG 12/363","91
"
"23","1","11","Albert House","","see Blendon Row","31-42","RG 12/363","92-93
"
"23","1","12","Albert Street","Penton Place","later Alberta Street","","RG 12/364","91-99
"
"23","1","13","Albert Terrace","Surrey Row","later Cavan Terrace","","RG 12/341","23-24
"
"23","1","14","Albion House","Amelia Street","","","RG 12/366","14-15
"
"23","1","15","Albion Mews","Stamford Street","","","RG 12/340","6
"
"23","1","16","Albion Place","Blackfriars Road","","","RG 12/340","4
"
"23","1","17","Aldbridge Street","Alvey Street","","","RG 12/358","99-113
"
"23","1","18","Aldred Road","Hill Street","","1-19","RG 12/355","125-128
"
"23","1","19","Aldred Road","Hill Street","","20-54","RG 12/356","15-20
"
"23","1","20","Aldred Road","Hill Street","","55-79","RG 12/355","128-131
"
"23","1","21","Alexandra House","","see Blendon Row","72-76","RG 12/363","96
"
"23","1","22","Alexandra House","","see Blendon Row","77-77 ½","RG 12/363","103
"
"23","1","23","Alexandra House","","see Blendon Row","78-100 ½","RG 12/363","96-98
"
"23","1","24","Alfred Place","Old Kent Road","now Alfreton Street","","",""
"23","1","25","Alfreton Street","","","2-30 even","RG 12/345","110-112
"
"23","1","26","Alfreton Street","","","27-41 odd","RG 12/362","25-26
"
"23","1","27","Alfreton Street","","","34-54 even","RG 12/362","24-25
"
"23","1","28","Alfreton Street","Old Kent Road","","1-23 odd","RG 12/345","108-110
"
"23","1","29","Allen Street","Bagshot Street","later Alsace Street","","RG 12/358","6-10
"
