"23","3","1","Gable Cottages","Little Suffolk Street","","","RG 12/346","57-59
"
"23","3","2","Garden Place","","","4","RG 12/352","61-62
"
"23","3","3","Garden Place","","","5-7","RG 12/352","61
"
"23","3","4","Garden Place","Trinity Place","","1-3","RG 12/352","61
"
"23","3","5","Garden Row","Georges Road","","","RG 12/348","128-132
"
"23","3","6","Garfield House","Mardyke Street","","","RG 12/345","152-153
"
"23","3","7","Gaywood Street","St Georges Road","","","RG 12/348","112-120
"
"23","3","8","George Court","Great Dover Street","","","RG 12/351","38
"
"23","3","9","George Inn & Yard","Borough High Street","","77","RG 12/342","6
"
"23","3","10","George Street","Blackfriars Road","Later Dolben Street in July 1911","","RG 12/341","47-55
"
"23","3","11","Gilbert Buildings","Friar Street","","","RG 12/347","90-91
"
"23","3","12","Gilberts Court","Tower Street","","","RG 12/350","68-69
"
"23","3","13","Gladstone Street","St Georges Road","Gladstone Terrace now pt Arthur Street","","RG 12/348","89-95
"
"23","3","14","Globe Street","Great Dover Street","","1-9 odd","RG 12/351","9-10
"
"23","3","15","Globe Street","Great Dover Street","","2 even","RG 12/351","17
"
"23","3","16","Globe Street","Great Dover Street","","4-10 even","RG 12/351","8-9
"
"23","3","17","Globe Street","Great Dover Street","No other numbers exist","15-21 odd","RG 12/351","133
"
"23","3","18","Gloucester Street","Oakley Street","Remainder in LAMBETH District","","",""
"23","3","19","Gloucester Street","Tower Street","","29-30 only","RG 12/350","68
"
"23","3","20","Golden Place","Pepper Street","","","RG 12/342","117
"
"23","3","21","Goldsmith Place","Southwark Bridge Road","","","RG 12/346","154
"
"23","3","22","Goods Place","Newington Causeway","","","RG 12/352","77
"
"23","3","23","Goodwin Buildings","Marshalsea Road","","","RG 12/346","16-18
"
"23","3","24","Gordon House","Russell Place","","","RG 12/344","195-196
"
"23","3","25","Graham House","Russell Place","","","RG 12/344","197
"
"23","3","26","Graham Street","Montpelier Street","","","RG 12/356","142-143
"
"23","3","27","Grant House","Mardyke Street","","","RG 12/345","150-151
"
"23","3","28","Grantham Place","Portland Street","","","RG 12/361","11
"
"23","3","29","Gravel Lane","","","21-59 odd","RG 12/343","14-16
"
"23","3","30","Gravel Lane","Southwark Street","","1-19 odd & 1-18 even Vaughans Almshouses, Gravel Lane","RG 12/341","64-65
"
