"23","7","1","St Agnes Villas & Vicarage","Kennington Park","","","RG 12/364","4
"
"23","7","2","St David Street","Standard Street","","","RG 12/351","99-103
"
"23","7","3","St Gabriel Street","Newington Butts","","","RG 12/366","63-71
"
"23","7","4","St Gabriel Street","Newington Butts","","St Marys Schoolhouses, St Gabriel Street","RG 12/366","63
"
"23","7","5","St Gabriel Street","Newington Butts","was Parsonage Walk","The Pastors Cottage, St Gabriel Street","RG 12/366","71
"
"23","7","6","St Georges Buildings","","","51-60","RG 12/344","31-32
"
"23","7","7","St Georges Buildings","Disney Street","","1-50","RG 12/344","11-15
"
"23","7","8","St Georges Circus","Blackfriars Road","","1-5","RG 12/349","84
"
"23","7","9","St Georges Circus","Blackfriars Road","","8-11","RG 12/347","106-107
"
"23","7","10","St Georges Circus","Blackfriars Road","","Blind School, St Georges Circus","RG 12/350","133-138
"
"23","7","11","St Georges Market","London Road","","","RG 12/348","77-79
"
"23","7","12","St Georges Passage","London Street","called Ontario passage in 1911","","RG 12/348","45-46
"
"23","7","13","St Georges Place","Long Lane","South becomes Scardol Place","South Side 1-9","RG 12/344","70-72
"
"23","7","14","St Georges Place","Long Lane","later North becomes Balin Place","North Side 1-28","RG 12/344","66-70
"
"23","7","15","St Georges Road","Elephant & Castle","","1-23 odd","RG 12/349","4-5
"
"23","7","16","St Georges Road","Elephant & Castle","","105-147 odd","RG 12/350","73-76
"
"23","7","17","St Georges Road","Elephant & Castle","","35-49 odd","RG 12/349","45-46
"
"23","7","18","St Georges Road","Elephant & Castle","","51-93 odd","RG 12/349","63-65
"
"23","7","19","St Georges Road","Elephant & Castle","","6-94 even","RG 12/348","104-108
"
"23","7","20","St Georges Road","Elephant & Castle","","96-118 even","RG 12/348","84-86
"
"23","7","21","St Georges Road","Elephant & Castle","","Bethlem Hospital, St Georges Road","RG 12/350","108-117
"
"23","7","22","St Georges Road","Elephant & Castle","","Hayles Buildings, St Georges Road","RG 12/349","5-9
"
"23","7","23","St Georges Road","Elephant & Castle","","King Edwards Schools, St Georges Road","RG 12/350","119-126
"
"23","7","24","St Georges Road","Elephant & Castle","","St Georges Cathedral","RG 12/350","96
"
"23","7","25","St Margarets Court","Borough High Street","","","RG 12/343","84-91
"
"23","7","26","St Mary Ovary Dock","Church Street","","","RG 12/343","81
"
"23","7","27","St Patricks Terrace","Falmouth Road","now pt Ralph Street","43-67","RG 12/351","97-99
"
"23","7","28","St Pauls Mews","Westmoreland Road","","","RG 12/357","135
"
"23","7","29","St Pauls Road","Lorrimore Square","","1-4","RG 12/355","23-24
"
"23","7","30","St Pauls Road","Lorrimore Square","","5","RG 12/355","24, 36
"
