"24","3","1","Gait Street","Salmon Lane","","","RG 12/297","111-116
"
"24","3","2","Garden Court","Ropemakers Fields","","","RG 12/296","36
"
"24","3","3","Garricks Buildings or Place","Willow Row","","","RG 12/296","23-24
"
"24","3","4","Garth Street","Goulds Hill","","1-12","RG 12/289","90
"
"24","3","5","Garth Street","Goulds Hill","13-15 damaged see","","RG 12/289","91
"
"24","3","6","George Court","George Street","","","RG 12/292","126
"
"24","3","7","George Street","Commercial Road East","","","RG 12/292","125-128
"
"24","3","8","Giles Place","Periwinkle Street","","","RG 12/292","133-134
"
"24","3","9","Gill Street","Commercial Road East","","2-28 Even","RG 12/296","101-102
"
"24","3","10","Gill Street","Commercial Road East","","27-45 pt Odd","RG 12/296","105-106
"
"24","3","11","Gill Street","Commercial Road East","","30 Even","RG 12/296","107
"
"24","3","12","Gill Street","Commercial Road East","","32-56 Even","RG 12/296","102-104
"
"24","3","13","Gill Street","Commercial Road East","","47-55 Pt Odd","RG 12/296","104-105
"
"24","3","14","Gill Street","Commercial Road East","","57 Odd","RG 12/296","104
"
"24","3","15","Gill Street","Commercial Road East","","58-76 Even","RG 12/296","88-89
"
"24","3","16","Gill Street","Commercial Road East","","59-83 Odd","RG 12/296","86-87
"
"24","3","17","Gill Street","Commercial Road East","","7-25 pt Odd","RG 12/296","106-108
"
"24","3","18","Gill Street","Commercial Road East","","78 Even","RG 12/296","87
"
"24","3","19","Gill Street","Commercial Road East","","80-104 Even","RG 12/296","72-73
"
"24","3","20","Gill Street","Commercial Road East","","87-109 Odd","RG 12/334","31-33
"
"24","3","21","Gill Street","Commercial Road East","","Schoolhouse, Gill Street","RG 12/296","71
"
"24","3","22","Gill Street","Commercial Road East","","pt of 25 Odd","RG 12/296","120-121
"
"24","3","23","Gill Street","Commercial Road East","","pt of 55 Odd","RG 12/296","120
"
"24","3","24","Gill Street","Commercial Road East","","pts of 41 and 45 Odd","RG 12/296","120
"
"24","3","25","Gill Street","Commercial Road East","not exist","1-5 Odd do","","
"
"24","3","26","Gin Alleys","Narrow Street","unoccupied","","RG 12/292","101
"
"24","3","27","Glamis Road","Cable Street","","Almshouses, Glamis Road","RG 12/289","81
"
"24","3","28","Glamis Road","Cable Street","","East London Hospital for Children and Dispensory for Women","RG 12/290","118-122
"
"24","3","29","Glamis Road","Cable Street","","Fire Station, Glamis Road, 1-40","RG 12/289","80-81
"
"24","3","30","Glamis Road","Cable Street","","Industrial Dwellings","RG 12/290","73-77
"
"24","3","31","Glass House Fields","Broad Street","","","RG 12/293","69
"
"24","3","32","Globe Alley","Narrow Street","","","RG 12/296","17
"
"24","3","33","Gloucestershire Court or Place and Street","Salmon Lane Street","renamed Notgrove Street in 1894","1","RG 12/295","
"
"24","3","34","Gloucestershire Court or Place and Street","Salmon Lane Street","renamed Notgrove Street in 1894","Place, Gloucestershire Court or Place and Street, 1-3","RG 12/295","96
"
"24","3","35","Gloucestershire Court or Place and Street","Salmon Lane Street","renamed Notgrove Street in 1894","Street, Gloucestershire Court or Place and Street, 2-4","RG 12/295","95-96
"
"24","3","36","Gloucestershire Court or Place and Street","Salmon Lane Street","renamed Notgrove Street in 1894","Street, Gloucestershire Court or Place and Street, 5-10","RG 12/295","96-98
"
"24","3","37","Glovers Court","White Horse Street","","","RG 12/292","125
"
"24","3","38","Goodwins Place","Ropemakers Fields","","","RG 12/296","37
"
"24","3","39","Goulds Hill","Shadwell High Street","All MISSING see fragments of Numbers 2-4","","RG 12/289","92
"
"24","3","40","Great Hermitage Street","Redmead Lane","","1-49","RG 12/288","113-122
"
"24","3","41","Great Hermitage Street","Redmead Lane","","Russell Buildings, Great Hermitage Street","RG 12/288","102
"
"24","3","42","Great Hermitage Street","Redmead Lane","","pt of 24","RG 12/290","83-84
"
"24","3","43","Great Hermitage Street","Redmead Lane","no other numbers occupied","58-64","RG 12/288","122-123
"
"24","3","44","Green Bank","Old Gravel Lane","","","RG 12/290","83
"
"24","3","45","Green Bank","Old Gravel Lane","","20 Even","RG 12/290","104
"
"24","3","46","Green Bank","Old Gravel Lane","","20-38 Even","RG 12/288","46-47
"
"24","3","47","Green Bank","Old Gravel Lane","","41-47 Odd","RG 12/288","49
"
"24","3","48","Green Bank","Old Gravel Lane","","49-87 Odd","RG 12/288","47-49
"
"24","3","49","Green Bank","Old Gravel Lane","","Turks Head Public House 12-18 Even","RG 12/290","87
"
"24","3","50","Green Bank","Old Gravel Lane","no other numbers occupied","","",""
"24","3","51","Green Street","White Horse Street","","","RG 12/292","85
"
"24","3","52","Grocers Court","Upper Well Alley","","","RG 12/290","101
"
"24","3","53","Grove Court","White Horse Street","","","RG 12/292","129-130
"
"24","3","54","Gun Lane","West India Dock Road","","","RG 12/296","79-85
"
"24","3","55","Gun Square","Gun Lane","","","RG 12/296","82-83
"
