"25","8","1","Union Bank Chambers","Spring Gardens","","","RG 12/214","42
"
"25","8","2","Upper St Martins Lane","","","1-5","RG 12/88","199-200
"
"25","8","3","Upper St Martins Lane","","","6-20","RG 12/213","46-48
"
"25","8","4","Vere Street","Clare Market","","1-23","RG 12/217","142-148
"
"25","8","5","Vere Street","Clare Market","","27-28","RG 12/217","73-76
"
"25","8","6","Vere Street","Clare Market","","44","RG 12/217","76-77
"
"25","8","7","Vere Street","Clare Market","","Schools, Vere Street","RG 12/217","76
"
"25","8","8","Victoria Embankment","","","Essex Street Works and School Board Offices","RG 12/217","13
"
"25","8","9","Victoria Embankment","","","Medical School RCP and S","RG 12/216","102
"
"25","8","10","Victoria Embankment","","","Savoy Hotel, Victoria Embankment","RG 12/217","167-174
"
"25","8","11","Victoria Embankment","","","Surrey House, Victoria Embankment","RG 12/217","32
"
"25","8","12","Victoria Embankment","","","Temple Pler","RG 12/217","19
"
"25","8","13","Victoria Embankment","","","Thames Police Station, Victoria Embankment","RG 12/216","102
"
"25","8","14","Victoria Embankment","","","Waterloo Steam Boat Pler","RG 12/216","102
"
"25","8","15","Victoria Embankment","","","Wharves etc","RG 12/215","49
"
"25","8","16","Villiers Street","Strand","Much alterations due to Railway Station","","RG 12/215","11-14
"
"25","8","17","Vinegar Yard and Marquis Court","Drury Lane","","","RG 12/214","17-19
"
"25","8","18","Warwick Street","Cockspur Street","","2-14 Even","RG 12/214","36-37
"
"25","8","19","Warwick Street","Cockspur Street","","3-11 Odd","RG 12/86","20
"
"25","8","20","Water Street","Arundel Street","","","RG 12/217","13
"
"25","8","21","Wellington Arch and Lodge","Constitution Hill","","","""RG 12/214","30
"
"25","8","22","Wellington Street","Strand","","1-17 Odd","RG 12/216","103
"
"25","8","23","Wellington Street","Strand","","10-12 Even","RG 12/216","99
"
"25","8","24","Wellington Street","Strand","","16 Even","RG 12/215","66
"
"25","8","25","Wellington Street","Strand","","17-21 Odd unoccupied","RG 12/217","46
"
"25","8","26","Wellington Street","Strand","","18-42 Even","RG 12/216","27-28
"
"25","8","27","Wellington Street","Strand","","2-6 Even","RG 12/216","103
"
"25","8","28","Wellington Street","Strand","","23-49 Odd","RG 12/216","26-27
"
"25","8","29","Wellington Street","Strand","","40 Even","RG 12/216","99
"
"25","8","30","Wellington Street","Strand","","pt 21 Odd","RG 12/215","60
"
"25","8","31","Wharves","","","Temple Pler","RG 12/217","19
"
"25","8","32","Wharves","","","Waterloo Steam Boat Pler","RG 12/216","102
"
"25","8","33","Wharves","","Western and Midde unused","Eastern Wharf, Wharves","RG 12/215","49
"
"25","8","34","Whitcomb Court","Whitcomb Street","","unoccupied, Whitcomb Court","RG 12/214","55
"
"25","8","35","Whitcomb Street","Conventry Street","","","RG 12/214","79
"
"25","8","36","Whitcomb Street","Conventry Street","","1-17 odd","RG 12/214","56-57
"
"25","8","37","Whitcomb Street","Conventry Street","","19-21 Odd","RG 12/214","56
"
"25","8","38","Whitcomb Street","Conventry Street","","2-58 Even","RG 12/214","57-60
"
"25","8","39","Whitcomb Street","Conventry Street","","23 Odd","RG 12/214","60
"
"25","8","40","Whitcomb Street","Conventry Street","","25-43 Odd","RG 12/214","55-56
"
"25","8","41","Whitcomb Street","Conventry Street","","60-68 Even","RG 12/88","170-171
"
"25","8","42","Whitcomb Street","Conventry Street","","Lyric Chambers","RG 12/214","54-55
"
"25","8","43","White Hart Street","Drury Lane","","1-15","RG 12/214","10-13
"
"25","8","44","White Hart Street","Drury Lane","","16-18","RG 12/216","33
"
"25","8","45","White Hart Street","Drury Lane","","19-22","RG 12/214","13
"
"25","8","46","White Hart Street","Drury Lane","23-28 do not exist","29-35","RG 12/216","119-120
"
"25","8","47","White Horse Yard","Drury Lane","","","RG 12/217","90-94
"
"25","8","48","Whitehall","","","1-6","RG 12/214","87-88
"
"25","8","49","Whitehall","","","Admiralty, Whitehall, Whitehall","RG 12/214","39-42
"
"25","8","50","Whitehall","","","Commander in Chiefs Office","RG 12/214","40
"
"25","8","51","Whitehall","","","Horse Guards Canteen","RG 12/214","40
"
"25","8","52","Whitehall","","","PMG Office","RG 12/214","40
"
"25","8","53","Whitehall","","see also","","RG 12/82","30-33
"
"25","8","54","Whitehall Court","Whitehall Place","","","RG 12/214","46-47
"
"25","8","55","Whitehall Place","Whitehall","","National Liberal Club","RG 12/215","77-81
"
"25","8","56","Whitehall Place","Whitehall","","mixed, Whitehall Place, Whitehall Place","RG 12/214","85-87
"
"25","8","57","Whitehall Yard","","","6, 6A-7A","RG 12/214","87
"
"25","8","58","Whitehall Yard","","","4-6 and Met Police HQ","RG 12/82","31
"
