"26","4","1","James Terrace","Wimbledon Road","","1-8","RG 12/454","5
"
"26","4","2","James Yard","Wandsworth High Street","","1-11","RG 12/445","127-128
"
"26","4","3","Jasmine Terrace","Wirtemberg Street","","1-6","RG 12/442","159
"
"26","4","4","Jenks Yard","Streatham High Road","","","RG 12/457","5
"
"26","4","5","Jeptha Road","Haldon Road","","1-13 odd","RG 12/446","22
"
"26","4","6","Jeptha Road","Haldon Road","","2-22 even","RG 12/446","20-21
"
"26","4","7","Jews Row","","","2-62 even","RG 12/447","136-140
"
"26","4","8","Jews Row","","","3-41 odd","RG 12/447","100-103
"
"26","4","9","Jews Row","","","Caprera Lodge, 35","RG 12/447","103
"
"26","4","10","Jews Row","","","Durham Wharf, Jews Row","RG 12/447","142
"
"26","4","11","Jews Row","","","Hatfield Terrace, 23","RG 12/447","102
"
"26","4","12","Jews Row","","","Pier Terrace, Jews Row, 1-6","RG 12/447","141
"
"26","4","13","Jews Row","","","Pier Wharf, Jews Row","RG 12/447","142
"
"26","4","14","Jews Row","","","Pine Cottage, Jews Row","RG 12/447","140
"
"26","4","15","Jews Row","","","Watneys Cottages, Jews Row, 1-5","RG 12/447","141-142
"
"26","4","16","John Street","New Road Battersea","","2-28 even","RG 12/427","42-44
"
"26","4","17","John Street","New Road Battersea","","3-31odd","RG 12/427","44-46
"
"26","4","18","John Street","York Road Battersea","","1-32","RG 12/447","127-131
"
"26","4","19","John Street","York Road Battersea","","34-56","RG 12/435","35-38
"
"26","4","20","Jubilee Cottages","Church Walk","","","RG 12/447","92
"
"26","4","21","Jubilee Cottages","Garratt Lane","","1-6","RG 12/449","31
"
"26","4","22","Kambala Road","Falcon Road, Battersea","","2-108 even","RG 12/432","42-50
"
"26","4","23","Kambala Road","Falcon Road, Battersea","Now contains Natal Road","1-81 odd","RG 12/432","50-55
"
"26","4","24","Kassala Road","Prince of Wales Road, Battersea","","1-13 odd","RG 12/420","94-95
"
"26","4","25","Kassala Road","Prince of Wales Road, Battersea","","2-10 even","RG 12/420","95
"
"26","4","26","Kate Street","Chestnut Grove, Streatham","","1-31 odd","RG 12/455","14-16
"
"26","4","27","Kate Street","Chestnut Grove, Streatham","","2-46 even","RG 12/455","16-18
"
"26","4","28","Kathleen Road","Lavender Hill, Battersea","","1-49 odd","RG 12/433","88-90
"
"26","4","29","Kathleen Road","Lavender Hill, Battersea","","2-28 even","RG 12/433","90-92
"
"26","4","30","Keatches Cottages","Garratt Lane","","1-2","RG 12/449","33-34
"
"26","4","31","Keatches Cottages","Garratt Lane","","1-6","RG 12/449","31-32
"
"26","4","32","Keatches Cottages","Garratt Lane","","Salvador, Keatches Cottages, 1-3","RG 12/460","45-46
"
"26","4","33","Keildon Road","Leathwaite Road, Battersea","","1-35 odd","RG 12/438","64-65
"
"26","4","34","Keildon Road","Leathwaite Road, Battersea","","2-38 even","RG 12/438","65-67
"
"26","4","35","Kelmscott Road","Webbs Road","","2-8, 60-66 even","RG 12/437","140
"
"26","4","36","Kelmscott Road","Webbs Road","13-49 & 10-58 not yet built","1-11 odd, 51-69 odd","RG 12/437","139-140
"
"26","4","37","Kempsell or Kensal Cottages","Gardeners Lane, Putney","","1-2","RG 12/453","6
"
"26","4","38","Kempshott Road","Streatham High Road","","1-53 odd","RG 12/458","4-6
"
"26","4","39","Kempshott Road","Streatham High Road","","4-54 even","RG 12/457","89-91
"
"26","4","40","Kempshott Road","Streatham High Road","","Beauford Lodge and Stables, Kempshott Road","RG 12/457","91
"
"26","4","41","Kempshott Road","Streatham High Road","","Fairholme, Kempshott Road, 44","RG 12/457","89
"
"26","4","42","Kempshott Road","Streatham High Road","","Pelham, Kempshott Road","RG 12/457","91
"
"26","4","43","Kempton Villas","Eardley Road","","1-4","RG 12/456","83
"
"26","4","44","Kenilford Road","Cavendish Road, Streatham","","1-10","RG 12/456","13-15
"
