"26","6","1","Packington House and Cottage","Bickersteth Road","","","RG 12/460","35
"
"26","6","2","Pagden Street","Havelock Terrace, Battersea","","1-5","RG 12/423","58
"
"26","6","3","Palace Road","Norwood Road, Streatham","","1-13","RG 12/459","8-10
"
"26","6","4","Palace Road","Norwood Road, Streatham","","Betala, Palace Road","RG 12/459","11
"
"26","6","5","Palace Road","Norwood Road, Streatham","","Calderwood, Palace Road","RG 12/459","14
"
"26","6","6","Palace Road","Norwood Road, Streatham","","Carnton, Palace Road","RG 12/459","14
"
"26","6","7","Palace Road","Norwood Road, Streatham","","Charis Holme","RG 12/459","12
"
"26","6","8","Palace Road","Norwood Road, Streatham","","Glanshaw, Palace Road","RG 12/459","11
"
"26","6","9","Palace Road","Norwood Road, Streatham","","Glenmore, Palace Road","RG 12/459","13
"
"26","6","10","Palace Road","Norwood Road, Streatham","","Hillbrow, Palace Road","RG 12/459","11
"
"26","6","11","Palace Road","Norwood Road, Streatham","","Hopefield, Palace Road","RG 12/459","13
"
"26","6","12","Palace Road","Norwood Road, Streatham","","Hughendon, Palace Road","RG 12/459","13
"
"26","6","13","Palace Road","Norwood Road, Streatham","","Kimberley, Palace Road","RG 12/459","12
"
"26","6","14","Palace Road","Norwood Road, Streatham","","Leigham Court Villa, Palace Road","RG 12/459","11
"
"26","6","15","Palace Road","Norwood Road, Streatham","","Meadowside, Palace Road","RG 12/459","8
"
"26","6","16","Palace Road","Norwood Road, Streatham","","Newark House, Palace Road","RG 12/459","13
"
"26","6","17","Palace Road","Norwood Road, Streatham","","Newstead, Palace Road","RG 12/459","13
"
"26","6","18","Palace Road","Norwood Road, Streatham","","Normanby, Palace Road","RG 12/459","12
"
"26","6","19","Palace Road","Norwood Road, Streatham","","Oakfield, Palace Road","RG 12/459","11
"
"26","6","20","Palace Road","Norwood Road, Streatham","","Oenmead, Palace Road","RG 12/459","12
"
"26","6","21","Palace Road","Norwood Road, Streatham","","Penshurst, Palace Road","RG 12/459","11
"
"26","6","22","Palace Road","Norwood Road, Streatham","","Queenswood, Palace Road","RG 12/459","11
"
"26","6","23","Palace Road","Norwood Road, Streatham","","Red House, Palace Road","RG 12/459","14
"
"26","6","24","Palace Road","Norwood Road, Streatham","","Rookcliff, Palace Road","RG 12/459","12
"
"26","6","25","Palace Road","Norwood Road, Streatham","","Rookwood, Palace Road","RG 12/459","11
"
"26","6","26","Palace Road","Norwood Road, Streatham","","St Helens, Palace Road","RG 12/459","13
"
"26","6","27","Palace Road","Norwood Road, Streatham","","Stockland, Palace Road","RG 12/459","13
"
"26","6","28","Palace Road","Norwood Road, Streatham","","Tower House, Palace Road","RG 12/459","10
"
"26","6","29","Palace Road","Norwood Road, Streatham","","Valetta, Palace Road","RG 12/459","14
"
"26","6","30","Palace Road","Norwood Road, Streatham","","Westerland, Palace Road","RG 12/459","12
"
"26","6","31","Palmers Cottages","Streatham High Road","","1-4","RG 12/458","36
"
"26","6","32","Palmerston Road","Merton Road","","1-57","RG 12/446","69-74
"
"26","6","33","Palmerston Road","Merton Road","","Palmerston Terrace, Palmerston Road, 1-4","RG 12/446","69
"
"26","6","34","Palmerston Road","Merton Road","","Palmerston Terrace 3, 5-6","RG 12/446","76-77
"
"26","6","35","Palmerston Road","Merton Road","","The Cottage, Palmerston Road","RG 12/446","74
"
"26","6","36","Palmerston Street","Battersea Park Road","","1-25","RG 12/422","123-126
"
"26","6","37","Palmerston Street","Battersea Park Road","","37-61","RG 12/423","5-9
"
"26","6","38","Palmerston Street","Battersea Park Road","","West Villas A-C","RG 12/423","9
"
"26","6","39","Palmerston Terrace","Battersea Park Road","","1-12","RG 12/423","4-5
"
"26","6","40","Palmerston Terrace","Palmerston Road","","1-4","RG 12/446","69
"
"26","6","41","Palmerston Terrace","Palmerston Road","","3, 5-6","RG 12/446","76-77
"
"26","6","42","Parade, The","Tooting High Street","","1-5","RG 12/454","50-51
"
"26","6","43","Paragon, The","Brixton Hill","","1-15","RG 12/458","152-153
"
"26","6","44","Paragon, The","Streatham Hill","","18, 19","RG 12/458","93
"
"26","6","45","Park Cottage","Church Road, Battersea","","","RG 12/429","44
"
"26","6","46","Park Crescent","Clapham Park Road","","1-67","RG 12/443","44-51
"
"26","6","47","Park Crescent","Clapham Park Road","","Crescent Cottage, Park Crescent","RG 12/443","51
"
"26","6","48","Park Crescent","Clapham Park Road","","Crescent Villas, Park Crescent, 1-3","RG 12/443","51
"
"26","6","49","Park Crescent","Clapham Park Road","","Mews Cottages, Park Crescent","RG 12/443","47
"
"26","6","50","Park Grove","Battersea Park Road","","2-76 even","RG 12/422","73-78
"
"26","6","51","Park Grove","Battersea Park Road","","3-43 odd","RG 12/422","92-94
"
"26","6","52","Park Hill","Clapham Park Road","","5-41 odd","RG 12/443","96-98
"
"26","6","53","Park Hill","Clapham Park Road","","8","RG 12/443","99-100
"
"26","6","54","Park Hill","Clapham Park Road","","Allenmore, Park Hill","RG 12/443","100
"
"26","6","55","Park Hill","Clapham Park Road","","Bohemian Villa, Park Hill","RG 12/443","99
"
"26","6","56","Park Hill","Clapham Park Road","","Brunswick Cottage, Park Hill","RG 12/443","98
"
"26","6","57","Park Hill","Clapham Park Road","","Clare Lodge, Park Hill","RG 12/443","98
"
"26","6","58","Park Hill","Clapham Park Road","","East Lodge, Park Hill","RG 12/443","98
"
