"26","8","1","Ullathorne Road","Aldsington Road","","","RG 12/456","86
"
"26","8","2","Ulva Road","Burston Road, Putney","","1-7 mixed","RG 12/453","86
"
"26","8","3","Union Grove","Wandsworth Road","","1-55 odd","RG 12/441","99
"
"26","8","4","Union Grove","Wandsworth Road","","2-78 even","RG 12/441","90-93
"
"26","8","5","Union Grove","Wandsworth Road","","7-55 odd","RG 12/441","100-102
"
"26","8","6","Union Grove","Wandsworth Road","","Alford Terrace 1-33 odd","RG 12/441","97-99
"
"26","8","7","Union Grove","Wandsworth Road","","Christchurch Villas, Union Grove, 1-4","RG 12/441","99
"
"26","8","8","Union Grove","Wandsworth Road","","Church Terrace, Union Grove, 5-8","RG 12/441","100
"
"26","8","9","Union Grove","Wandsworth Road","","The Vicarage, Union Grove","RG 12/441","99
"
"26","8","10","Union Road","Clapham Road","","1-130 and Stable Yard, Union Road","RG 12/402","17
"
"26","8","11","Union Road","Clapham Road","","104-108 even","RG 12/441","103
"
"26","8","12","Union Road","Clapham Road","","2-20 even","RG 12/402","16-17
"
"26","8","13","Union Road","Clapham Road","","21-93 odd","RG 12/442","8-11
"
"26","8","14","Union Road","Clapham Road","","22-102 even","RG 12/442","4-7
"
"26","8","15","Union Road","Clapham Road","","95-107 odd","RG 12/441","102-103
"
"26","8","16","Union Street","Larkhall Lane, Clapham","","1, 5-12, 24-37, 1A","RG 12/442","24-28
"
"26","8","17","Union Street","Larkhall Lane, Clapham","","Clares Cottages, Union Street, 1-12","RG 12/442","26-27
"
"26","8","18","Union Street","Larkhall Lane, Clapham","","Hewetts New Brewery","RG 12/442","27
"
"26","8","19","Union Street","Larkhall Lane, Clapham","","Schoolhouse, Union Street","RG 12/442","25
"
"26","8","20","Union Terrace","Usk Road","","2-8","RG 12/435","45-46
"
"26","8","21","Upper Orchard Street","Lyham Road, Clapham","","1-46","RG 12/444","21-25
"
"26","8","22","Upper Richmond Road","West Hill, Putney","","204","RG 12/453","41
"
"26","8","23","Upper Richmond Road","West Hill, Putney","","3-9, 17-49 odd","RG 12/445","101-103
"
"26","8","24","Upper Richmond Road","West Hill, Putney","","59-285 odd","RG 12/453","59-69
"
"26","8","25","Upper Richmond Road","West Hill, Putney","","74-298 even","RG 12/453","70-75
"
"26","8","26","Upper Richmond Road","West Hill, Putney","","Albert Terrace, Upper Richmond Road, 1-10","RG 12/445","104-105
"
"26","8","27","Upper Richmond Road","West Hill, Putney","","Balmuir Gardens 1-9 odd","RG 12/453","91
"
"26","8","28","Upper Richmond Road","West Hill, Putney","","Balmuir Terrace, Upper Richmond Road, 1-4","RG 12/453","65-66
"
"26","8","29","Upper Richmond Road","West Hill, Putney","","Carmall Terrace, Upper Richmond Road, 1-8","RG 12/453","64-65
"
"26","8","30","Upper Richmond Road","West Hill, Putney","","Carmalt Gardens 1-31 odd","RG 12/453","88-89
"
"26","8","31","Upper Richmond Road","West Hill, Putney","","Carmalt Gardens 2-34 even","RG 12/453","89-91
"
"26","8","32","Upper Richmond Road","West Hill, Putney","","Dyers Lane","RG 12/453","102-104
"
"26","8","33","Upper Richmond Road","West Hill, Putney","","Elmwood, Upper Richmond Road","RG 12/453","69-70
"
"26","8","34","Upper Richmond Road","West Hill, Putney","","Eton Lodge, Upper Richmond Road","RG 12/453","70
"
"26","8","35","Upper Richmond Road","West Hill, Putney","","Faircroft, Upper Richmond Road","RG 12/453","70
"
"26","8","36","Upper Richmond Road","West Hill, Putney","","Falcon Lodge, Upper Richmond Road","RG 12/453","69
"
"26","8","37","Upper Richmond Road","West Hill, Putney","","Grand Parade 1-20","RG 12/453","80-81
"
"26","8","38","Upper Richmond Road","West Hill, Putney","","Granville Lodge, Upper Richmond Road","RG 12/453","138
"
"26","8","39","Upper Richmond Road","West Hill, Putney","","Heather Bell","RG 12/453","69
"
"26","8","40","Upper Richmond Road","West Hill, Putney","","Heathview, Upper Richmond Road","RG 12/453","69
"
"26","8","41","Upper Richmond Road","West Hill, Putney","","Holly Lodge, Upper Richmond Road","RG 12/453","69
"
"26","8","42","Upper Richmond Road","West Hill, Putney","","Longerville, Upper Richmond Road","RG 12/453","70
"
"26","8","43","Upper Richmond Road","West Hill, Putney","","Morlaby, Upper Richmond Road","RG 12/453","70
"
"26","8","44","Upper Richmond Road","West Hill, Putney","","Northumberland Arms","RG 12/453","69-70
"
"26","8","45","Upper Richmond Road","West Hill, Putney","","Old Burial Ground 189","RG 12/453","63
"
"26","8","46","Upper Richmond Road","West Hill, Putney","","Police Station, Upper Richmond Road, 191","RG 12/453","63-64
"
"26","8","47","Upper Richmond Road","West Hill, Putney","","Priest Bridge","RG 12/453","138
"
"26","8","48","Upper Richmond Road","West Hill, Putney","","Priory Lodge, Upper Richmond Road","RG 12/453","137-138
"
"26","8","49","Upper Richmond Road","West Hill, Putney","","Putney Park Lodge, Upper Richmond Road","RG 12/453","69
"
"26","8","50","Upper Richmond Road","West Hill, Putney","","Redcot, Upper Richmond Road","RG 12/453","69
"
"26","8","51","Upper Richmond Road","West Hill, Putney","","Roehampton House and Lodge, Upper Richmond Road","RG 12/453","137
"
"26","8","52","Upper Richmond Road","West Hill, Putney","","Squires Market, Upper Richmond Road","RG 12/453","69
"
"26","8","53","Upper Richmond Road","West Hill, Putney","","The Crescent 6-9","RG 12/453","62
"
"26","8","54","Upper Richmond Road","West Hill, Putney","","The Lilies, Upper Richmond Road","RG 12/453","69
"
"26","8","55","Upper Richmond Road","West Hill, Putney","","The Limes, Upper Richmond Road","RG 12/453","70
"
"26","8","56","Upper Richmond Road","West Hill, Putney","","The Terrace, Upper Richmond Road, 1-10","RG 12/445","104
"
"26","8","57","Upper Richmond Road","West Hill, Putney","47-57 odd not yet built","2-42 even","RG 12/445","105-108
"
"26","8","58","Upper Richmond Road","West Hill, Putney","Continued in RICHMOND district","","",""
"26","8","59","Upper Tooting Park","Balham High Road, Streatham","","Brinkburn, Upper Tooting Park","RG 12/454","84
"
"26","8","60","Upper Tooting Park","Balham High Road, Streatham","","Laurelbank, Upper Tooting Park","RG 12/454","84
"
"26","8","61","Upper Tooting Park","Balham High Road, Streatham","","Lilehouse, Upper Tooting Park","RG 12/454","85
"
"26","8","62","Upper Tooting Park","Balham High Road, Streatham","","The Elm, Upper Tooting Park","RG 12/454","84
"
"26","8","63","Upper Tooting Park","Balham High Road, Streatham","","The Grange, Upper Tooting Park","RG 12/454","84
"
"26","8","64","Upper Tooting Park","Balham High Road, Streatham","","The Lodge, Upper Tooting Park","RG 12/454","84
"
"26","8","65","Upper Tooting Road","","see Upper Tooting High Street","","",""
"26","8","66","Upper Tulse Hill","Brixton Hill, Streatham","122-132 even","","RG 12/459","19-20
"
"26","8","67","Upper Tulse Hill","Brixton Hill, Streatham","Remainder in LAMBETH district","","",""
"26","8","68","Ursula Street","Orbel Street, Battersea","","1-47 odd","RG 12/429","134-137
"
"26","8","69","Ursula Street","Orbel Street, Battersea","","2-48 even","RG 12/429","137-139
"
"26","8","70","Urswicke Road","York Road, Battersea","","1-43 odd","RG 12/430","89-93
"
"26","8","71","Urswicke Road","York Road, Battersea","","2-44 even","RG 12/430","93-96
"
"26","8","72","Usk Road","St Johns Hill - York Road, Battersea","","1-43 odd","RG 12/435","38-41
"
"26","8","73","Usk Road","St Johns Hill - York Road, Battersea","","100","RG 12/436","29
"
"26","8","74","Usk Road","St Johns Hill - York Road, Battersea","","2-80 even","RG 12/435","41-45
"
"26","8","75","Usk Road","St Johns Hill - York Road, Battersea","","45-79 odd","RG 12/436","30-31
"
"26","8","76","Usk Road","St Johns Hill - York Road, Battersea","","81-163 odd","RG 12/436","26-29
"
"26","8","77","Usk Road","St Johns Hill - York Road, Battersea","","82-168 even","RG 12/436","31-34
"
"26","8","78","Usk Road","St Johns Hill - York Road, Battersea","","St Peters Place, Usk Road","RG 12/436","34-35
"
"26","8","79","Usk Road","St Johns Hill - York Road, Battersea","","Union Terrace, Usk Road, 2-8","RG 12/435","45-46
"
"26","8","80","Valley Road","Leigham Court Road, Streatham","","1-8","RG 12/458","67-68
"
"26","8","81","Valley Road","Leigham Court Road, Streatham","","Bellevdere, Valley Road","RG 12/458","66
"
"26","8","82","Valley Road","Leigham Court Road, Streatham","","Clovelly, Valley Road","RG 12/458","66
"
"26","8","83","Valley Road","Leigham Court Road, Streatham","","Elenbrake, Valley Road","RG 12/458","67
"
"26","8","84","Valley Road","Leigham Court Road, Streatham","","Frogmore Stables, Valley Road","RG 12/458","66
"
"26","8","85","Valley Road","Leigham Court Road, Streatham","","Glendale, Valley Road","RG 12/458","65
"
"26","8","86","Valley Road","Leigham Court Road, Streatham","","Glendalough, Valley Road","RG 12/458","65
"
"26","8","87","Valley Road","Leigham Court Road, Streatham","","Highclere, Valley Road","RG 12/458","66
"
"26","8","88","Valley Road","Leigham Court Road, Streatham","","Mansfield, Valley Road","RG 12/458","65
"
"26","8","89","Valley Road","Leigham Court Road, Streatham","","Mineral Wells","RG 12/458","67
"
"26","8","90","Valley Road","Leigham Court Road, Streatham","","Ravenscraig, Valley Road","RG 12/458","66
"
"26","8","91","Valley Road","Leigham Court Road, Streatham","","Ribblesdale Stables, Valley Road","RG 12/458","66
"
"26","8","92","Valley Road","Leigham Court Road, Streatham","","Rockland, Valley Road","RG 12/458","67
"
"26","8","93","Valley Road","Leigham Court Road, Streatham","","Rosslyn, Valley Road","RG 12/458","66
"
"26","8","94","Valley Road","Leigham Court Road, Streatham","","St Brelades, Valley Road","RG 12/458","65
"
"26","8","95","Valley Road","Leigham Court Road, Streatham","","St Cheds, Valley Road","RG 12/458","66
"
"26","8","96","Valley Road","Leigham Court Road, Streatham","","Shuttleworth, Valley Road","RG 12/458","65
"
"26","8","97","Valley Road","Leigham Court Road, Streatham","","Stockfield Villa, Valley Road","RG 12/458","65
"
"26","8","98","Valley Road","Leigham Court Road, Streatham","","Stowe, Valley Road","RG 12/458","65
"
"26","8","99","Valley Road","Leigham Court Road, Streatham","","Streatley, Valley Road","RG 12/458","65
"
"26","8","100","Valley Road","Leigham Court Road, Streatham","","Sunnydene, Valley Road","RG 12/458","67
"
"26","8","101","Valley Road","Leigham Court Road, Streatham","","The Homestead, Valley Road","RG 12/458","66
"
"26","8","102","Valley Road","Leigham Court Road, Streatham","","The Savarachs, Valley Road","RG 12/458","66
"
"26","8","103","Valley Road","Leigham Court Road, Streatham","","Thornhill, Valley Road","RG 12/458","66
"
"26","8","104","Valley Road","Leigham Court Road, Streatham","","Valley House, Valley Road","RG 12/458","66
"
"26","8","105","Valley Road","Leigham Court Road, Streatham","","Windsor Lodge, Valley Road","RG 12/458","65
"
"26","8","106","Valley Road","Leigham Court Road, Streatham","Includes Leigham Valley Road","1-12","RG 12/458","64
"
"26","8","107","Vant Road","Mitcham Road, Tooting Graveney","","1-14","RG 12/460","13-14
"
"26","8","108","Vant Road","Mitcham Road, Tooting Graveney","","Cambridge Villas, Vant Road","RG 12/460","12-13
"
"26","8","109","Vant Road","Mitcham Road, Tooting Graveney","","Cowes Villas, Vant Road","RG 12/460","11
"
"26","8","110","Vant Road","Mitcham Road, Tooting Graveney","","Florence Villas, Vant Road","RG 12/460","12
"
"26","8","111","Vant Road","Mitcham Road, Tooting Graveney","","Hawthorn Villas, Vant Road","RG 12/460","12
"
