"28","3","1","Garden Court","George Yard","","","RG 12/280","73-74
"
"28","3","2","Garden Place","Chicksand Street","","","RG 12/277","98-99
"
"28","3","3","George Court","Casson Street","","","RG 12/277","97
"
"28","3","4","George Court","George Street, Wentworth Street","","","RG 12/273","150
"
"28","3","5","George Street","Tower Hill","","1-3, 8 and 24 only","RG 12/283","2
"
"28","3","6","George Street","Wentworth Street","later Lolesworth Street pt 17-end missing after f.151. Most of above folios are badly damaged, some names missing or unreadable","1-17 pt","RG 12/273","149-151
"
"28","3","7","George Yard","Whitechapel High Street","","","RG 12/280","68-74
"
"28","3","8","Gingels Yard","Bakers Row","","","RG 12/278","7
"
"28","3","9","Goodmans Stile","Commercial Road East","","empty, Goodmans Stile","RG 12/282","69
"
"28","3","10","Goodmans Yard","Minories","","1, 7, 20-26","RG 12/282","12-13
"
"28","3","11","Goodmans Yard","Minories","","1-3 and 18","RG 12/235","97
"
"28","3","12","Goulston Street","Whitechapel High Street","","100-144","RG 12/280","10-15
"
"28","3","13","Goulston Street","Whitechapel High Street","","Baths and 28-32 repeated","RG 12/280","23
"
"28","3","14","Goulston Street","Whitechapel High Street","","Brunswick Buildings, Goulston Street, 1-257","RG 12/280","27-46
"
"28","3","15","Goulston Street","Whitechapel High Street","1-14 pt missing before f.1 RG 12/280","1-4 repeated","RG 12/280","23
"
"28","3","16","Goulston Street","Whitechapel High Street","Note: Nos 14-23 and 36-38 wrongly entered as Wentworth Street","pt, Goulston Street, 14-99","RG 12/280","1-9
"
"28","3","17","Gowers Place and Row","Mill Yard","demolished for RaiIways","","",""
"28","3","18","Gowers Walk","Commercial Road East","All remainder demolished for Railways","34-36 only","RG 12/282","60-63
"
"28","3","19","Graces Alley","Wellclose Square","","","RG 12/283","122-124
"
"28","3","20","Great Alie Street","Leman Street","","2-22","RG 12/282","87-90
"
"28","3","21","Great Alie Street","Leman Street","","24-52","RG 12/281","63-65
"
"28","3","22","Great Alie Street","Leman Street","","pt, Great Alie Street, 33","RG 12/281","67
"
"28","3","23","Great Garden Street","Whitechapel Road","","1-13 Odd","RG 12/279","123-125
"
"28","3","24","Great Garden Street","Whitechapel Road","","16-72 Even","RG 12/278","35-40
"
"28","3","25","Great Garden Street","Whitechapel Road","","17-87 Odd","RG 12/277","84-90
"
"28","3","26","Great Garden Street","Whitechapel Road","","2-14 Even","RG 12/279","125-126
"
"28","3","27","Great Pearl Street","Grey Eagle Street","","1-35","RG 12/273","38-46
"
"28","3","28","Great Prescot Street","Mansell Street","","","RG 12/282","92-102
"
"28","3","29","Green Dragon Yard","Whitechapel Road","","","RG 12/279","104-107
"
"28","3","30","Green Street","Turner Street","","","RG 12/280","108-110
"
"28","3","31","Greenfield Street","Fieldgate Street","","1-2","RG 12/281","8
"
"28","3","32","Greenfield Street","Fieldgate Street","","3-35","RG 12/301","77-82
"
"28","3","33","Greenfield Street","Fieldgate Street","","90","RG 12/281","8
"
"28","3","34","Greenfield Street","Fieldgate Street","37-49 do not exist","50-89","RG 12/301","62-70
"
"28","3","35","Greens Place","Old Montague Street","","1-4","RG 12/277","49
"
"28","3","36","Greens Place","Old Montague Street","","5-8","RG 12/279","100
"
"28","3","37","Grey Eagle Street","Quaker Street","","1-43 Odd","RG 12/273","46-50
"
"28","3","38","Grey Eagle Street","Quaker Street","","2-52 Even","RG 12/273","50-54
"
"28","3","39","Grey Eagle Street","Quaker Street","","45-47 Odd","RG 12/273","26
"
"28","3","40","Grey Eagle Street","Quaker Street","","56-64 Even","RG 12/273","26
"
"28","3","41","Griggs Court","Goodmans Yard","","","RG 12/282","14-15
"
"28","3","42","Gun Street","Brushfield Street","","1-11","RG 12/275","125-128
"
"28","3","43","Gun Street","Brushfield Street","","16-29","RG 12/275","114-117
"
"28","3","44","Gun Street","Brushfield Street","","30-40","RG 12/275","117-119
"
"28","3","45","Gun Street","Brushfield Street","","Lodging Houses, Gun Street","RG 12/275","128-130
"
"28","3","46","Gun Street","Brushfield Street","","Unnumbered, Gun Street","RG 12/275","130
"
