"28","7","1","St Georges House and Residence for Girls","George Yard","","","RG 12/280","70-73
"
"28","7","2","St Katharine Dock and House","","","","RG 12/283","31
"
"28","7","3","St Marks Street","Great Prescot Street","","1-24","RG 12/282","116-119
"
"28","7","4","St Marks Street","Great Prescot Street","","Gertrude House, St Marks Street","RG 12/282","119
"
"28","7","5","St Marks Street","Great Prescot Street","","Tenter Buildings, St Marks Street","RG 12/282","131-133
"
"28","7","6","St Marks Street","Great Prescot Street","","Tenter House, St Marks Street","RG 12/282","119
"
"28","7","7","St Marks Street","Great Prescot Street","","Vicarage, St Marks Street","RG 12/282","119
"
"28","7","8","St Mary Street","Whitechapel Road","","","RG 12/279","127-129
"
"28","7","9","St Marys Rectory","Whitechapel Road -Union Street","","","RG 12/281","20
"
"28","7","10","Samuel Court","Spelman Street","","","RG 12/277","79-80
"
"28","7","11","Samuel Street","Hanbury Street","now pt Spelman Street","","",""
"28","7","12","Sandys Row","Middlesex Street","East Side","1-2","RG 12/275","32
"
"28","7","13","Sandys Row","Middlesex Street","East Side","1-32","RG 12/275","31-35
"
"28","7","14","Sandys Row","Middlesex Street","East Side","1-7","RG 12/275","30
"
"28","7","15","Sandys Row","Middlesex Street","East Side","Synagogue and 5-6","RG 12/275","135-136
"
"28","7","16","Sandys Row","Middlesex Street","West Side","1-16 Mostly warehouses, Sandys Row","RG 12/235","130-132
"
"28","7","17","Scarborough Street","St Marks Street","","","RG 12/282","126-131
"
"28","7","18","Schools","","","Wheler Street Schoolhouse","RG 12/273","12
"
"28","7","19","Schools","Bell Lane","","Jewish Free School","RG 12/275","64
"
"28","7","20","Schools","Brick Lane","","Schoolhouse, Schools","RG 12/273","84
"
"28","7","21","Schools","Buckle Street","","Jewish Infants School","RG 12/281","45
"
"28","7","22","Schools","Bucks Row","","Schoolhouse, Schools","RG 12/279","80
"
"28","7","23","Schools","Chicksand Street","","Schoolhouse, Schools","RG 12/276","90
"
"28","7","24","Schools","Commercial Street","","Jewish Infants","RG 12/274","57
"
"28","7","25","Schools","Commercial Street","","Schoolhouse, St Judes","RG 12/280","57
"
"28","7","26","Schools","Leman Street","","Whitechapel Foundation School","RG 12/281","60
"
"28","7","27","Schools","Underwood Street","","St Annes, Schools","RG 12/278","27
"
"28","7","28","Schools","Victualling Office Square","","Schoolhouse, Schools","RG 12/283","13
"
"28","7","29","Sharps Buildings","Minories","","","RG 12/283","10-12
"
"28","7","30","Shepherd Street and Buildings","Commercial Street","","2-21","RG 12/274","48-51
"
"28","7","31","Shepherd Street and Buildings","Commercial Street","","22-37","RG 12/274","79-81
"
"28","7","32","Shepherd Street and Buildings","Commercial Street","","Buildings, Shepherd Street and Buildings, Shepherd Street and Buildings","RG 12/274","51-55
"
"28","7","33","Shepherds Place","Whites Row","","","RG 12/274","111
"
"28","7","34","Shipping","on River Thames and in St Katharines Dock","","","RG 12/283","156-173
"
"28","7","35","Short Street","Wentworth Street","","","RG 12/275","55-56
"
"28","7","36","Shorter Street","Cable Street","","1-3","RG 12/284","42
"
"28","7","37","Shorter Street","Cable Street","","3-6","RG 12/283","111
"
"28","7","38","Shorter Street","Cable Street","","8","RG 12/284","42-43
"
"28","7","39","Silver Street","Pelham Street","now part Spelman Street","","",""
"28","7","40","Size Yard","Whitechapel Road","","","RG 12/279","121
"
"28","7","41","South Street","Whitechapel Road","later part Bedford Street","","RG 12/280","82-83
"
"28","7","42","Specks Buildings","John Street","now part Spelman Street","","",""
"28","7","43","Spectacle Alley","Whitechapel High Street","","(nos repeated) 3-9","RG 12/281","29
"
"28","7","44","Spectacle Alley","Whitechapel High Street","","4-6","RG 12/281","27
"
"28","7","45","Spelman Street","Finch Street","","19-27 Odd","RG 12/276","39
"
"28","7","46","Spelman Street","Finch Street","","2-18 Even","RG 12/276","87-88
"
"28","7","47","Spelman Street","Finch Street","","20 Even","RG 12/276","90
"
"28","7","48","Spelman Street","Finch Street","","22-32 Even","RG 12/276","38-39
"
"28","7","49","Spelman Street","Finch Street","","29-35 Odd","RG 12/276","36-37
"
"28","7","50","Spelman Street","Finch Street","","36-46 Even","RG 12/276","35-36
"
