"29","3","1","Gallions Station","Royal Albert Docks","","","RG 12/534","36
"
"29","3","2","Garibaldy Street","","","8-42 even","RG 12/539","92-93
"
"29","3","3","Garibaldy Street","Plumstead","","1-7","RG 12/539","91-92
"
"29","3","4","Garland Street","","","1-2Elizabeth Place, Garland Street","RG 12/541","91
"
"29","3","5","Garland Street","","","Freehold Cottage, Garland Street","RG 12/541","91
"
"29","3","6","Garland Street","Plumstead","","1-43","RG 12/541","87-91
"
"29","3","7","Gavin Street","Plumstead","","1-16","RG 12/539","81-82
"
"29","3","8","George Place","Lansdowne Road","","1-8","RG 12/527","143-144
"
"29","3","9","George Street","","","1-11 Bowling Green Row, George Street","RG 12/530","92-93
"
"29","3","10","George Street","","","1-24","RG 12/530","81-84
"
"29","3","11","George Street","","","8 Sussex Place, George Street","RG 12/530","84
"
"29","3","12","George Street","","","Albion House, George Street","RG 12/530","83
"
"29","3","13","George Street","","","Ships Cottage, George Street","RG 12/530","81
"
"29","3","14","Gildersome Street","","","1-73","RG 12/533","88-95
"
"29","3","15","Glass Yard","Woolwich High Street","","1-6","RG 12/532","96
"
"29","3","16","Glenalvon Street","","","5-15","RG 12/530","122-123
"
"29","3","17","Glenmohr Row","","","1-12","RG 12/527","130-131
"
"29","3","18","Glenside Road","Plumstead","","1-17, 25-31 odd","RG 12/540","106-107
"
"29","3","19","Glenside Road","Plumstead","","13","RG 12/540","110
"
"29","3","20","Glenside Road","Plumstead","","2-12 even","RG 12/540","107-108
"
"29","3","21","Globe Lane","","","Globe Wharf, Globe Lane","RG 12/532","54
"
"29","3","22","Globe Lane","","","Harts Wharf, Globe Lane","RG 12/532","54
"
"29","3","23","Globe Lane","Woolwich High Street","","1-14","RG 12/532","51-54
"
"29","3","24","Globe Wharf","Globe Lane","","","RG 12/532","54
"
"29","3","25","Glyndon Road","","","2-6, 12-24even","RG 12/538","31-32
"
"29","3","26","Glyndon Road","","","26-98 even","RG 12/538","40-43
"
"29","3","27","Glyndon Road","","","73 R","RG 12/538","40
"
"29","3","28","Glyndon Road","Plumstead","","1-73 odd","RG 12/538","43-46
"
"29","3","29","Godfrey Hill","Samuel Street","","1-12","RG 12/529","102-103
"
"29","3","30","Godfrey Street","","","1-34","RG 12/530","52-56
"
"29","3","31","Gossage Road","Plumstead","","1-19 odd","RG 12/540","61-62
"
"29","3","32","Gossage Road","Plumstead","","2-10 even","RG 12/540","60-61
"
"29","3","33","Goughs Yard","Powis Street","","1-4","RG 12/532","62
"
"29","3","34","Government Laundry","Shooters Hill Road","","","RG 12/527","149
"
"29","3","35","Graydon Street","","","7-12","RG 12/533","66-67
"
"29","3","36","Graydon Street","Plumstead","","1-5, 1-6","RG 12/536","19-21
"
"29","3","37","Greenbank Terrace","Woolwich Road","","1-8","RG 12/527","113
"
"29","3","38","Greens End","","","19-33","RG 12/532","122-123
"
"29","3","39","Greens End","Salutation Alley","","5-19","RG 12/532","71-71A
"
"29","3","40","Greens End","Wellington Street","","1-17","RG 12/532","112-113
"
"29","3","41","Griffin Manorway","","","Griffin Cottages, Griffin Manorway","RG 12/537","19
"
"29","3","42","Griffin Manorway","Plumstead Road","","1-5","RG 12/537","19-20
"
"29","3","43","Griffin Road","Albany Villa","","","RG 12/538","112
"
"29","3","44","Griffin Road","Anness Villa","","","RG 12/538","111
"
"29","3","45","Griffin Road","Coniston Villa","","","RG 12/538","112
"
"29","3","46","Griffin Road","Crawcrook Villa","","","RG 12/538","112
"
"29","3","47","Griffin Road","Devon Villa","","","RG 12/538","111
"
"29","3","48","Griffin Road","East Villa","","","RG 12/538","110
"
"29","3","49","Griffin Road","Essex Villa","","","RG 12/538","112
"
"29","3","50","Griffin Road","Fairview","","","RG 12/538","111
"
"29","3","51","Griffin Road","Glenville House","","","RG 12/538","112
"
"29","3","52","Griffin Road","High View","","","RG 12/538","111
"
"29","3","53","Griffin Road","Highclere","","","RG 12/538","112
"
"29","3","54","Griffin Road","Hillside","","","RG 12/538","112
"
"29","3","55","Griffin Road","Lynor House","","","RG 12/538","112
"
"29","3","56","Griffin Road","Meadow View","","","RG 12/538","111
"
"29","3","57","Griffin Road","Minden Villa","","","RG 12/538","110-111
"
"29","3","58","Griffin Road","Mount Villa","","","RG 12/538","111
"
"29","3","59","Griffin Road","Myrtle Villa","","","RG 12/538","110
"
"29","3","60","Griffin Road","Osmington Villa","","","RG 12/538","111
"
"29","3","61","Griffin Road","Plumstead","","1-49 odd","RG 12/538","108-110
"
"29","3","62","Griffin Road","Plumstead","","2-52 even","RG 12/538","113-115
"
"29","3","63","Griffin Road","River View","","","RG 12/538","111
"
"29","3","64","Griffin Road","Runcton Villa","","","RG 12/538","112
"
"29","3","65","Griffin Road","Sandown Villa","","","RG 12/538","111
"
"29","3","66","Griffin Road","Whitley Villa","","","RG 12/538","112
"
"29","3","67","Grosvenor Terrace","Church Lane","","1-10","RG 12/528","7
"
"29","3","68","Grove Place","Lansdowne Road","","1-3","RG 12/527","142-143
"
"29","3","69","Grove Place","Marshall Grove","","2-3","RG 12/530","95
"
"29","3","70","Grove Place","Marshall Grove","","4-6","RG 12/530","96
"
"29","3","71","Grove Road","","","1-10 Eltham Cottages, Grove Road","RG 12/541","117-118
"
"29","3","72","Grove Road","Plumstead","","11-12 R","RG 12/541","118
"
"29","3","73","Grove Road","Plumstead","","9-13","RG 12/541","116-117
"
"29","3","74","Gunning Street","Plumstead","","1-28","RG 12/539","86-91
"
"29","3","75","Gunning Street","Plumstead","","1-4 Rose Cottages, Gunning Street","RG 12/539","91
"
"29","3","76","Haden Terrace","Cantwell Road","","1-6","RG 12/536","122
"
"29","3","77","Hanover Road","","","Park Cottage, Hanover Road","RG 12/536","14
"
"29","3","78","Hanover Road","Plumstead","","1-65 odd","RG 12/536","11-14
"
"29","3","79","Hanover Road","Plumstead","","2-58 even","RG 12/536","9-11
"
"29","3","80","Hanover Terrace","Brookhill Road","","1-11","RG 12/533","50-51
"
"29","3","81","Harden Street","","","14A-27","RG 12/530","91-92
"
"29","3","82","Hardens Lane","Woolwich High Street","","1-12","RG 12/532","12-13
"
"29","3","83","Hardens Manorway","","","1-11","RG 12/531","29
"
"29","3","84","Hardens Manorway","","","1-5Dartmouth Place, Hardens Manorway","RG 12/527","51
"
"29","3","85","Hardens Manorway","","","1-71, 44 R","RG 12/527","51-57
"
"29","3","86","Hardens Manorway","","","Warspite Baths, Hardens Manorway","RG 12/531","40
"
"29","3","87","Hare Street","","","1-51 odd","RG 12/532","77-78
"
"29","3","88","Hare Street","","","2-62 even","RG 12/532","66-69
"
"29","3","89","Hare Street","Mortgramit Square","","49","RG 12/532","105
"
"29","3","90","Hare Street","Myrtle Alley","","3-9","RG 12/532","71
"
"29","3","91","Harrington Buildings","Chapel Street","","1-6","RG 12/530","76
"
"29","3","92","Harrington Road","","","Longs Wharf, Harrington Road","RG 12/531","38
"
"29","3","93","Harrington Road","","","Trinity Wharf, Harrington Road","RG 12/531","38
"
