"3","4","1","Jacksons Buildings","Worlds End Passage","","","RG 12/65","34
"
"3","4","2","Johnson Cottages","Beaufort Street","","","RG 12/58","89
"
"3","4","3","Jones Cottages","Wellington Street","","","RG 12/64","18
"
"3","4","4","Jubilee Place","Kings Road","","","RG 12/59","160-166
"
"3","4","5","Justice Walk","Church Street","","","RG 12/64","110-111
"
"3","4","6","Kensal New Town and Kensal Green","Chelsea","","","RG 12/56","1-End
"
"3","4","7","Kensal New Town and Kensal Green","Chelsea","","","RG 12/57","1-End
"
"3","4","8","Kensal New Town and Kensal Green","Chelsea","See also PADDINGTON, KENSINGTON and HENDON Districts","","",""
"3","4","9","Kensal New Town and Kensal Green","Chelsea","pt in Chelsea","","RG 12/55","1-End
"
"3","4","10","Kensal Road","","","1-59 Odd","RG 12/10","104-108
"
"3","4","11","Kensal Road","","","117-137 Odd","RG 12/10","109-110
"
"3","4","12","Kensal Road","","","139-265 Odd","RG 12/57","44-52
"
"3","4","13","Kensal Road","","","156-280 Even","RG 12/57","35-44
"
"3","4","14","Kensal Road","","","2-154 Even","RG 12/10","110-123
"
"3","4","15","Kensal Road","","","267-337 Odd","RG 12/57","8-11
"
"3","4","16","Kensal Road","","","282-328 Even","RG 12/57","4-8
"
"3","4","17","Kensal Road","","","61-67 Odd","RG 12/28","19
"
"3","4","18","Kensal Road","","","69-83 Odd","RG 12/10","108-109
"
"3","4","19","Kensal Road","","","85-115 Odd","RG 12/28","19-22
"
"3","4","20","Keppel Place","Little Keppel Street","","","RG 12/60","94-95
"
"3","4","21","Keppel Street","","","1-119 Odd","RG 12/60","78-82
"
"3","4","22","Keppel Street","","","104-124 Even","RG 12/60","25-26
"
"3","4","23","Keppel Street","","","121-157 Odd","RG 12/60","42-44
"
"3","4","24","Keppel Street","","","161 Odd","RG 12/60","26
"
"3","4","25","Keppel Street","","","2-70 Even","RG 12/60","82-85
"
"3","4","26","Keppel Street","","","72-102 Even","RG 12/60","40-42
"
"3","4","27","Kilburn Lane","Kensal Green Lane","North Side. Odd numbers are In HENDON District, Willesden SD","","",""
"3","4","28","Kilburn Lane","Kensal Green Lane","South Side","2-26 Even","RG 12/56","20-22
"
"3","4","29","Kilburn Lane","Kensal Green Lane","South Side","224-284 Even","RG 12/55","190-197
"
"3","4","30","Kilburn Lane","Kensal Green Lane","South Side","28-222 Even","RG 12/55","12-22
"
"3","4","31","Kilburn Lane","Kensal Green Lane","South Side","286-300 Even","RG 12/55","198
"
"3","4","32","Kilburn Lane","Kensal Green Lane","South Side","St Johns Buildings, Schoolhouse and Vicarage, Kilburn Lane","RG 12/56","22-24
"
"3","4","33","Kilravock Street","Sixth Avenue","","1-97 Odd","RG 12/55","89-94
"
"3","4","34","Kilravock Street","Sixth Avenue","","2-94 Even","RG 12/55","94-99
"
