"3","5","1","Manchester Terrace","South Row","pt South Row","","RG 12/57","17-18
"
"3","5","2","Manor Buildings","Kings Road","","","RG 12/59","146-148
"
"3","5","3","Manor Gardens","Manor Street","","","RG 12/64","19-23
"
"3","5","4","Manor Street","Kings Road","","","RG 12/64","23-34
"
"3","5","5","Manresa Road","Kings Road","","Library, Manresa Road","RG 12/59","30
"
"3","5","6","Manresa Road","Kings Road","","Trafalgar Studios","RG 12/59","29
"
"3","5","7","Manresa Road","Kings Road","","Trafalgar Villa, Manresa Road","RG 12/59","30
"
"3","5","8","Manresa Road","Kings Road","","Wentworth Villa and Stables, Manresa Road","RG 12/59","29-30
"
"3","5","9","Margaretta Terrace","Oakley Street","","","RG 12/64","54-59
"
"3","5","10","Markham Place","College Place","","","RG 12/60","35
"
"3","5","11","Markham Square","Kings Road","","","RG 12/60","9-13
"
"3","5","12","Markham Street","Kings Road","","1-25","RG 12/60","3-6
"
"3","5","13","Markham Street","Kings Road","","1A-1B","RG 12/59","157
"
"3","5","14","Markham Street","Kings Road","","25-46","RG 12/59","157-160
"
"3","5","15","Markham Terrace","Blenheim Street","","","RG 12/59","144
"
"3","5","16","Marlborough Buildings","Walton Street","","155","RG 12/61","70
"
"3","5","17","Marlborough Buildings","Walton Street","Remainder","","RG 12/61","39-48
"
"3","5","18","Marlborough Place","Leader Street","","1-14","RG 12/59","96-97
"
"3","5","19","Marlborough Place","Leader Street","","Sydney Hall, Marlborough Place","RG 12/59","66
"
"3","5","20","Marlborough Road","Fulham Road","","10-16 Even","RG 12/60","146
"
"3","5","21","Marlborough Road","Fulham Road","","18-62 Even","RG 12/60","130-133
"
"3","5","22","Marlborough Road","Fulham Road","","53-189 Odd","RG 12/60","58-64
"
"3","5","23","Marlborough Road","Fulham Road","","64-128 Even","RG 12/61","10-13
"
"3","5","24","Marlborough Road","Fulham Road","","86-90 Even","RG 12/61","13
"
"3","5","25","Marlborough Road","Fulham Road","","Fulham Road 1-51 Odd","RG 12/60","30-32
"
"3","5","26","Marlborough Square","Cale Street","Including Charbon and Ash Cottages","","RG 12/59","97-101
"
"3","5","27","Marlborough Street","College Street","","pt, Marlborough Street, 12","RG 12/59","89
"
"3","5","28","Marlborough Street","College Street","Remainder","","RG 12/59","101-103
"
"3","5","29","Marne Street","Sixth Avenue","","1-85 Odd","RG 12/55","108-111
"
"3","5","30","Marne Street","Sixth Avenue","","2-80 Even","RG 12/55","111-118
"
"3","5","31","Marne Street","Sixth Avenue","","82-112 Even","RG 12/55","49-50
"
"3","5","32","Marne Street","Sixth Avenue","","87-99 Odd","RG 12/55","48-49
"
"3","5","33","Maude Grove","Kings Road","","","RG 12/58","10-14
"
"3","5","34","Meek Street","Lots Road","Including Victoria, Westminster, Kensington and St Barnes Houses","","RG 12/66","62-68
"
"3","5","35","Middle Row","Kensal Road","East Side","6-8","RG 12/57","55-56
"
"3","5","36","Middle Row","Kensal Road","East Side","Caravans, Middle Row, Middle Row","RG 12/57","66
"
"3","5","37","Middle Row","Kensal Road","East Side","Elizabeth Place and Cambridge Cottages and Prince of Wales Public House, Middle Row","RG 12/57","56
"
"3","5","38","Middle Row","Kensal Road","East Side","Pikes Cottages, Middle Row, 1-2","RG 12/57","56
"
"3","5","39","Middle Row","Kensal Road","East Side","Pikes Cottages, Middle Row, 3-4","RG 12/57","65
"
"3","5","40","Middle Row","Kensal Road","West Side","Calverley Terrace and Yard, Middle Row","RG 12/57","15-16, 24
"
"3","5","41","Middle Row","Kensal Road","West Side","Number, Middle Row, 19","RG 12/57","21
"
"3","5","42","Middle Row","Kensal Road","West Side","School and Museum Hall, Middle Row","RG 12/57","15
"
"3","5","43","Milman Street","Kings Road","","","RG 12/64","159-168
"
"3","5","44","Minton Place","Bury Street","","","RG 12/59","42
"
"3","5","45","Mllner Street and Terrace","Cadogan Square","","Milner Lodge and Odd Numbers","RG 12/61","82-84
"
"3","5","46","Mllner Street and Terrace","Cadogan Square","","Stanley House and Even Numbers","RG 12/60","136-137
"
"3","5","47","Mllner Street and Terrace","Cadogan Square","","Terrace, Mllner Street and Terrace, Mllner Street and Terrace","RG 12/60","137-138
"
"3","5","48","Morbys Yard","Turks Row","","","RG 12/63","33-34
"
"3","5","49","Mozart Street","Brasington Road","","1-33 Odd","RG 12/55","179-181
"
"3","5","50","Mozart Street","Brasington Road","","2-38 Even","RG 12/55","181-183
"
"3","5","51","Mozart Street","Brasington Road","repeated","1-7 Odd","RG 12/9","75-76
"
"3","5","52","Mozart Street","Brasington Road","repeated","2-12 Even","RG 12/9","74-75
"
"3","5","53","Munro Terrace","Riley Street","","","RG 12/64","149
"
"3","5","54","Norman Street","Marlborough Road","Including Beauclerk Buildings","","RG 12/60","35-37
"
"3","5","55","North Street","Sloane Street","","1-55 Odd","RG 12/61","138-141
"
"3","5","56","North Street","Sloane Street","","2-74 Even","RG 12/61","141-146
"
"3","5","57","North Street","Sloane Street","","57-75 Odd","RG 12/61","132-133
"
"3","5","58","North Street","Sloane Street","","76-108 Even","RG 12/61","130-146
"
"3","5","59","North Street","Sloane Street","","77-89 Odd","RG 12/61","131-132
"
"3","5","60","North Street","Sloane Street","","pt, North Street, 54","RG 12/61","133
"
"3","5","61","Nutbourne Street","Sixth Avenue","","1-67 Odd","RG 12/55","118-121
"
"3","5","62","Nutbourne Street","Sixth Avenue","","2-22 Even","RG 12/55","121-123
"
"3","5","63","Nutbourne Street","Sixth Avenue","","24-58 Even","RG 12/55","50-52
"
"3","5","64","Nutbourne Street","Sixth Avenue","","69-101 Odd","RG 12/55","53-54
"
"3","5","65","Nutbourne Street","Sixth Avenue","wrongly entered as Marne Street on f 52","Numbers 42-52 Even","","
"
"3","5","66","Oakham Street","Leader Street","","1-24","RG 12/60","90-93
"
"3","5","67","Oakham Street","Leader Street","","Benson Terrace and Charles Place, Oakham Street","RG 12/60","86-88
"
"3","5","68","Oakley Crescent","Manor Street","","","RG 12/64","59-66
"
"3","5","69","Oakley Street and Flats","Kings Road","","","RG 12/64","38-48
"
