"4","4","1","Jacksons Yard","Imperial Road","","","RG 12/52","30
"
"4","4","2","Jeddo Road","Cobbold Road","MISSING after f 192 ED 42 RG 12/41","","",""
"4","4","3","Jerdon Place","Walham Green","","","RG 12/51","41-42
"
"4","4","4","Jervis Road","Lillie Road","","1-17 Odd","RG 12/46","103-105
"
"4","4","5","Jervis Road","Lillie Road","","2-18 Even","RG 12/46","105-106
"
"4","4","6","Jervis Road","Lillie Road","","20-48 Even","RG 12/49","152-154
"
"4","4","7","Jervis Road","Lillie Road","","25-45 Odd","RG 12/49","150-152
"
"4","4","8","John Street","Field Road","","","RG 12/47","10-12
"
"4","4","9","Johns Place","","","Church Row, Johns Place","RG 12/54","28
"
"4","4","10","Johns Place","Avonmore Road","","","RG 12/45","22
"
"4","4","11","Keith Gardens and Grove","Uxbridge Road","","","RG 12/41","99-102
"
"4","4","12","Kempson Road","Harwood Road","","","RG 12/51","157-158
"
"4","4","13","Kench Terrace","","","8","RG 12/48","176
"
"4","4","14","Kench Terrace","Pt. Munster Road","4-7 MISSING after fo 184 ED 22","1-3","RG 12/48","144
"
"4","4","15","Kenmont Gardens and Villa","Harrow Road","Kensal Green","","RG 12/44","100-105
"
"4","4","16","Kenmont Terrace","pt. Harrow Road","","","RG 12/44","107-109
"
"4","4","17","Kenneth Road","Mulgrave Road","","","RG 12/46","110-113
"
"4","4","18","Kensal Green and Kensal New Town","","contd from Paddington, Kensington and Chelsea","Districts Roughly covered by refs","RG 12/44","65-111
"
"4","4","19","Kidders Place","Walham Green","Pt. North End Road","","RG 12/50","66
"
"4","4","20","Kilmaine Road","Munster Road","","","RG 12/49","13-18
"
"4","4","21","Kilmarsh Road","Overstone Road","","","RG 12/37","125-126
"
"4","4","22","Kimberley Terrace","pt. Dawes Road","","","RG 12/48","77
"
"4","4","23","King Street","Hammersmith","","1-93 Odd","RG 12/36","145-149
"
"4","4","24","King Street","Hammersmith","","12-22 Even","RG 12/37","33
"
"4","4","25","King Street","Hammersmith","","145-195 Odd","RG 12/35","76-78
"
"4","4","26","King Street","Hammersmith","","174-180 Even","RG 12/38","75
"
"4","4","27","King Street","Hammersmith","","182-230 Even","RG 12/35","102-103
"
