"5","4","1","James Street","","","1-79","RG 12/496","119-129
"
"5","4","2","Jerningham Road","","","1-119 odd","RG 12/504","40-46
"
"5","4","3","Jerningham Road","","","2-80 even","RG 12/504","46-49
"
"5","4","4","John Penn Street","","","1-61 odd","RG 12/511","92-95
"
"5","4","5","John Penn Street","","","2-60, 86 even","RG 12/511","49-52
"
"5","4","6","John Penn Street","Bennett Street","","1-4","RG 12/510","25-30
"
"5","4","7","John Penn Street","Coldbath Street","","1-55 odd","RG 12/510","22-25
"
"5","4","8","John Penn Street","Coldbath Street","","2-86 even","RG 12/510","61-64
"
"5","4","9","John Penn Street","Coldbath Street","","55-87 odd","RG 12/510","44-46
"
"5","4","10","John Penn Street","Lewisham Road","","1-23","RG 12/510","21-22
"
"5","4","11","John Street","","","1-16","RG 12/509","129-130
"
"5","4","12","John Street","","","1-37","RG 12/510","65-69
"
"5","4","13","Jordan Terrace","","","1-8","RG 12/513","43
"
"5","4","14","Junction Road","New Cross Road","","2-24 even","RG 12/497","83-85
"
"5","4","15","Junction Road","New Cross Road","","5-13","RG 12/497","82-83
"
"5","4","16","Junction Road","New Cross Road","","1-27 odd R","RG 12/497","85-87
"
"5","4","17","Kempslade Street","","","1-24","RG 12/498","36
"
"5","4","18","Kendall Terrace","Wheatman Street","","1","RG 12/515","36
"
"5","4","19","Kender Grove","Kender Street","","1-4","RG 12/504","155
"
"5","4","20","Kender Street","","","","RG 12/504","152-157
"
"5","4","21","Kender Street","","","1-87","RG 12/504","143-148
"
"5","4","22","Kender Street","","","2-148 even","RG 12/504","135-143
"
"5","4","23","Kender Street","","Albert Cottages","1-2","RG 12/504","156
"
"5","4","24","Kender Street","","Bacon Cottage","","RG 12/504","156
"
"5","4","25","Kender Street","","Carlton Place","1-7","RG 12/504","153
"
"5","4","26","Kender Street","","Cooks Folly","1-2","RG 12/504","155
"
"5","4","27","Kender Street","","Dolling Place","1-8","RG 12/504","152-153
"
"5","4","28","Kender Street","","Esther Cottages","1-7","RG 12/504","156
"
"5","4","29","Kender Street","","Kender Grove","1-4","RG 12/504","155
"
"5","4","30","Kender Street","","Kender Terrace","1-7 odd","RG 12/504","157
"
"5","4","31","Kender Street","","Powers Place","1-12","RG 12/504","153-155
"
"5","4","32","Kender Terrace","","Kender Street","1-7 odd","RG 12/504","157
"
"5","4","33","Kensing Road","","","","RG 12/513","123
"
"5","4","34","Kent Terrace","","Wotton Road","1-5","RG 12/495","71
"
"5","4","35","Kenwood Avenue","","","2-14 even","RG 12/505","28-29
"
"5","4","36","Kenwood Avenue","","Briant Street","1-13","RG 12/505","27-28
"
"5","4","37","Kerry Road","","","1-33 odd","RG 12/495","100-102
"
"5","4","38","Kerry Road","","","2-76 even","RG 12/495","94-100
"
"5","4","39","Kerry Road","","Kerry Villa","","RG 12/495","102
"
"5","4","40","King George Street","Crooms Hill","","1-119 odd","RG 12/508","137-141
"
"5","4","41","King George Street","Crooms Hill","","2-124 even","RG 12/510","103-108
"
"5","4","42","King George Street","Luton Place","","1-17","RG 12/510","108
"
"5","4","43","King George Street","Park Cottages","","1-7","RG 12/508","141-142
"
"5","4","44","King Street","Gloucester Place","","1-6","RG 12/500","147
"
"5","4","45","King Street","Nelson Street","","1-13","RG 12/511","7-8
"
"5","4","46","King Street","Nelson Street","","1-15, 19-20","RG 12/501","30-33
"
"5","4","47","King Street","Nelson Street","","13-25","RG 12/511","28
"
"5","4","48","King Street","Nelson Street","","21-33 odd","RG 12/501","33-34
"
"5","4","49","King Street","Nelson Street","","45-63 odd","RG 12/501","34-35
"
"5","4","50","King Street","New Cross Road","","1-17, 21-23 odd","RG 12/500","149-150
"
"5","4","51","King Street","New Cross Road","","2-24, 30, 34-36 even","RG 12/500","146-148
"
"5","4","52","King Street","New Cross Road","","25, 29-35 odd","RG 12/500","148-149
"
"5","4","53","King Street","New Cross Road","","4","RG 12/500","165
"
"5","4","54","King Street","New Cross Road","","41-43, 47-51 odd","RG 12/500","148-149
"
"5","4","55","King Street","Poplar Row","","1, 2,4, 6-9","RG 12/500","150-151
"
"5","4","56","King Street","St Johns Mission House","","","RG 12/500","146
"
"5","4","57","King Street","Victory Street","","1-45","RG 12/501","35-39
"
"5","4","58","King Street","Victory Street","","46-62 even","RG 12/501","39-40
"
"5","4","59","King William Lane","Trafalgar Road","","1-3","RG 12/511","122
"
"5","4","60","King William Street","","","1-11","RG 12/511","37-38
"
"5","4","61","King William Street","","","14-44","RG 12/511","4-7
"
"5","4","62","King William Street","Albion Public House","","2","RG 12/511","37
"
"5","4","63","King William Street","London and Naval","","5","RG 12/511","38
"
"5","4","64","King William Terrace","Old Woolwich Road","","1-6","RG 12/511","127-129
"
"5","4","65","Kitson Terrace","Newcastle Street","","1-9","RG 12/511","101
"
"5","4","66","Kitto Road","","","2-36 even","RG 12/504","29-31
"
"5","4","67","Kitto Road","","","3-37 odd","RG 12/504","27-29
"
"5","4","68","Kitto Road","Wesleyan Chapel","","","RG 12/504","29
"
"5","4","69","Knott Street","","","1-25","RG 12/494","43-46
"
"5","4","70","Knott Street","","","1-3","RG 12/507","32
"
"5","4","71","Knott Street","","","1-4R","RG 12/494","47
"
"5","4","72","Knott Street","","","29-32","RG 12/494","46-47
"
"5","4","73","Knott Street","","Board of Works","8","RG 12/494","44
"
"5","4","74","Knott Street","","Kent Wharf Cottage","","RG 12/494","69
"
"5","4","75","Knotts Terrace","Tanners Hill","","1-24","RG 12/501","24-26
"
"5","4","76","Knoyle Street","","","2-54 even","RG 12/499","122-125
"
"5","4","77","Lairdet Grove","","","1-13","RG 12/498","118-119
"
"5","4","78","Lairdet Street","","","1-21 odd","RG 12/499","35
"
