"6","1","1","Abbotsham Villas","pt Brookfield Road","","","RG 12/206","182-183
"
"6","1","2","Abbott Street","Kingsland High Street","& Mathias Street","","RG 12/187","101-106
"
"6","1","3","Abersham Road","Sandringham Road","","","RG 12/187","16-18
"
"6","1","4","Abney Gardens","Stoke Newington High Street","","","RG 12/184","22-24
"
"6","1","5","Abney Park Cemetery Lodge","","","","RG 12/179","4
"
"6","1","6","Abney Park Terrace","pt Stoke Newington High St","","","RG 12/184","26-27
"
"6","1","7","Acton Street","","North Side: 1-19 Odd do not exist","21-43 Odd","RG 12/190","9-10
"
"6","1","8","Acton Street","","South Side in SHOREDITCH District","","",""
"6","1","9","Acton Street","Kingsland Road","","
","Ada Street","Broadway London Fields"
"6","1","10","Ada Street","Broadway London Fields","","","RG 12/204","113-118
"
"6","1","11","Aden Grove","Green Lanes","","","RG 12/181","201-207
"
"6","1","12","Aden Terrace","Green Lanes","","","RG 12/181","180-182
"
"6","1","13","Albany Cottages","Church Path","","","RG 12/180","168-169
"
"6","1","14","Albert Grove","Morpeth Road","","","RG 12/207","32-33
"
"6","1","15","Albert Road","Dalston","","2-28 Even","RG 12/194","4-6
"
"6","1","16","Albert Road","Dalston","","30-100 Even","RG 12/194","73-77
"
"6","1","17","Albert Road","Dalston","","31-47 Odd","RG 12/194","72-73
"
"6","1","18","Albert Road","Dalston","","49 Odd","RG 12/194","77
"
"6","1","19","Albert Road","Dalston","","51-107 Odd","RG 12/194","70-72
"
"6","1","20","Albert Road","Queens Road","","1-29 Odd","RG 12/194","6-8
"
"6","1","21","Albert Street","Homerton High Street","now Belshaw Street","","",""
"6","1","22","Albion Grove","Albion Road","","","RG 12/180","185-187
"
"6","1","23","Albion Road","Church Street to Newington Green","","1-21 Odd do not exist","","
"
"6","1","24","Albion Road","Church Street to Newington Green","","125-151 Odd","RG 12/181","10-11
"
"6","1","25","Albion Road","Church Street to Newington Green","","153-177 Odd do not exist","","
"
"6","1","26","Albion Road","Church Street to Newington Green","","154-256 Even","RG 12/181","2-6
"
"6","1","27","Albion Road","Church Street to Newington Green","","179-245 Odd","RG 12/181","6-10
"
"6","1","28","Albion Road","Church Street to Newington Green","","2-22 Even","RG 12/180","165-166
"
"6","1","29","Albion Road","Church Street to Newington Green","","23-123 Odd","RG 12/1066","140-145
"
"6","1","30","Albion Road","Church Street to Newington Green","","24-152 Even","RG 12/180","169-175
"
"6","1","31","Albion Road","Church Street to Newington Green","","Lodge, Albion Road","RG 12/181","180
"
"6","1","32","Albion Road","Queens Road","","1-3 Odd","RG 12/193","109
"
"6","1","33","Albion Road","Queens Road","","13-33 Odd","RG 12/194","3-4
"
"6","1","34","Albion Road","Queens Road","","18-36 Even","RG 12/193","109-110
"
"6","1","35","Albion Road","Queens Road","","2-16 Even","RG 12/193","71-72
"
"6","1","36","Albion Road","Queens Road","","35-113 Odd","RG 12/194","78-82
"
"6","1","37","Albion Road","Queens Road","","38-64 Even see SHOREDITCH Dist","","
"
"6","1","38","Albion Road","Queens Road","","66-70 Even","RG 12/194","3
"
"6","1","39","Albion Road","Queens Road","","72-128 Even","RG 12/194","83-86
"
"6","1","40","Albion Road","Queens Road","Dalston 5-11 see SHOREDITCH Dist","","",""
"6","1","41","Albion Square","Trafalgar Road","","1-12","RG 12/193","72-73
"
"6","1","42","Albion Square","Trafalgar Road","","13-30","RG 12/193","73-75
"
"6","1","43","Albion Terrace","Haggerston Road","","",".RG 12/193","75-76
"
"6","1","44","Alconbury Road","Northwold Road","","","RG 12/184","74-78
"
"6","1","45","Aldam Place","Stoke Newington High Street","wrongly entered as ALDHAM","","RG 12/179","99-101
"
"6","1","46","Alfearn Road","Millfields Road","","","RG 12/198","23-24
"
"6","1","47","Alice Place","pt Berger Road","","","RG 12/206","91
"
"6","1","48","Alice Place","pt Mead Place","","","RG 12/201","123
"
"6","1","49","Alkham Road","Stoke Newington Common","","1-53 Odd","RG 12/183","121-123
"
"6","1","50","Alkham Road","Stoke Newington Common","","2-52 Even","RG 12/183","118-121
"
"6","1","51","Alkham Road","Stoke Newington Common","","54-90 Even","RG 12/183","86-88
"
"6","1","52","Alkham Road","Stoke Newington Common","","55-99 Odd","RG 12/183","88-90
"
"6","1","53","Allen Road","Milton Road","","1-25 Odd","RG 12/1066","70-74
"
"6","1","54","Allen Road","Milton Road","","2-24 Even","RG 12/1066","70-74
"
"6","1","55","Allen Road","Milton Road","","26-72 Even","RG 12/1066","147-150
"
"6","1","56","Allen Road","Milton Road","","27-33 Odd","RG 12/1066","74
"
"6","1","57","Allen Road","Milton Road","","35-77 Odd","RG 12/1066","147-151
"
"6","1","58","Allerton Road","Queen Elizabeth Walk","","","RG 12/180","13-19
"
"6","1","59","Alma Villas","","now pt Burma Road","","",""
"6","1","60","Almack Road","Powerscroft Road","","","RG 12/198","39-47
"
"6","1","61","Almshouses","","","Bakers, Lower Clapton Road","RG 12/198","12
"
"6","1","62","Almshouses","","","Bakers, Lyme Grove","RG 12/195","106
"
"6","1","63","Almshouses","","","Goldsmiths & Jewellers, Holcroft Road","RG 12/205","138
"
"6","1","64","Almshouses","","","Grove Passage","RG 12/191","60
"
"6","1","65","Almshouses","","","Mongers, Church Crescent","RG 12/207","43-44
"
"6","1","66","Almshouses","","","Norris, Victoria Park Road","RG 12/205","183
"
"6","1","67","Almshouses","","","Pacifico Terrace,London Place, Almshouses","RG 12/204","63
"
"6","1","68","Almshouses","","","West Hackney, Northwold Road","RG 12/182","94-95
"
"6","1","69","Alvington Crescent","Shacklewell Lane","","","RG 12/187","7-13
"
"6","1","70","Ambulance Station","Brooklyns Walk","","","RG 12/201","27
"
"6","1","71","Amhurst Park","Stamford Hill","","1-21 Odd","RG 12/183","6-8
"
"6","1","72","Amhurst Park","Stamford Hill","","2-16 Even","RG 12/183","5-6
"
"6","1","73","Amhurst Park","Stamford Hill","","22-86 Even","RG 12/183","8-12
"
"6","1","74","Amhurst Park","Stamford Hill","","25-89 Odd","RG 12/183","12-16
"
"6","1","75","Amhurst Park","Stamford Hill","","86-100 Even","RG 12/179","76-77
"
"6","1","76","Amhurst Park","Stamford Hill","","93 Odd","RG 12/179","77
"
"6","1","77","Amhurst Terrace & Stables","Rectory Road","","","RG 12/186","87-89
"
"6","1","78","Anderson Road & Stables","Berger Road","","","RG 12/202","71-73
"
"6","1","79","Andrews Road","The Broadway to Mare Street","","Canal Side","RG 12/204","146-147
"
"6","1","80","Andrews Road","The Broadway to Mare Street","","North Side 1-16","RG 12/204","107-109
"
"6","1","81","Andrews Road","The Broadway to Mare Street","","South Side 1-7","RG 12/204","145-146
"
"6","1","82","Andrews Road","The Broadway to Mare Street","One page MISSING & some not readable","King Edward Industrial School for Girls","RG 12/207","203-206
"
"6","1","83","Andrews Road","The Broadway to Mare Street","Remainder in BETHNAL GREEN District","","",""
"6","1","84","Annis Road","Cassland Road","","","RG 12/206","162-166
"
"6","1","85","Anton Street","Amhurst Road","","","RG 12/192","75-77
"
"6","1","86","Antwerp Street","Ada Street was George Street","","","RG 12/204","100-105
"
"6","1","87","Appleby Road","Gayhurst Road","","","RG 12/194","118-120
"
"6","1","88","April Street","Seal Street","","","RG 12/186","36-38
"
"6","1","89","Arcola Street","Stoke Newington Road","was Wellington Street","1-7 Odd","RG 12/186","57
"
"6","1","90","Arcola Street","Stoke Newington Road","was Wellington Street","15-73 Odd","RG 12/186","63-66
"
"6","1","91","Arcola Street","Stoke Newington Road","was Wellington Street","16-50 Even","RG 12/186","57-59
"
"6","1","92","Arcola Street","Stoke Newington Road","was Wellington Street","2-4 Even","RG 12/186","62-63
"
"6","1","93","Arcola Street","Stoke Newington Road","was Wellington Street","Saslisbury Cottages, Arcola Street","RG 12/186","59-62
"
"6","1","94","Ardleigh Road","Southgate Road","was Enfield Road North","","RG 12/188","74-78
"
"6","1","95","Arthur Road","Walford Road","","","RG 12/1066","26-30
"
"6","1","96","Arthur Street","Well Street","now contains Boreham Street, Retreat Terrace & Cottage Place","","RG 12/201","110-116
"
"6","1","97","Ash Grove","Mare Street","","Remainder, Ash Grove","RG 12/204","147-153
"
"6","1","98","Ash Grove","Mare Street","","pt, Ash Grove, 42","RG 12/204","159
"
"6","1","99","Ashdown Cottge","Caroline Street","","","RG 12/182","85
"
"6","1","100","Ashenden Road","Glyn Road","","","RG 12/201","75-76
"
"6","1","101","Ashton Place","pt Chapel Road","","","RG 12/183","180-181
"
"6","1","102","Ashwin Street","Dalston Lane","","","RG 12/187","97-99
"
"6","1","103","Askew Road","Frampton Park Road","was Cross Street","","RG 12/205","84-87
"
"6","1","104","Aspland Grove","Amhurst Road","","1-14","RG 12/191","109-111
"
"6","1","105","Aspland Grove","Amhurst Road","","15-25","RG 12/191","108-109
"
"6","1","106","Aspland Grove","Amhurst Road","","26","RG 12/191","110-111
"
"6","1","107","Aspland Grove","Amhurst Road","","27-44","RG 12/191","106-108
"
"6","1","108","Aspland Grove","Amhurst Road","","pt, Aspland Grove, 14","RG 12/191","108
"
"6","1","109","Asylums","","","Goldsmiths & Jewellers Asylum Institute","RG 12/205","138
"
"6","1","110","Asylums","Green Lanes","","Northumberland House Lunatic Asylum","RG 12/179","182-183
"
"6","1","111","Asylums","Lower Clapton Road","","Deaf & Dumb Asylum","RG 12/196","76
"
"6","1","112","Asylums","Lower Clapton Road","","Private Asylum, Brooke House","RG 12/203","135-139
"
"6","1","113","Asylums","Norfolk Road","","German Orphan Asylum","RG 12/186","103
"
"6","1","114","Atherden Road","Lower Clapton Road","","","RG 12/198","24-25
"
"6","1","115","Augusta Place","pt Harrington Hill","","1-5","RG 12/183","149
"
"6","1","116","Augusta Place","pt Harrington Hill","","6-8","RG 12/183","158
"
"6","1","117","Austins Buildings","Lower Clapton Road","","","RG 12/196","79-80
"
"6","1","118","Aveley Road","Southwold Road","& Frederick Terrace","","RG 12/197","32-35
"
"6","1","119","Avenue Road","Downs Road","","","RG 12/197","134-138
"
"6","1","120","Avenue. Road","Stoke Newington Road","see Trumans Road","","",""
"6","1","121","Ayresome Road","Oldfield Road","","","RG 12/180","48-53
"
"6","1","122","Baileys Lane","Stamford Hill","","1-6","RG 12/1072","72
"
"6","1","123","Baileys Lane","Stamford Hill","","1-65","RG 12/182","146-152
"
"6","1","124","Baileys Lane","Stamford Hill","","1A-4A","RG 12/182","145-146
"
"6","1","125","Bakers Hill","Mount Pleasant Lane","","1-7, 9-14","RG 12/183","154-155
"
"6","1","126","Bakers Hill","Mount Pleasant Lane","","8","RG 12/183","154
"
"6","1","127","Balcorne Street","Well Street","including Grove Cottage f 134","","RG 12/205","129-136
"
"6","1","128","Ballance Road","Hassett Road","Vicarage on f 64","","RG 12/203","51-64
"
"6","1","129","Balls Buildings","Mehetabel Road","later pt Link Street","","RG 12/196","58-59
"
"6","1","130","Balmes Road","Southgate Road","","","RG 12/190","86-92
"
"6","1","131","Banbury Road","Penshurst Road","","","RG 12/207","52-53
"
"6","1","132","Barges","","","Crown Wharf, Hertford Road, Kingsland Basin","RG 12/190","62-63
"
"6","1","133","Barges","","","Essex Wharf, Lea Bridge","RG 12/197","49
"
"6","1","134","Barges","","","Telegraph Works Wharf, Barges","RG 12/202","120
"
"6","1","135","Barn Street","Church Street","","","RG 12/179","147-149
"
"6","1","136","Barracks","","","Salvation Army, Lower Clapton Road","RG 12/203","125-129
"
"6","1","137","Barracks","","","Shrubland Road, Dalston","RG 12/194","91
"
"6","1","138","Barretts Grove","Stoke Newington Road","including Phantom Villas","","RG 12/180","110-119
"
"6","1","139","Bartripp Street","Wick Road","","","RG 12/207","81-87
"
"6","1","140","Bath Row","Dalston Lane","","","RG 12/187","85-89, 104
"
"6","1","141","Baxters Court","Mare Street","","","RG 12/195","145
"
"6","1","142","Bay Street","Holly Street","","","RG 12/193","82-86
"
"6","1","143","Bayford Street","Mare Street","","","RG 12/204","21-23
"
"6","1","144","Bayston Road","Evering Road","","","RG 12/185","21-28
"
"6","1","145","Beecholme Road","Upper Clapton Road","","","RG 12/197","60-63
"
"6","1","146","Beecholme Terrace","pt Upper Clapton Road","","","RG 12/197","58-59
"
"6","1","147","Beechwood Street","","later pt Ashwin Street one house only","","RG 12/187","99
"
"6","1","148","Belle Vue Place or Terrace and House","Upper Clapton Road","","","RG 12/182","30
"
"6","1","149","Bellevue Terrace","pt Pedro Street","","","RG 12/200","35-36
"
"6","1","150","Belmont Terrace","Stoke Newington Common","","","RG 12/184","72-73
"
"6","1","151","Belshaw Street","Homerton High Street","was Albert Street","","RG 12/200","117-119
"
"6","1","152","Benn Street","Sidney Road","","","RG 12/203","36-39
"
"6","1","153","Benthal Road","Stoke Newington Common","","1-21 Odd","RG 12/185","43
"
"6","1","154","Benthal Road","Stoke Newington Common","","12-80 Even","RG 12/184","97-100
"
"6","1","155","Benthal Road","Stoke Newington Common","","2 Even","RG 12/185","73
"
"6","1","156","Benthal Road","Stoke Newington Common","","23-99 Odd","RG 12/184","100-103
"
"6","1","157","Benthal Road","Stoke Newington Common","","4-10 Even","RG 12/185","43-44
"
"6","1","158","Bentham Road","Kenton Road","","1-65 Odd","RG 12/206","79-82
"
"6","1","159","Bentham Road","Kenton Road","","69-169 Odd","RG 12/206","69-75
"
"6","1","160","Bentham Road","Kenton Road","","Even Nos","RG 12/206","63-69
"
"6","1","161","Bentley Road","Kingsland Road","","2-32 Even","RG 12/164","13-15
"
"6","1","162","Bentley Road","Kingsland Road","","34-44 Even","RG 12/188","5
"
"6","1","163","Bentley Road","Kingsland Road","","Odd Nos","RG 12/188","4-5
"
"6","1","164","Benyon Road","Southgate Road","","","RG 12/190","92-99
"
"6","1","165","Berger Road","Wick Road","","1-13 Odd","RG 12/202","73-74
"
"6","1","166","Berger Road","Wick Road","","15-67 Odd","RG 12/202","67-71
"
"6","1","167","Berger Road","Wick Road","","1A-3A","RG 12/202","66
"
"6","1","168","Berger Road","Wick Road","","2-18 Even","RG 12/202","66-67
"
"6","1","169","Berger Road","Wick Road","","Alice Place, Berger Road","RG 12/206","91
"
"6","1","170","Berger Road","Wick Road","","Cobden Arms Public House, Berger Road","RG 12/202","67
"
"6","1","171","Berger Road","Wick Road","","Duke of York Public House, Berger Road","RG 12/202","66-67
"
"6","1","172","Bergholt Crescent","Cranwick Road","","","RG 12/183","28-31
"
"6","1","173","Bethune Road","Manor Road","","164 Even","RG 12/179","77-78
"
"6","1","174","Bethune Road","Manor Road","","2-162 Even","RG 12/179","85-93
"
"6","1","175","Bethune Road","Manor Road","","Clissold Lodge, Bethune Road","RG 12/179","86
"
"6","1","176","Bethune Road","Manor Road","","Cottage at rear of 16","RG 12/179","85
"
"6","1","177","Bethune Road","Manor Road","","Odd Nos","RG 12/179","78-85
"
