"6","4","1","Jacksons Alley or Buildings","Morning Lane","","","RG 12/196","16
"
"6","4","2","James Place","Dunn Street","","","RG 12/186","73
"
"6","4","3","Jenner Road","Evering Road","","","RG 12/184","103-109
"
"6","4","4","Jerusalem Gardens, Passage & Square","Mare Street","","","RG 12/195","140-145
"
"6","4","5","John Campbell Road","Kingsland High Street","","","RG 12/187","114-118
"
"6","4","6","John Street","Homerton High Street","later Banister Street","","RG 12/200","134-136
"
"6","4","7","John Street","London Fields","now Bremen Street","","",""
"6","4","8","John Street & Dunns Cottages","Shacklewell Lane","now Dunn Street","","",""
"6","4","9","Johns Place","Castle Street","","","RG 12/180","131
"
"6","4","10","Johns Road was Street","Stoke Newington High Street","later Batley Road","","RG 12/184","57-58
"
"6","4","11","Jolly Butchers Yard","","now Stoke Newington Buildings","","",""
"6","4","12","Jubilee Cottages","London Place","","","RG 12/204","63
"
"6","4","13","Junction Place","Amhurst Road","(damaged)","1-7","RG 12/192","130
"
"6","4","14","Junction Place","Amhurst Road","(damaged)","8-17","RG 12/192","84-85
"
"6","4","15","Kenmure Road","Mare Street","","2-4 Even","RG 12/191","116
"
"6","4","16","Kenmure Road","Mare Street","","6 Even","RG 12/191","118-119
"
"6","4","17","Kenmure Road","Mare Street","","8-14 Even","RG 12/191","116
"
"6","4","18","Kenmure Road","Mare Street","","Odd Nos","RG 12/191","116-118
"
"6","4","19","Kenninghall Road","Upper Clapton Road","","1-49 Odd","RG 12/196","109-111
"
"6","4","20","Kenninghall Road","Upper Clapton Road","","2-46 Even","RG 12/196","111-113
"
"6","4","21","Kenninghall Road","Upper Clapton Road","","46A-78 Even","RG 12/196","121-122
"
"6","4","22","Kenninghall Road","Upper Clapton Road","","55-63 Odd","RG 12/196","123
"
"6","4","23","Kenninghall Road","Upper Clapton Road","","St Scholasticas Retreat, Kenninghall Road","RG 12/196","110-111
"
"6","4","24","Kenton Road","Cassland Road","","","RG 12/206","86-90
"
"6","4","25","Kersley Road","Kynaston Road","","","RG 12/181","135-138
"
"6","4","26","King Edwards Road","Mare Street","","1-31 Odd","RG 12/205","38-40
"
