"6","6","1","Pacifico Terrace","pt London Place","","","RG 12/204","63
"
"6","6","2","Paget Road","Heathland Road","","","RG 12/179","47-51
"
"6","6","3","Painsthorpe Road","Oldfield Road","","","RG 12/180","46-48
"
"6","6","4","Palace Road","Well Street","","","RG 12/205","95-104
"
"6","6","5","Palatine Avenue","Stoke Newington Road","","","RG 12/180","127
"
"6","6","6","Palatine Road","Stoke Newington Road","","","RG 12/180","100-110
"
"6","6","7","Paradise Passage & House","Well Street Passage","","","RG 12/195","69-70
"
"6","6","8","Paradise Passage & House","Well Street Passage","","","RG 12/205","119-120
"
"6","6","9","Paradise Row","Church Street","","","RG 12/180","42-44
"
"6","6","10","Paragon Road","Mare Street","","1-47 Odd","RG 12/195","127-130
"
"6","6","11","Paragon Road","Mare Street","","2-40 Even","RG 12/195","125-127
"
"6","6","12","Paragon Road","Mare Street","","42-76 Even","RG 12/195","117-119
"
"6","6","13","Paragon Road","Mare Street","","49-83 Odd","RG 12/195","112-114
"
"6","6","14","Park Crescent","Church Street","","","RG 12/180","41-42
"
"6","6","15","Park Lane","Albion Road","","1-15","RG 12/181","172-173
"
"6","6","16","Park Lane","Albion Road","","Park Terrace 37-40 & Park House, Park Lane","RG 12/181","27
"
"6","6","17","Park Lane","Albion Road","","Various large houses Including The Grange, Albion Lodge, Nursery & The Willows","RG 12/181","179-180
"
"6","6","18","Park Place","Chatham Place","","","RG 12/196","60-61
"
"6","6","19","Park Street & Lodge","Church Street","","","RG 12/179","119-125
"
"6","6","20","Park Terrace","Park Lane","","37-40 & Park House, Park Terrace","RG 12/181","27
"
"6","6","21","Parkeholme Road","Queens Road, Dalston","Including Grove Cottages f.30","","RG 12/195","24-32
"
"6","6","22","Pavement, The","Broughton Road","","","RG 12/181","33
"
"6","6","23","Pedro Street","Millfields Road","","1-45 Odd","RG 12/200","44-49
"
"6","6","24","Pedro Street","Millfields Road","","1-9 consec & Pedro Cottage, Pedro Street","RG 12/200","33-34
"
"6","6","25","Pedro Street","Millfields Road","","1A-5A consec","RG 12/200","44
"
"6","6","26","Pedro Street","Millfields Road","","2-50 Even","RG 12/200","40-44
"
"6","6","27","Pedro Street","Millfields Road","","47-49 Odd","RG 12/200","28-29
"
"6","6","28","Pedro Street","Millfields Road","","52-54 Even","RG 12/200","36
"
"6","6","29","Pedro Street","Millfields Road","","62-72 Even","RG 12/200","34-35
"
"6","6","30","Pedro Street","Millfields Road","","Bellevue Terrace & All Souls Retreat, Pedro Street","RG 12/200","35-36
"
"6","6","31","Pedro Street","Millfields Road","Being built","93-147","IRG 12/200","29-33
"
"6","6","32","Pellerin Road","Boleyn Road","","","RG 12/180","149-158
"
"6","6","33","Pemberton Place","Mare Street","","","RG 12/205","48-49
"
"6","6","34","Pembroke Terrace","pt Lamb Lane","","","RG 12/204","33-34
"
"6","6","35","Pembury Grove","Pembury Road","","","RG 12/192","35-38
"
"6","6","36","Pembury Road","Dalston Road","","2-32 Even","RG 12/192","86-88
"
"6","6","37","Pembury Road","Dalston Road","","34 Even","RG 12/192","91
"
"6","6","38","Pembury Road","Dalston Road","","36-46 Even","RG 12/192","85-86
"
"6","6","39","Pembury Road","Dalston Road","","48 Even","RG 12/192","90
"
"6","6","40","Pembury Road","Dalston Road","","Odd Nos","RG 12/192","88-90
"
"6","6","41","Penpoll Road","Graham Road","","","RG 12/191","67-69
"
"6","6","42","Penshurst Road","Lauriston Road","","","RG 12/207","53-60
"
"6","6","43","Perch Street","Shacklewell Lane","","1-16","RG 12/186","32-34
"
"6","6","44","Perch Street","Shacklewell Lane","","17-25","RG 12/186","34-36
"
"6","6","45","Percy Road","Well Street","","","RG 12/205","124-129
"
"6","6","46","Percy Road","Well Street","including St Johns Schoolhouse f. 129","","",""
"6","6","47","Percy Terrace","Mallard Street","","1-10","RG 12/207","123-124
"
"6","6","48","Percy Terrace","Mallard Street","","1-52","RG 12/207","124-130
"
"6","6","49","Percy Terrace","pt Mandeville Street","","","RG 12/200","5
"
"6","6","50","Phantom Villas","pt Barretts Grove","","","RG 12/180","117-119
"
"6","6","51","Philip Street","Matthias Road","later Hewling Street","","RG 12/1066","113
"
