"6","8","1","Ufton Grove","Southgate Road","","","RG 12/189","19-21
"
"6","8","2","Ufton Road","Englefield Road","","1-39 Odd","RG 12/189","48-51
"
"6","8","3","Ufton Road","Englefield Road","","2-46 Even","RG 12/189","45-48
"
"6","8","4","Ufton Road","Englefield Road","","41-61 Odd","RG 12/189","18-19
"
"6","8","5","Ufton Road","Englefield Road","","48-76 Even","RG 12/189","16-18
"
"6","8","6","Union Road","Stoke Newington High Street","","","RG 12/184","55-57
"
"6","8","7","Union Road","Wick Road","now Bradstock Road","","",""
"6","8","8","Union Street","Bowling Green Street","","","RG 12/184","12-14
"
"6","8","9","Upper Clapton Road","High Road","","
","Upper Clapton Road","High Road"
"6","8","10","Upper Clapton Road","High Road","East Side","","RG 12/182","8-9
"
"6","8","11","Upper Clapton Road","High Road","East Side","Various named houses, Villas etc from Mount Pleasant to Clapton Common","RG 12/182","4-5
"
"6","8","12","Upper Clapton Road","High Road","West Side","High Road 1-5 & Beecholme Terrace, Upper Clapton Road","RG 12/197","57-59
"
"6","8","13","Upper Clapton Road","High Road","West Side","High Road unnumbered","RG 12/196","97
"
"6","8","14","Upper Clapton Road","High Road","West Side","High Road unnumbered","RG 12/197","2-3
"
"6","8","15","Upper Clapton Road","High Road","West Side","High Road unnumbered","RG 12/197","40
"
"6","8","16","Upper Clapton Road","High Road","West Side","Kings Head Public House, Lee Place & Warwick House, Upper Clapton Road","RG 12/197","59
"
"6","8","17","Upper Clapton Road","High Road","West Side","The Limes, Lees Brickfield & Glenarm House, Upper Clapton Road","RG 12/197","40
"
"6","8","18","Upper Clapton Road","High Road","West Side","High Road unnumbered","RG 12/196","88-89
"
"6","8","19","Urban Place","Andrews Road","","","RG 12/204","105-107
"
"6","8","20","Urswick Road","Homerton High Street","","Even Nos","RG 12/200","107-108
"
"6","8","21","Urswick Road","Homerton High Street","","Odd Nos","RG 12/196","41-43
"
"6","8","22","Valentine Road","Well Street","","1-23","RG 12/206","23-26
"
"6","8","23","Valentine Road","Well Street","","24-39","RG 12/206","38-39
"
"6","8","24","Valentine Road","Well Street","","40-41","RG 12/206","35
"
"6","8","25","Vartry Road","Holmdale Road","","2, 4, 6 & Vicarage, Vartry Road","RG 12/183","8
"
"6","8","26","Vartry Road","Holmdale Road","Remainder in EDMONTON District Tottenham S/D","","",""
"6","8","27","Victoria Buildings","Mare Street","","","RG 12/204","158-159
"
"6","8","28","Victoria Grove","Morpeth Road","","","RG 12/207","30-32
"
"6","8","29","Victoria Grove","Stoke Newington Road","","","RG 12/1065","129-134
"
"6","8","30","Victoria Grove","Victoria Park Road","","","RG 12/205","20
"
"6","8","31","Victoria Grove West","Victoria Grove","","","RG 12/1065","136-141
"
"6","8","32","Victoria Park","","see also BETHNAL GREEN & POPLAR Districts","Park Keeper Lodge & Cotts and St Augustines Schoolhouse, Victoria Park","RG 12/206","188
"
"6","8","33","Victoria Park Road","Mare Street","","1-83 Odd","RG 12/205","15-19
"
"6","8","34","Victoria Park Road","Mare Street","","108-216 Even","RG 12/207","4-9
"
"6","8","35","Victoria Park Road","Mare Street","","147-211 Odd","RG 12/205","171-174
"
"6","8","36","Victoria Park Road","Mare Street","","2-70 Even","RG 12/204","164-168
"
"6","8","37","Victoria Park Road","Mare Street","","213-243 Odd","RG 12/207","62-64
"
"6","8","38","Victoria Park Road","Mare Street","","222-272 Even","RG 12/206","136-138
"
"6","8","39","Victoria Park Road","Mare Street","","245-247 Odd","RG 12/206","138
"
"6","8","40","Victoria Park Road","Mare Street","","251-379 Odd","RG 12/206","167-173
"
"6","8","41","Victoria Park Road","Mare Street","","72-82 Even","RG 12/205","157-158
"
"6","8","42","Victoria Park Road","Mare Street","","84-106 Even","RG 12/207","3 & 9A
"
"6","8","43","Victoria Park Road","Mare Street","","85-145","RG 12/205","183-187
"
"6","8","44","Victoria Park Road","Mare Street","","French Hospital and Lodge, Victoria Park Road","RG 12/207","64-65
"
"6","8","45","Victoria Road","Stoke Newington Road","","","RG 12/1065","141-147
"
"6","8","46","Victoria Road","Wick Road","","18-30 Even","RG 12/207","164-165
"
"6","8","47","Victoria Road","Wick Road","","2-16 Even","RG 12/207","155-156
"
"6","8","48","Victoria Road","Wick Road","","32-88 Even","RG 12/207","174-178
"
"6","8","49","Victoria Road","Wick Road","","Odd Nos","RG 12/207","107-111
"
"6","8","50","Victoria Road","Wick Road","Note: Nos 24-30 Even are entered wrongly as Chapman Road","","",""
"6","8","51","Victoria Road","Wick Road","later pt Wick Road","Montague Buildings, Victoria Road","RG 12/207","109
"
"6","8","52","Victoria Street","King Edwards Road","","","RG 12/205","26-29
"
"6","8","53","Victoria Terrace","pt Wick Road","","","RG 12/207","152
"
"6","8","54","Vine Cottages","pt Harrington Hill","","","RG 12/183","146-147
"
"6","8","55","Vulcan Cottages","Wallis Road In POPLAR District","","
","Vyner Street","Cambridge Road"
"6","8","56","Vyner Street","Cambridge Road","","Odd Nos","RG 12/204","182-185
"
"6","8","57","Vyner Street","Cambridge Road","","pt 36-70 Even","RG 12/204","185-187
"
"6","8","58","Vyner Street","Cambridge Road","MISSING after f 187","2-36 pt Even","","
"
"6","8","59","Walford Road","Stoke Newington Road","","","RG 12/1066","17-26
"
"6","8","60","Wallis Road","White Post Lane","","1","RG 12/207","193
"
"6","8","61","Wallis Road","White Post Lane","","2-6","RG 12/207","192
"
"6","8","62","Wallis Road","White Post Lane","","7-17","RG 12/207","193-194
"
"6","8","63","Wallis Road","White Post Lane","","Bridge Place, Wallis Road","RG 12/207","192
"
"6","8","64","Wallis Road","White Post Lane","continued in POPLAR District","","",""
"6","8","65","Walsingham Road","Nightingale Road","","","RG 12/196","113-117
"
"6","8","66","Warburton Road and Street","Mare Street","","Road, Warburton Road and Street, 1-46","RG 12/204","46-50
"
"6","8","67","Warburton Road and Street","Mare Street","","Street, Warburton Road and Street, 47-52","RG 12/204","50-51
"
"6","8","68","Warburton Square","Triangle Road","","1-15 are now pt Triangle Road","","
"
"6","8","69","Warburton Square","Triangle Road","","16-48","RG 12/204","54-58
"
"6","8","70","Warwick Avenue","Warwick Road","","","RG 12/182","7-8
"
"6","8","71","Warwick Road","Gordon Road","","","RG 12/1065","149-152
"
"6","8","72","Warwick Road","Upper Clapton Road","","","RG 12/182","5-7
"
"6","8","73","Warwick Road","Upper Clapton Road","","Upton House Truant Industrial School, Warwick Road","RG 12/203","130-134
"
"6","8","74","Warwick Terrace","pt Mount Pleasant Lane","North & South","","RG 12/183","135-136
"
"6","8","75","Warwick Villas","Shepherds Lane","","","RG 12/202","52-54
"
"6","8","76","Water Lane","","now pt Morning Lane","","",""
"6","8","77","Waterside","","see Harrington Hill","","RG 12/183","145-146, 148, 150, 152, 156-157
"
"6","8","78","Watson Street","Matthias Road","Including Georgian Cottage","","RG 12/1066","134-140
"
"6","8","79","Wayland Avenue","Dalston Lane","","","RG 12/192","108-110
"
"6","8","80","Well Street","Mare Street","","1-43 Odd","RG 12/205","53-55
"
"6","8","81","Well Street","Mare Street","","120-238 Even","RG 12/206","31-37
"
"6","8","82","Well Street","Mare Street","","171-175 Odd","RG 12/195","69
"
"6","8","83","Well Street","Mare Street","","177-271 Odd","RG 12/201","104-107
"
"6","8","84","Well Street","Mare Street","","2-22 Even","RG 12/205","56
"
"6","8","85","Well Street","Mare Street","","22A-22B Even","RG 12/205","54
"
"6","8","86","Well Street","Mare Street","","24-64 Even","RG 12/205","56-60
"
"6","8","87","Well Street","Mare Street","","45-63 Odd","RG 12/205","66
"
"6","8","88","Well Street","Mare Street","","65-169 Odd","RG 12/205","114-119
"
"6","8","89","Well Street","Mare Street","","66-118 Even","RG 12/205","151-153
"
"6","8","90","Well Street","Mare Street","","Bethnal Green Workhouse Overflow","RG 12/207","196-202
"
"6","8","91","Well Street","Mare Street","","Fire Station, Well Street","RG 12/205","117-118
"
"6","8","92","Wellington Road","Stoke Newington Road","","","RG 12/186","18-28
"
"6","8","93","Wellington Street","Stoke Newington Road","now Arcola Street","","",""
"6","8","94","West Bank","Amhurst Park","","","RG 12/183","16-21
"
"6","8","95","West Street","Mare Street","","1-6","RG 12/204","60
"
"6","8","96","West Street","Mare Street","","7-26","RG 12/204","129-132
"
"6","8","97","West Street","Mare Street","","Triangle Terrace, West Street","RG 12/204","60-61
"
"6","8","98","West Street","Mare Street","","Twemlow Terrace, West Street","RG 12/204","85
"
"6","8","99","Westbourne Terrace","pt Glyn Road","","","RG 12/201","45-46
"
"6","8","100","Weston Place","Mare street","","","RG 12/205","46-48
"
"6","8","101","Wetherell Road","Victoria Park Road","","","RG 12/206","129-133
"
"6","8","102","Wharf Road","Pritchards Road","","1-9 Odd","RG 12/204","112
"
"6","8","103","Wharf Road","Pritchards Road","","2-18 Even","RG 12/204","109-112
"
"6","8","104","Wharf Road","Pritchards Road","Remainder in BETHNAL GREEN District","","",""
"6","8","105","Wharves","","","Essex, Lea Bridge","RG 12/197","48-49
"
"6","8","106","Wharves","","","Hertford Road, Kingsland Basin Crown Wharf etc","RG 12/190","62-63
"
"6","8","107","Wharves","","","Middlesex, Lea Bridge","RG 12/197","47-48
"
"6","8","108","Wharves","","","Telegraph Works Cut Side","RG 12/202","120
"
"6","8","109","Wharves","","","Victoria, Cut Side","RG 12/202","120
"
"6","8","110","White Hart Court","Stoke Newington High Street","","1-4","RG 12/180","84
"
"6","8","111","White Hart Court","Stoke Newington High Street","","5-7","RG 12/1065","128
"
"6","8","112","White Post Lane","Cadogan Terrace","","1-21 Odd","RG 12/207","101-102
"
"6","8","113","White Post Lane","Cadogan Terrace","continued in POPLAR District","","",""
"6","8","114","Whites Cottages","Millfields Road, Cow Bridge","","","RG 12/200","4-5
"
"6","8","115","Wick Lane","now pt Riseholme Street and Cadogan Terrace","","
","Wick Road","Well Street"
"6","8","116","Wick Road","Well Street","","1-245 Odd","RG 12/206","91-105
"
"6","8","117","Wick Road","Well Street","","2-258 Even","RG 12/206","112-125
"
"6","8","118","Wick Road","Well Street","","247-289 Odd","RG 12/207","69-71
"
"6","8","119","Wick Road","Well Street","","258-304 Even","RG 12/206","105-108
"
"6","8","120","Wick Road","Well Street","","291-329 Odd","RG 12/207","74-75
"
"6","8","121","Wick Road","Well Street","","304-332 Even","RG 12/207","75-77
"
"6","8","122","Wick Road","Well Street","","331-339 Odd","RG 12/207","87
"
"6","8","123","Wick Road","Well Street","","Victoria Terrace, Wick Road","RG 12/207","152
"
"6","8","124","Wickham Place","pt Lower Clapton Road","","","RG 12/198","27-28
"
"6","8","125","Wicks Boat House","High Hill Ferry","","","RG 12/183","145
"
"6","8","126","William Cottages","pt Grove Lane","","","RG 12/191","69-70
"
"6","8","127","Williams Cottage","Little Hill","","","RG 12/183","150
"
"6","8","128","Willow Cottages","Cazenove Road, Stamford Hill","","","RG 12/183","90-91
"
"6","8","129","Willow Cottages","Lea Bridge","","","RG 12/197","49
"
"6","8","130","Willows and Lodge","Park Lane","","","RG 12/181","180
"
"6","8","131","Wilman Grove and Cottage","Lansdowne Road","","","RG 12/194","120-122
"
"6","8","132","Wilsons Cottages","Spring Lane","","","RG 12/183","138
"
"6","8","133","Wilton Road","Parkholme Road","","1-17 Odd","RG 12/195","32-33
"
"6","8","134","Wilton Road","Parkholme Road","","2-36 Even","RG 12/195","33-35
"
"6","8","135","Wilton Road","Parkholme Road","","35-49 Odd","RG 12/195","52-53
"
"6","8","136","Wilton Road","Parkholme Road","","38-40 Even","RG 12/195","52
"
"6","8","137","Wilton Road","Parkholme Road","","42-46 Even","RG 12/195","41
"
"6","8","138","Wilton Road","Parkholme Road","","48-52 Even","RG 12/192","8-9
"
"6","8","139","Wilton Road","Parkholme Road","","51-83 Odd","RG 12/192","7-8
"
