"8","4","1","James Gardens","Chapel Street","","","RG 12/226","52-56
"
"8","4","2","James Street","Goswell Road","later part New Charles Street","","RG 12/230","194-196
"
"8","4","3","James Street","Old Street","","","RG 12/234","54-57
"
"8","4","4","James Street","Theobalds Road","","Great, James Street","RG 12/219","47-51
"
"8","4","5","James Street","Theobalds Road","","Little, James Street","RG 12/219","70-73
"
"8","4","6","Javins Chambers","Clerkenwell Road-","","","RG 12/223","30-31
"
"8","4","7","Jenkins Yard","Eagle Street","MISSING after f 189","","RG 12/218","
"
"8","4","8","Jerusalem Court and House","St John Street","","","RG 12/222","153-157
"
"8","4","9","Jerusalem Passage","St John Square","","1-7","RG 12/222","146
"
"8","4","10","Jerusalem Passage","St John Square","","9-12","RG 12/223","14-15
"
"8","4","11","Jockeys Fields","Theobalds Road","","","RG 12/219","67-68
"
"8","4","12","John Street","Theobalds Road","","1-9","RG 12/219","68-69
"
"8","4","13","John Street","Theobalds Road","","10-28","RG 12/219","83-85
"
"8","4","14","John Street","Theobalds Road","","29-37","RG 12/219","69-70
"
"8","4","15","John Street","Theobalds Road","","38","RG 12/219","68
"
"8","4","16","John Street","Theobalds Road","","pt, John Street, 3","RG 12/219","70
"
"8","4","17","John Street","Tysoe Street","","","RG 12/224","145-149
"
"8","4","18","Johns Mews and Place","Little James Street","","","RG 12/219","80-83
"
"8","4","19","Johns Place","Lever Street","","","RG 12/232","102
"
"8","4","20","Johns Place and Yard","John Street","Part of these are MISSING as part of f 165 is damaged","","RG 12/224","165
"
"8","4","21","Kemp Place","Bakers Row","","","RG 12/223","77-78
"
"8","4","22","King Square","Goswell Road","","1-7","RG 12/230","124
"
"8","4","23","King Square","Goswell Road","","22","RG 12/230","134
"
"8","4","24","King Square","Goswell Road","","23-26","RG 12/230","125
"
"8","4","25","King Square","Goswell Road","","27-57","RG 12/230","127-132
"
"8","4","26","King Square","Goswell Road","","8-21","RG 12/230","125-127
"
"8","4","27","King Street","Bath Street","","1-12","RG 12/232","22-25
"
"8","4","28","King Street","Bath Street","","12-24","RG 12/231","168-171
"
"8","4","29","Kings Cross Road","","","112-132 Even","RG 12/227","145-148
"
"8","4","30","Kings Cross Road","","","146-176 Even","RG 12/227","149-151
"
"8","4","31","Kings Cross Road","","","165-215 Odd","RG 12/125","71-74
"
"8","4","32","Kings Cross Road","","","2-110 Even","RG 12/224","53-63
"
"8","4","33","Kings Cross Road","","","Cobden Buildings (130)","RG 12/227","147-148
"
"8","4","34","Kings Cross Road","","","York House (134)","RG 12/227","148-149
"
"8","4","35","Kings Cross Road","","1-13 Odd do not exist","15-163 Odd","RG 12/125","7-17
"
"8","4","36","Kings Mews","Theobalds Road","","","RG 12/219","86-87
"
"8","4","37","Kingsgate Street","","8-14 Even do not exist","16-36 Even","RG 12/218","161-164
"
"8","4","38","Kingsgate Street","High Holborn","","1-43 Odd","RG 12/209","125-128
"
"8","4","39","Kingsgate Street","High Holborn","","2-6 Even","RG 12/209","138
"
"8","4","40","Kirby Street","Charles Street","","","RG 12/221","63-65
"
"8","4","41","Lamb Yard","92 Lambs Conduit Street","","","RG 12/218","136-137
"
"8","4","42","Lambs Buildings","Chiswell Street","","","RG 12/234","95-96
"
