"9","3","1","Gainford Street","Richmond Road","","","RG 12/155","114-120
"
"9","3","2","Gallia Road","Calabria Road","Remainder","","RG 12/177","125-126
"
"9","3","3","Gallia Road","Calabria Road","pt 6","","RG 12/177","142
"
"9","3","4","Garden Villas","Woodvillie Road","was Cottages","","RG 12/174","57-58
"
"9","3","5","Gatcombe Road","Mercers Road","","","RG 12/143","25-26
"
"9","3","6","Gattis Stable","New Wharf Road","","","RG 12/153","163
"
"9","3","7","George Street","Eden Grove","","","RG 12/163","76-77
"
"9","3","8","George Street","Upper Southampton Street - Cumming Street","later transferred to HOLBORN District","","RG 12/155","12-14
"
"9","3","9","Georges Road","Holloway Road","now contains St James Terrace and Grove Cottages","1-99 Odd","RG 12/163","37-43
"
"9","3","10","Georges Road","Holloway Road","now contains St James Terrace and Grove Cottages","101-157 Odd","RG 12/161","111-116
"
"9","3","11","Georges Road","Holloway Road","now contains St James Terrace and Grove Cottages","120-176 Even","RG 12/161","116-122
"
"9","3","12","Georges Road","Holloway Road","now contains St James Terrace and Grove Cottages","2-118 Even","RG 12/163","43-53
"
"9","3","13","Georges Yard","Blundell Street","","","RG 12/159","52-53
"
"9","3","14","Gerrard Street","Danbury Street","","Remainder, Gerrard Street","RG 12/167","42-49
"
"9","3","15","Gerrard Street","Danbury Street","","pt, Gerrard Street, 47","RG 12/167","58
"
"9","3","16","Gibson Square","Theberton Street","","","RG 12/151","68-76
"
"9","3","17","Giesbach Road","Holloway Road","","","RG 12/142","167-172
"
"9","3","18","Gifford Street","Caledonian Road","","1-43 Odd","RG 12/158","84-91
"
"9","3","19","Gifford Street","Caledonian Road","","2-46 Even","RG 12/158","91-96
"
"9","3","20","Gifford Street","Caledonian Road","","45-57 Odd","RG 12/156","113-115
"
"9","3","21","Gifford Street","Caledonian Road","","48-58 Even","RG 12/156","113-115
"
"9","3","22","Gifford Street","Caledonian Road","","59-61 Odd","RG 12/157","67-68
"
"9","3","23","Gifford Street","Caledonian Road","","60-100 Even","RG 12/157","68-73
"
"9","3","24","Gifford Street","Caledonian Road","","Board School, Gifford Street","RG 12/157","112
"
